ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
1813 4 ST SW,Non-Residential,CLIFF BUNGALOW,C-COR1,"MULTIPOLYGON (((-114.0721029 51.0361393, -114.0718853 51.0361394, -114.0717638 51.0361394, -114.0716997 51.0361799, -114.0716999 51.0363782, -114.0718859 51.0363779, -114.0721032 51.0363777, -114.0721029 51.0361393)))"
1012 16 AV NW,Non-Residential,MOUNT PLEASANT,C-COR1,"MULTIPOLYGON (((-114.0836549 51.0673913, -114.0837635 51.0673912, -114.083762 51.0670626, -114.0836534 51.0670627, -114.0836549 51.0673913)))"
807 49 AV SW,Non-Residential,BRITANNIA,C-COR1,"MULTIPOLYGON (((-114.0820427 51.0092093, -114.0820429 51.0094694, -114.0821297 51.0094693, -114.0822513 51.0094692, -114.0822511 51.0092091, -114.0821295 51.0092092, -114.0820427 51.0092093)))"
1508 12 AV SW,Residential,SUNALTA,C-COR1,"MULTIPOLYGON (((-114.0951674 51.04278, -114.0952759 51.042783, -114.0953012 51.042427, -114.0951926 51.042424, -114.0951674 51.04278)))"
2115 4 ST SW,Non-Residential,CLIFF BUNGALOW,C-COR1,"MULTIPOLYGON (((-114.0718823 51.0334603, -114.0716687 51.0334603, -114.0716688 51.0337891, -114.0718826 51.033789, -114.0718823 51.0334603)))"
1309 17 AV SW,Non-Residential,LOWER MOUNT ROYAL,C-COR1,"MULTIPOLYGON (((-114.0921238 51.0377386, -114.0923238 51.0377385, -114.0923238 51.037692, -114.0923242 51.0373827, -114.0921242 51.0373827, -114.0921238 51.0377386)))"
2310 4 ST SW,Non-Residential,MISSION,C-COR1,"MULTIPOLYGON (((-114.0710398 51.0319717, -114.0712566 51.0319779, -114.0713829 51.0319815, -114.0713828 51.0318937, -114.0712627 51.0318903, -114.0710458 51.0318841, -114.0710398 51.0319717)))"
325 10 ST NW,Residential,HILLHURST,C-COR1,"MULTIPOLYGON (((-114.0860739 51.0549545, -114.0860752 51.0550367, -114.0860764 51.0551188, -114.0860776 51.055201, -114.0860788 51.0552832, -114.0860801 51.0553653, -114.0866236 51.0553646, -114.0866224 51.0552824, -114.0866211 51.0552003, -114.0866199 51.0551181, -114.0866186 51.0550359, -114.0866174 51.0549538, -114.0860739 51.0549545)))"
1140 17 AV SW,Non-Residential,BELTLINE,C-COR1,"MULTIPOLYGON (((-114.0886203 51.0382591, -114.088729 51.0382622, -114.0888377 51.0382653, -114.0889463 51.0382683, -114.089055 51.0382714, -114.08908 51.0379208, -114.0889711 51.0379209, -114.0888622 51.0379209, -114.0887533 51.0379209, -114.0886444 51.0379209, -114.0886203 51.0382591)))"
1222 16 AV NW,Non-Residential,CAPITOL HILL,C-COR1,"MULTIPOLYGON (((-114.0884128 51.0673881, -114.0884672 51.0673881, -114.0885758 51.067388, -114.0886844 51.067388, -114.088793 51.0673879, -114.0889016 51.0673879, -114.0890102 51.0673878, -114.0891189 51.0673878, -114.0892275 51.0673877, -114.0892268 51.0671054, -114.0891182 51.0671055, -114.0890096 51.0671055, -114.088901 51.0671056, -114.0887923 51.0671056, -114.0886837 51.0671057, -114.0885751 51.0671057, -114.0884664 51.0671058, -114.0884121 51.0671058, -114.0884128 51.0673881)))"
1935 37 ST SW,Non-Residential,GLENDALE,C-COR1,"MULTIPOLYGON (((-114.1414599 51.0369852, -114.1419811 51.0369851, -114.1419812 51.0369722, -114.1419811 51.0366838, -114.1414599 51.0366839, -114.1414599 51.0369852)))"
2290 4 ST SW,Non-Residential,MISSION,C-COR1,"MULTIPOLYGON (((-114.0713611 51.0325731, -114.0713609 51.0327102, -114.0713826 51.0327108, -114.0713828 51.0325874, -114.0713611 51.0325731)))"
807 49 AV SW,Non-Residential,BRITANNIA,C-COR1,"MULTIPOLYGON (((-114.0820427 51.0092093, -114.0819993 51.0092093, -114.0818691 51.0092094, -114.0817389 51.0092095, -114.0816087 51.0092096, -114.0816089 51.0094698, -114.0817391 51.0094697, -114.0818693 51.0094696, -114.0819995 51.0094694, -114.0820429 51.0094694, -114.0820427 51.0092093)))"
1424 16 AV NW,Non-Residential,CAPITOL HILL,C-COR1,"MULTIPOLYGON (((-114.0932802 51.0673852, -114.0933882 51.0673852, -114.0933879 51.0673043, -114.0934971 51.0673042, -114.0936058 51.0673041, -114.0936317 51.067304, -114.0937143 51.067304, -114.0937391 51.067304, -114.0937392 51.0673849, -114.0938237 51.0673848, -114.0938818 51.0673848, -114.0938229 51.0673054, -114.0937537 51.0672121, -114.0937136 51.0671834, -114.0936045 51.0671052, -114.0936013 51.0671029, -114.0934959 51.067103, -114.0933873 51.067103, -114.0932786 51.0671031, -114.0932802 51.0673852)))"
2115 4 ST SW,Non-Residential,CLIFF BUNGALOW,C-COR1,"MULTIPOLYGON (((-114.0718826 51.033789, -114.0720999 51.033789, -114.0720996 51.0334602, -114.0718823 51.0334603, -114.0718826 51.033789)))"
