ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
1210 8 ST SW,Non-Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0811903 51.0418281, -114.0812989 51.0418312, -114.0813135 51.0418316, -114.0813805 51.041793, -114.0814016 51.0414962, -114.0813233 51.041494, -114.0812147 51.041491, -114.0811903 51.0418281)))"
1210 8 ST SW,Non-Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.080982 51.0418223, -114.0810818 51.0418251, -114.0811903 51.0418281, -114.0812147 51.041491, -114.081106 51.0414879, -114.0810063 51.0414851, -114.080982 51.0418223)))"
B 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
9 1330 15 AV SW,Non-Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
201 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
202 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
203 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
204 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
205 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
206 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
207 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
208 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
301 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
302 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
303 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
304 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
305 1330 15 AV SW,Residential,BELTLINE,CC-COR,"MULTIPOLYGON (((-114.0932168 51.0398749, -114.0944993 51.0399105, -114.0944996 51.0395811, -114.0944562 51.0395525, -114.0932424 51.0395189, -114.0932168 51.0398749)))"
