ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
119 CONFLUENCE ME SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
117 CONFLUENCE ME SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
115 CONFLUENCE ME SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
113 CONFLUENCE ME SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
111 CONFLUENCE ME SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
201 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
202 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
203 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
204 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
205 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
206 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
207 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
301 519 RIVERFRONT AV SE,Residential,DOWNTOWN EAST VILLAGE,CC-EMU,"MULTIPOLYGON (((-114.0508294 51.0471897, -114.0507625 51.0472282, -114.0507254 51.0477468, -114.0507247 51.0477578, -114.0507189 51.0478395, -114.0516039 51.0479956, -114.0517838 51.0480273, -114.0518369 51.0472911, -114.0518421 51.0472187, -114.0518227 51.0472181, -114.0508294 51.0471897)))"
