ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
615 MACLEOD TR SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0593157 51.0472319, -114.0594448 51.0472355, -114.0594686 51.0468989, -114.0594724 51.0468442, -114.0593639 51.0468411, -114.0593432 51.0468405, -114.0593667 51.0465038, -114.0583117 51.0464737, -114.0582841 51.0468653, -114.0592266 51.046892, -114.0593325 51.0469938, -114.0593157 51.0472319)))"
500 5 AV SW,Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0723268 51.0487723, -114.0722185 51.0487692, -114.0721102 51.0487662, -114.072002 51.0487632, -114.0718937 51.0487601, -114.0717854 51.0487571, -114.0717449 51.048756, -114.0717015 51.0487821, -114.0717015 51.0490919, -114.0717603 51.0490936, -114.0718689 51.0490967, -114.0719774 51.0490998, -114.072086 51.0491028, -114.0721946 51.0491059, -114.0723031 51.049109, -114.0723268 51.0487723)))"
616 9 ST SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0829824 51.0475127, -114.0830384 51.0475143, -114.0831472 51.0475174, -114.0831692 51.0472053, -114.0831309 51.047191, -114.0830913 51.0471781, -114.0830622 51.0471773, -114.0830498 51.0471769, -114.0830068 51.0471757, -114.0829824 51.0475127)))"
330 5 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0693545 51.0494168, -114.0700062 51.0494356, -114.0700292 51.0491135, -114.0695101 51.0490986, -114.0693777 51.0490948, -114.0693545 51.0494168)))"
217 7 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.066645 51.0465104, -114.0666672 51.0465112, -114.0667757 51.0465143, -114.0668191 51.0465155, -114.0668205 51.0464963, -114.0668445 51.0461596, -114.066801 51.0461583, -114.0666925 51.0461552, -114.0666702 51.0461546, -114.0666629 51.0462572, -114.0667257 51.046259, -114.0667222 51.046309, -114.0666594 51.0463072, -114.0666525 51.0464041, -114.0666955 51.0464054, -114.0666917 51.0464592, -114.0666487 51.0464579, -114.066645 51.0465104)))"
116 7 AV SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0616044 51.046905, -114.0617129 51.0469081, -114.0617896 51.0469103, -114.0618031 51.0469107, -114.0618079 51.0469108, -114.0618215 51.0469112, -114.06193 51.0469143, -114.0619536 51.0465774, -114.061955 51.0465583, -114.0618467 51.0465551, -114.0617382 51.046552, -114.0616296 51.0465489, -114.0616044 51.046905)))"
940 6 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0827536 51.0484561, -114.0828623 51.0484591, -114.0829711 51.0484622, -114.0830798 51.0484653, -114.0831885 51.0484684, -114.0832972 51.0484714, -114.0833755 51.0484736, -114.0833979 51.048164, -114.0833565 51.0481354, -114.0833203 51.0481344, -114.0832118 51.0481313, -114.0831032 51.0481283, -114.0829947 51.0481252, -114.0828862 51.0481222, -114.0827776 51.0481191, -114.0827536 51.0484561)))"
520 5 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0723027 51.0491091, -114.0724111 51.0491122, -114.0725196 51.0491153, -114.0726281 51.0491185, -114.0727247 51.0491213, -114.0727487 51.0487845, -114.0726526 51.0487817, -114.072544 51.0487786, -114.0724353 51.0487755, -114.0723274 51.0487724, -114.0723267 51.0487723, -114.0723027 51.0491091)))"
316 5 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0684043 51.049025, -114.0685128 51.0490281, -114.068539 51.0486643, -114.0684305 51.0486612, -114.068322 51.0486581, -114.0682958 51.0490219, -114.0684043 51.049025)))"
136 7 AV SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0608444 51.0468832, -114.060953 51.0468863, -114.0610615 51.0468894, -114.06117 51.0468925, -114.0611941 51.0465556, -114.0610855 51.0465525, -114.060977 51.0465494, -114.0608685 51.0465462, -114.0608444 51.0468832)))"
800 6 AV SW,Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0794463 51.0480253, -114.0793376 51.0480222, -114.079229 51.0480191, -114.0791204 51.048016, -114.0790118 51.0480129, -114.0789032 51.0480098, -114.0788249 51.0480076, -114.0788011 51.0483442, -114.0788794 51.0483464, -114.078988 51.0483495, -114.0790967 51.0483526, -114.0792053 51.0483557, -114.079314 51.0483588, -114.0794226 51.0483619, -114.0794463 51.0480253)))"
435 4 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0707268 51.0494559, -114.0708353 51.0494591, -114.0709438 51.0494622, -114.0710523 51.0494653, -114.0711608 51.0494685, -114.0712693 51.0494716, -114.0713099 51.0494728, -114.0713533 51.0494466, -114.0713534 51.0491094, -114.071295 51.0491077, -114.0711866 51.0491046, -114.0710781 51.0491014, -114.0709696 51.0490983, -114.0708611 51.0490952, -114.0707526 51.0490921, -114.0707268 51.0494559)))"
320 5 AV SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0555518 51.0490225, -114.0576475 51.0490823, -114.057698 51.048381, -114.0556003 51.0483212, -114.0555518 51.0490225)))"
814 6 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0794226 51.0483619, -114.0795313 51.048365, -114.0795563 51.0480093, -114.0794476 51.0480062, -114.0794463 51.0480253, -114.0794226 51.0483619)))"
510 5 ST SW,Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0732108 51.0485774, -114.0733193 51.0485805, -114.0734278 51.0485837, -114.073462 51.0485846, -114.0735074 51.0485585, -114.0735298 51.0482492, -114.0734514 51.0482469, -114.0733425 51.0482438, -114.0732351 51.0482407, -114.0732108 51.0485774)))"
816 6 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0795313 51.048365, -114.0796399 51.0483681, -114.0796649 51.0480124, -114.0795563 51.0480093, -114.0795313 51.048365)))"
300 6 AV SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0566501 51.0480778, -114.0577177 51.0481075, -114.0577652 51.0474343, -114.0577237 51.0474057, -114.0566979 51.0473772, -114.0566706 51.0477767, -114.0567552 51.047779, -114.0567507 51.0478447, -114.0566661 51.0478424, -114.0566501 51.0480778)))"
505 5 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.071953 51.0485607, -114.0720181 51.0485625, -114.0721264 51.0485656, -114.0721453 51.0482094, -114.0720364 51.0482063, -114.0719788 51.0482046, -114.071953 51.0485607)))"
818 6 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0796399 51.0483681, -114.0797486 51.0483712, -114.0797735 51.0480155, -114.0796649 51.0480124, -114.0796399 51.0483681)))"
113 8 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0638433 51.0454814, -114.0639518 51.0454845, -114.0639773 51.0451287, -114.0638687 51.0451256, -114.0638433 51.0454814)))"
332 6 AV SE,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0566979 51.0473772, -114.0556689 51.0473485, -114.0556211 51.0480491, -114.0566501 51.0480778, -114.0566661 51.0478424, -114.0567507 51.0478447, -114.0567552 51.047779, -114.0566706 51.0477767, -114.0566979 51.0473772)))"
820 6 AV SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0797486 51.0483712, -114.0798572 51.0483743, -114.0798821 51.0480186, -114.0797735 51.0480155, -114.0797486 51.0483712)))"
303 CENTRE ST SW,Non-Residential,DOWNTOWN COMMERCIAL CORE,CR20-C20/R20,"MULTIPOLYGON (((-114.0629542 51.0498176, -114.0629108 51.0498163, -114.0628864 51.0501537, -114.0629272 51.0501819, -114.0629626 51.0501829, -114.0630711 51.050186, -114.0631796 51.0501891, -114.0632882 51.0501922, -114.0633967 51.0501953, -114.063423 51.049831, -114.0633145 51.0498279, -114.063206 51.0498248, -114.0630975 51.0498217, -114.062989 51.0498186, -114.0629542 51.0498176)))"
