ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
2828 101 ST SW,Residential,RESIDUAL WARD 6 - SUB AREA 6A,"DC,S-FUD","MULTIPOLYGON (((-114.2338253 51.0283747, -114.2340349 51.0284958, -114.2340347 51.0284589, -114.2340337 51.026895, -114.233886 51.0268951, -114.2329925 51.0268953, -114.2338229 51.0283709, -114.2338253 51.0283747)))"
2705 84 ST NE,Non-Residential,RESIDUAL WARD 10 - SUB AREA 10E,"DC,S-FUD","MULTIPOLYGON (((-113.9161254 51.0743017, -113.9150296 51.0743018, -113.9139738 51.0743019, -113.912314 51.0743021, -113.9120443 51.0743022, -113.9120429 51.080609, -113.9158331 51.0805233, -113.915795 51.0797598, -113.9170511 51.0789108, -113.9171738 51.0785952, -113.9171735 51.0743014, -113.9161254 51.0743017)))"
14010 52 ST NE,Non-Residential,RESIDUAL WARD 5 - SUB AREA 5D,"DC,S-FUD","MULTIPOLYGON (((-113.9529458 51.1833721, -113.9566717 51.1833723, -113.9568865 51.1833722, -113.9573467 51.183372, -113.9576142 51.1833721, -113.9582508 51.1833721, -113.9582509 51.1833256, -113.9582509 51.1832023, -113.9582525 51.1800782, -113.9582525 51.1800233, -113.9582527 51.1797468, -113.95425 51.1797466, -113.9539869 51.1793263, -113.9537119 51.1788868, -113.9505166 51.1793457, -113.9492888 51.1795223, -113.9493899 51.1796231, -113.9494926 51.1797233, -113.9495968 51.1798229, -113.9497026 51.1799218, -113.9498099 51.18002, -113.9499188 51.1801176, -113.9500292 51.1802145, -113.9501411 51.1803108, -113.9502787 51.1804263, -113.9504184 51.1805409, -113.9505603 51.1806544, -113.9507044 51.1807668, -113.9508506 51.1808781, -113.9509989 51.1809883, -113.9511493 51.1810974, -113.9513018 51.1812054, -113.9471107 51.1812051, -113.9467618 51.1812051, -113.9467613 51.181932, -113.9467609 51.1825205, -113.9467603 51.1833723, -113.9529458 51.1833721)))"
1851 84 ST NE,Non-Residential,RESIDUAL WARD 10 - SUB AREA 10E,"DC,S-FUD","MULTIPOLYGON (((-113.9120461 51.0702198, -113.9120889 51.0702198, -113.9121032 51.0702199, -113.9134667 51.0702212, -113.9143415 51.0703575, -113.9164138 51.0699565, -113.9150723 51.0688716, -113.915071 51.0680405, -113.9121041 51.0679264, -113.9120471 51.0679242, -113.912047 51.0681491, -113.9120461 51.0702198)))"
190 89 ST SW,Non-Residential,WEST SPRINGS,"DC,S-FUD","MULTIPOLYGON (((-114.2150422 51.0665989, -114.2153684 51.0665986, -114.2153685 51.0665535, -114.215369 51.0662112, -114.2153695 51.0659646, -114.2153695 51.065934, -114.2153698 51.0657332, -114.2153699 51.0656849, -114.2153702 51.0654841, -114.2153703 51.0654363, -114.2153707 51.0652354, -114.2153707 51.0651873, -114.2153711 51.0649767, -114.2153711 51.0649454, -114.2155816 51.0649453, -114.2157267 51.0649452, -114.2157501 51.0649452, -114.2158 51.0649451, -114.2159725 51.064945, -114.2164893 51.0649447, -114.216489 51.0647564, -114.2167836 51.064756, -114.2167865 51.0633446, -114.2156216 51.0633455, -114.2153224 51.0633458, -114.2153216 51.0636892, -114.2143139 51.0644892, -114.2129296 51.0644904, -114.2112769 51.0644911, -114.2112765 51.0649651, -114.213088 51.0650867, -114.2145477 51.0658037, -114.2150422 51.0665989)))"
9908 24 ST SE,Non-Residential,SHEPARD INDUSTRIAL,"DC,S-FUD","MULTIPOLYGON (((-113.998849 50.9610304, -113.9986782 50.9610304, -113.9986784 50.959088, -113.9988492 50.959088, -113.9988492 50.959052, -113.9986784 50.959052, -113.9986784 50.958678, -113.9986783 50.9577742, -113.9984648 50.9577743, -113.99823 50.9577745, -113.9977829 50.9577747, -113.9976624 50.9577748, -113.9967083 50.9577755, -113.9958517 50.9577757, -113.9940325 50.9616929, -113.9941366 50.9617122, -113.993648 50.9627643, -113.9936135 50.9628409, -113.9935808 50.9629178, -113.9935501 50.9629951, -113.9935213 50.9630726, -113.9934944 50.9631504, -113.9934694 50.9632284, -113.9934464 50.9633067, -113.9934253 50.9633853, -113.9934062 50.963464, -113.993389 50.9635428, -113.9933737 50.9636219, -113.9933604 50.9637011, -113.9933491 50.9637804, -113.9933397 50.9638598, -113.9933322 50.9639393, -113.9933268 50.9640188, -113.9932714 50.96501, -113.9937315 50.9650098, -113.9942013 50.9650086, -113.994635 50.9650083, -114.0011349 50.9649971, -114.001135 50.9640923, -114.0000849 50.9640924, -113.999971 50.9640924, -113.9986778 50.9640924, -113.9986779 50.9631884, -113.998678 50.9622844, -113.9986782 50.9610663, -113.998849 50.9610663, -113.998849 50.9610304)))"
2976 101 ST SW,Non-Residential,RESIDUAL WARD 6 - SUB AREA 6A,"DC,S-FUD","MULTIPOLYGON (((-114.2329925 51.0268953, -114.233886 51.0268951, -114.2340337 51.026895, -114.2340328 51.0259959, -114.2338852 51.0259962, -114.2324866 51.0259965, -114.2329925 51.0268953)))"
11808 85 ST NW,Non-Residential,RESIDUAL WARD 2 - SUB AREA 2E,"DC,S-FUD","MULTIPOLYGON (((-114.1993482 51.1687011, -114.2108308 51.1686907, -114.2108307 51.1685209, -114.2108305 51.1680826, -114.2108291 51.1614582, -114.2108258 51.158015, -114.2108258 51.1579603, -114.2108255 51.1572446, -114.2107514 51.1572446, -114.2107512 51.1568428, -114.2107508 51.1561413, -114.210752 51.1560859, -114.2107554 51.1560306, -114.2107612 51.1559753, -114.2107693 51.1559201, -114.2107797 51.1558651, -114.2107925 51.1558103, -114.2108075 51.1557557, -114.2108248 51.1557013, -114.2108241 51.1542333, -114.207524 51.154241, -114.2074812 51.1542411, -114.2049839 51.154247, -114.2044406 51.1542483, -114.1993465 51.1542598, -114.1993468 51.1587892, -114.199347 51.1614785, -114.1993482 51.1687011)))"
11808 85 ST NW,Non-Residential,RESIDUAL WARD 2 - SUB AREA 2E,"DC,S-FUD","MULTIPOLYGON (((-114.1993482 51.1687011, -114.2108308 51.1686907, -114.2108307 51.1685209, -114.2108305 51.1680826, -114.2108291 51.1614582, -114.2108258 51.158015, -114.2108258 51.1579603, -114.2108255 51.1572446, -114.2107514 51.1572446, -114.2107512 51.1568428, -114.2107508 51.1561413, -114.210752 51.1560859, -114.2107554 51.1560306, -114.2107612 51.1559753, -114.2107693 51.1559201, -114.2107797 51.1558651, -114.2107925 51.1558103, -114.2108075 51.1557557, -114.2108248 51.1557013, -114.2108241 51.1542333, -114.207524 51.154241, -114.2074812 51.1542411, -114.2049839 51.154247, -114.2044406 51.1542483, -114.1993465 51.1542598, -114.1993468 51.1587892, -114.199347 51.1614785, -114.1993482 51.1687011)))"
11808 85 ST NW,Non-Residential,RESIDUAL WARD 2 - SUB AREA 2E,"DC,S-FUD","MULTIPOLYGON (((-114.1993482 51.1687011, -114.2108308 51.1686907, -114.2108307 51.1685209, -114.2108305 51.1680826, -114.2108291 51.1614582, -114.2108258 51.158015, -114.2108258 51.1579603, -114.2108255 51.1572446, -114.2107514 51.1572446, -114.2107512 51.1568428, -114.2107508 51.1561413, -114.210752 51.1560859, -114.2107554 51.1560306, -114.2107612 51.1559753, -114.2107693 51.1559201, -114.2107797 51.1558651, -114.2107925 51.1558103, -114.2108075 51.1557557, -114.2108248 51.1557013, -114.2108241 51.1542333, -114.207524 51.154241, -114.2074812 51.1542411, -114.2049839 51.154247, -114.2044406 51.1542483, -114.1993465 51.1542598, -114.1993468 51.1587892, -114.199347 51.1614785, -114.1993482 51.1687011)))"
