ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
3832 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0214501 51.0208021, -114.0220147 51.0208032, -114.0220147 51.020666, -114.0220148 51.0205289, -114.0220148 51.0203918, -114.0220148 51.0202547, -114.0214502 51.020254, -114.0214502 51.0203911, -114.0214502 51.0205281, -114.0214502 51.0206651, -114.0214501 51.0208021)))"
3827 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238052 51.0208054, -114.0243699 51.0208063, -114.0243699 51.0206694, -114.0238052 51.0206684, -114.0238052 51.0208054)))"
3624 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0557398 51.0224905, -114.0562804 51.0226458, -114.0563253 51.0225834, -114.0563702 51.022521, -114.0564151 51.0224587, -114.05646 51.0223963, -114.0559195 51.022241, -114.0558746 51.0223033, -114.0558297 51.0223657, -114.0557848 51.0224281, -114.0557398 51.0224905)))"
3633 BURNSLAND RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0586074 51.0224903, -114.0589791 51.0225971, -114.0590241 51.0225347, -114.0585996 51.0224132, -114.0586074 51.0224903)))"
420 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536124 51.089211, -114.0538296 51.0892452, -114.0538313 51.0888357, -114.0536138 51.0888358, -114.0536124 51.089211)))"
39 SKYLINE CR NE,Non-Residential,SKYLINE WEST,I-R,"MULTIPOLYGON (((-114.0455368 51.097872, -114.0455844 51.0980053, -114.0461818 51.0979207, -114.0461356 51.0977872, -114.0455368 51.097872)))"
335 36 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0562612 51.0845752, -114.0561525 51.0845752, -114.0560437 51.0845751, -114.055935 51.084575, -114.0558262 51.0845749, -114.0557175 51.0845748, -114.0556087 51.0845747, -114.0555 51.0845746, -114.0553912 51.0845745, -114.0552825 51.0845744, -114.0551738 51.0845743, -114.055065 51.0845742, -114.0549562 51.0845741, -114.0549553 51.0848903, -114.0550641 51.0848903, -114.0551728 51.0848904, -114.0552816 51.0848905, -114.0553903 51.0848906, -114.0554991 51.0848906, -114.0556078 51.0848907, -114.0557166 51.0848908, -114.0558253 51.0848908, -114.0559341 51.0848909, -114.0560428 51.084891, -114.0561516 51.0848911, -114.0562603 51.0848911, -114.0562612 51.0845752)))"
3833 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238052 51.0205314, -114.02437 51.0205324, -114.02437 51.0204617, -114.0238053 51.0204607, -114.0238052 51.0205314)))"
3801 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.022301 51.0213506, -114.022301 51.0214875, -114.0223009 51.0216244, -114.0229095 51.0216255, -114.0229096 51.0214886, -114.0229096 51.0213516, -114.022301 51.0213506)))"
3815 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0577477 51.0210479, -114.0582877 51.0212031, -114.0583327 51.0211407, -114.0583778 51.0210783, -114.0584228 51.0210158, -114.0584679 51.0209534, -114.0579279 51.0207982, -114.0578829 51.0208606, -114.0578378 51.0209231, -114.0577928 51.0209855, -114.0577477 51.0210479)))"
4015 16A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0207993 51.0196617, -114.0213638 51.0196623, -114.0213639 51.0195253, -114.021364 51.0193884, -114.0213641 51.0192514, -114.0207996 51.0192508, -114.0207995 51.0193877, -114.0207994 51.0195247, -114.0207993 51.0196617)))"
3829 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0238052 51.0206684, -114.0243699 51.0206694, -114.02437 51.0205324, -114.0238052 51.0205314, -114.0238052 51.0206684)))"
