ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
2213 14 ST SW,Residential,BANKVIEW,"M-C2,MU-1","MULTIPOLYGON (((-114.0949297 51.0356043, -114.0953661 51.0356045, -114.0953661 51.0355369, -114.0949296 51.0355358, -114.0949297 51.0356043)))"
414 1 AV NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0533543 51.053908, -114.0534629 51.0539084, -114.0535716 51.0539088, -114.0535683 51.0535799, -114.0534599 51.0535795, -114.0533515 51.0535791, -114.0533543 51.053908)))"
440 MARSH RD NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0531562 51.0533977, -114.0532647 51.0533981, -114.0532679 51.05297, -114.0531597 51.05297, -114.0531579 51.0531835, -114.0531562 51.0533977)))"
1626 38 ST SW,Residential,ROSSCARROCK,"M-C2,MU-1","MULTIPOLYGON (((-114.1419423 51.0387994, -114.1424721 51.0387998, -114.142472 51.0386628, -114.1419422 51.0386624, -114.1419423 51.0387994)))"
1628 38 ST SW,Residential,ROSSCARROCK,"M-C2,MU-1","MULTIPOLYGON (((-114.1419422 51.0386624, -114.142472 51.0386628, -114.1424719 51.0385259, -114.1419421 51.0385254, -114.1419422 51.0386624)))"
438 MARSH RD NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0532647 51.0533981, -114.0533732 51.0533986, -114.0533733 51.0533686, -114.0533748 51.0531892, -114.0533761 51.0529701, -114.0532679 51.05297, -114.0532647 51.0533981)))"
2215 14 ST SW,Residential,BANKVIEW,"M-C2,MU-1","MULTIPOLYGON (((-114.0949296 51.0355358, -114.0953661 51.0355369, -114.0953661 51.0354676, -114.0949291 51.0354673, -114.0949296 51.0355358)))"
436 MARSH RD NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0533748 51.0531892, -114.0534831 51.0531893, -114.0534828 51.0529701, -114.0533761 51.0529701, -114.0533748 51.0531892)))"
416 1 AV NE,Non-Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.053137 51.0539071, -114.0532456 51.0539076, -114.0533543 51.053908, -114.0533515 51.0535791, -114.0532431 51.0535786, -114.0531348 51.0535782, -114.053137 51.0539071)))"
416 1 AV NE,Non-Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0527013 51.0535766, -114.0525929 51.0535761, -114.0524845 51.0535757, -114.0524849 51.0538635, -114.0525502 51.0539048, -114.0525937 51.053905, -114.0527023 51.0539054, -114.0527013 51.0535766)))"
416 1 AV NE,Non-Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0529197 51.0539063, -114.0530283 51.0539067, -114.053137 51.0539071, -114.0531348 51.0535782, -114.0530264 51.0535778, -114.052918 51.0535774, -114.0529197 51.0539063)))"
416 1 AV NE,Non-Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0527023 51.0539054, -114.052811 51.0539059, -114.0529197 51.0539063, -114.052918 51.0535774, -114.0528096 51.053577, -114.0527013 51.0535766, -114.0527023 51.0539054)))"
442 MARSH RD NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0529394 51.0533968, -114.0531562 51.0533977, -114.0531579 51.0531835, -114.0531597 51.05297, -114.0529423 51.0529698, -114.0529409 51.0531835, -114.0529396 51.0533684, -114.0529394 51.0533968)))"
435A 1 AV NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0533732 51.0533986, -114.0535902 51.0533994, -114.0535916 51.0531893, -114.0534831 51.0531893, -114.0533748 51.0531892, -114.0533733 51.0533686, -114.0533732 51.0533986)))"
434 MARSH RD NE,Residential,CRESCENT HEIGHTS,"M-C2,MU-1","MULTIPOLYGON (((-114.0534831 51.0531893, -114.0535916 51.0531893, -114.0535932 51.0529702, -114.0534828 51.0529701, -114.0534831 51.0531893)))"
3310 14 AV SW,Residential,SHAGANAPPI,"M-C2,MU-1","MULTIPOLYGON (((-114.1342343 51.0401998, -114.1344515 51.0401996, -114.1346688 51.0401994, -114.134886 51.0401992, -114.1351032 51.0401989, -114.1352531 51.0401988, -114.1352534 51.0399092, -114.1351892 51.0398694, -114.1351035 51.0398694, -114.1348862 51.0398693, -114.134669 51.0398693, -114.1344518 51.0398692, -114.1342345 51.0398691, -114.1342343 51.0401998)))"
