ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
35 DEERVIEW WY SE,Residential,DEER RIDGE,M-CG,"MULTIPOLYGON (((-114.0210695 50.9294996, -114.0213911 50.929705, -114.0214619 50.9296821, -114.0212384 50.9294379, -114.0210695 50.9294996)))"
339 DEERVIEW DR SE,Residential,DEER RIDGE,M-CG,"MULTIPOLYGON (((-114.0206924 50.9278625, -114.0207979 50.9279671, -114.0212299 50.9277932, -114.0211245 50.9276886, -114.0206924 50.9278625)))"
216 DEER RIDGE PL SE,Residential,DEER RIDGE,M-CG,"MULTIPOLYGON (((-114.0209188 50.9273342, -114.0210854 50.9274994, -114.021429 50.9273015, -114.0214144 50.9272901, -114.0214021 50.9272778, -114.021392 50.9272647, -114.0213845 50.9272509, -114.0209188 50.9273342)))"
1 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
2 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
3 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
4 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
5 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
6 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
7 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
8 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
9 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
10 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
11 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
