ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
5 PARKDALE CR NW,Residential,PARKDALE,M-X2,"MULTIPOLYGON (((-114.1353838 51.0586133, -114.1358729 51.058855, -114.136061 51.058704, -114.1358062 51.0584592, -114.1357801 51.0584646, -114.1357531 51.0584678, -114.1357257 51.0584687, -114.1356983 51.0584674, -114.1356715 51.0584638, -114.1356456 51.058458, -114.1356211 51.0584501, -114.1355985 51.0584403, -114.1353838 51.0586133)))"
210 15 AV NW,Residential,CRESCENT HEIGHTS,M-X2,"MULTIPOLYGON (((-114.0655134 51.0664165, -114.065622 51.0664165, -114.0656238 51.0660278, -114.0655152 51.066028, -114.0655134 51.0664165)))"
1600 EDMONTON TR NE,Residential,RENFREW,M-X2,"MULTIPOLYGON (((-114.0557999 51.0664141, -114.0559086 51.0664147, -114.0560545 51.0664154, -114.0560689 51.0661425, -114.0560283 51.0660876, -114.0559083 51.0660869, -114.0557995 51.0660864, -114.0557999 51.0664141)))"
6 PARKDALE CR NW,Residential,PARKDALE,M-X2,"MULTIPOLYGON (((-114.1350821 51.058221, -114.1348946 51.0583716, -114.1353838 51.0586133, -114.1355985 51.0584403, -114.1355783 51.0584288, -114.1355606 51.0584157, -114.1355458 51.0584013, -114.135534 51.0583859, -114.1355256 51.0583695, -114.1355206 51.0583527, -114.1355191 51.0583355, -114.1355212 51.0583184, -114.1350821 51.058221)))"
1239 17 AV NW,Residential,CAPITOL HILL,M-X2,"MULTIPOLYGON (((-114.0894455 51.0677712, -114.0895541 51.0677712, -114.0896627 51.0677711, -114.0896621 51.0674423, -114.0895535 51.0674424, -114.0894448 51.0674424, -114.0894455 51.0677712)))"
5024 CENTRE ST NE,Non-Residential,THORNCLIFFE,M-X2,"MULTIPOLYGON (((-114.0616847 51.0969668, -114.0616847 51.0970463, -114.0617209 51.0970889, -114.0621202 51.0972571, -114.062137 51.0972623, -114.0621555 51.0972645, -114.0621742 51.0972635, -114.0621918 51.0972594, -114.062207 51.0972524, -114.0622187 51.0972432, -114.0622261 51.0972324, -114.0622286 51.0972207, -114.0622284 51.0969668, -114.0616847 51.0969668)))"
1239 17 AV NW,Residential,CAPITOL HILL,M-X2,"MULTIPOLYGON (((-114.0892283 51.0677713, -114.0893369 51.0677713, -114.0894455 51.0677712, -114.0894448 51.0674424, -114.0893362 51.0674425, -114.0892276 51.0674425, -114.0892283 51.0677713)))"
907 17 AV NW,Residential,MOUNT PLEASANT,M-X2,"MULTIPOLYGON (((-114.0817485 51.0677759, -114.0818571 51.0677758, -114.0819657 51.0677758, -114.081965 51.0674471, -114.0818564 51.0674472, -114.0817477 51.0674473, -114.0817485 51.0677759)))"
406 15 AV NE,Residential,RENFREW,M-X2,"MULTIPOLYGON (((-114.0556912 51.0664136, -114.0557999 51.0664141, -114.0557995 51.0660864, -114.0556908 51.0660858, -114.0556912 51.0664136)))"
408 15 AV NE,Residential,RENFREW,M-X2,"MULTIPOLYGON (((-114.0555824 51.0664131, -114.0556912 51.0664136, -114.0556908 51.0660858, -114.0555821 51.0660852, -114.0555824 51.0664131)))"
