ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
2039 34 AV SW,Non-Residential,ALTADORE,MU-1,"MULTIPOLYGON (((-114.1084621 51.0231094, -114.1085706 51.0231093, -114.1086792 51.0231092, -114.1086783 51.0227256, -114.1085698 51.0227257, -114.1084612 51.0227257, -114.1084621 51.0231094)))"
1803 35 ST SE,Non-Residential,SOUTHVIEW,MU-1,"MULTIPOLYGON (((-113.9832129 51.0370138, -113.9832128 51.0371508, -113.983734 51.0371503, -113.9837341 51.0370133, -113.9832129 51.0370138)))"
4401 17 AV SE,Non-Residential,FOREST LAWN,MU-1,"MULTIPOLYGON (((-113.9710628 51.0372595, -113.9710622 51.0375714, -113.9712447 51.0375712, -113.9713099 51.0375301, -113.9713103 51.0372863, -113.9713103 51.0372593, -113.9712675 51.0372594, -113.9710628 51.0372595)))"
4038 79 ST NW,Residential,BOWNESS,MU-1,"MULTIPOLYGON (((-114.2010932 51.0886066, -114.2015717 51.0886053, -114.2015716 51.0885219, -114.2010932 51.0885224, -114.2010932 51.0886066)))"
1212 11 AV SE,Non-Residential,INGLEWOOD,MU-1,"MULTIPOLYGON (((-114.0358813 51.0402295, -114.0360059 51.0402779, -114.0362866 51.0399905, -114.0361621 51.0399421, -114.0358813 51.0402295)))"
3111 CENTRE ST NW,Residential,TUXEDO PARK,MU-1,"MULTIPOLYGON (((-114.0627103 51.0801526, -114.0631672 51.0801528, -114.0631671 51.0800843, -114.0631671 51.0800159, -114.0627645 51.0800156, -114.0627101 51.0800156, -114.0627102 51.0800841, -114.0627103 51.0801526)))"
102 2718 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1248015 51.037943, -114.1247995 51.0383155, -114.1250865 51.0383151, -114.1250887 51.0379517, -114.1250888 51.0379052, -114.1248017 51.0379054, -114.1248015 51.037943)))"
105 2718 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1248015 51.037943, -114.1247995 51.0383155, -114.1250865 51.0383151, -114.1250887 51.0379517, -114.1250888 51.0379052, -114.1248017 51.0379054, -114.1248015 51.037943)))"
106 2718 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1248015 51.037943, -114.1247995 51.0383155, -114.1250865 51.0383151, -114.1250887 51.0379517, -114.1250888 51.0379052, -114.1248017 51.0379054, -114.1248015 51.037943)))"
104 2718 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1248015 51.037943, -114.1247995 51.0383155, -114.1250865 51.0383151, -114.1250887 51.0379517, -114.1250888 51.0379052, -114.1248017 51.0379054, -114.1248015 51.037943)))"
