ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
616 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378274 51.1494735, -113.9373415 51.1494733, -113.9373415 51.1495281, -113.9378274 51.1495283, -113.9378274 51.1495104, -113.9378274 51.1494735)))"
620 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373415 51.1495281, -113.9373415 51.1495829, -113.9378273 51.1495831, -113.9378274 51.1495463, -113.9378274 51.1495283, -113.9373415 51.1495281)))"
624 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378273 51.1495831, -113.9373415 51.1495829, -113.9373415 51.1496492, -113.9378273 51.1496495, -113.9378273 51.1495831)))"
628 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373415 51.1496492, -113.9373415 51.1497155, -113.9378273 51.1497158, -113.9378273 51.1496978, -113.9378273 51.1496495, -113.9373415 51.1496492)))"
632 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378273 51.1497158, -113.9373415 51.1497155, -113.9373415 51.1497703, -113.9378273 51.1497706, -113.9378273 51.1497338, -113.9378273 51.1497158)))"
636 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378273 51.1497706, -113.9373415 51.1497703, -113.9373415 51.1498252, -113.9378273 51.1498254, -113.9378273 51.1498075, -113.9378273 51.1497706)))"
640 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373415 51.1498252, -113.9373415 51.14988, -113.9378273 51.1498802, -113.9378273 51.1498434, -113.9378273 51.1498254, -113.9373415 51.1498252)))"
644 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373415 51.1499463, -113.9378273 51.1499466, -113.9378273 51.1498802, -113.9373415 51.14988, -113.9373415 51.1499463)))"
648 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373415 51.1499463, -113.9373414 51.1500126, -113.9378273 51.1500129, -113.9378273 51.1499949, -113.9378273 51.1499466, -113.9373415 51.1499463)))"
652 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378273 51.1500129, -113.9373414 51.1500126, -113.9373414 51.1500674, -113.9378273 51.1500677, -113.9378273 51.1500309, -113.9378273 51.1500129)))"
656 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378273 51.1500677, -113.9373414 51.1500674, -113.9373414 51.1501223, -113.9378273 51.1501225, -113.9378273 51.1501046, -113.9378273 51.1500677)))"
660 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373414 51.1501223, -113.9373414 51.1501771, -113.9378272 51.1501773, -113.9378273 51.1501405, -113.9378273 51.1501225, -113.9373414 51.1501223)))"
664 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373414 51.1501771, -113.9373414 51.1502434, -113.9378272 51.1502437, -113.9378272 51.1501773, -113.9373414 51.1501771)))"
668 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9378272 51.1502437, -113.9373414 51.1502434, -113.9373414 51.1503045, -113.9378272 51.1503048, -113.9378272 51.1502437)))"
672 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373414 51.1503045, -113.9373414 51.1503593, -113.9378272 51.1503596, -113.9378272 51.1503416, -113.9378272 51.1503048, -113.9373414 51.1503045)))"
676 CORNERSTONE BV NE,Residential,CORNERSTONE,R-Gm,"MULTIPOLYGON (((-113.9373414 51.1504142, -113.9378272 51.1504144, -113.9378272 51.1503776, -113.9378272 51.1503596, -113.9373414 51.1503593, -113.9373414 51.1504142)))"
