ADDRESS,POINTS
455 SAGE VALLEY DR NW,-6048.950 14723.792|-6042.442 14723.714|-6035.940 14723.514|-6029.439 14723.169|-6022.952 14722.702|-6016.472 14722.090|-6010.006 14721.357|-6003.554 14720.478|-5997.129 14719.477|-5995.647 14719.377|-5994.186 14719.577|-5992.781 14720.056|-5991.502 14720.789|-5990.397 14721.768|-5989.503 14722.947|-5988.860 14724.281|-5988.489 14725.704|-5988.014 14728.729|-5987.084 14735.089|-5986.294 14741.483|-5985.637 14747.877|-5985.127 14754.292|-5984.057 14772.162|-5983.309 14790.053|-5982.890 14807.955|-5982.792 14825.858|-5982.995 14842.303|-5983.092 14846.495|-5983.386 14856.458|-5983.491 14859.472|-5983.575 14861.707|-5983.847 14868.901|-5984.127 14876.218|-5984.323 14881.310|-5986.126 14929.058|-5986.665 14948.239|-5986.846 14967.431|-5986.839 14987.924|-5987.063 14990.526|-5987.734 14993.050|-5988.839 14995.419|-5990.335 14997.554|-5992.187 14999.399|-5994.326 15000.901|-5996.696 15002.013|-5999.219 15002.691|-6020.317 15006.416|-6083.294 15006.438|-6134.849 15006.449|-6138.351 15006.449|-6142.762 15006.449|-6156.177 15006.460|-6165.865 15006.460|-6175.233 15006.460|-6230.800 15006.471|-6232.890 15006.294|-6234.917 15005.749|-6236.819 15004.859|-6238.538 15003.647|-6240.020 15002.168|-6241.216 15000.445|-6242.097 14998.543|-6242.628 14996.520|-6246.074 14976.504|-6245.997 14959.247|-6245.990 14958.013|-6245.809 14947.660|-6245.417 14937.319|-6244.802 14926.989|-6243.970 14916.670|-6243.844 14915.814|-6243.488 14911.833|-6242.390 14901.982|-6241.090 14892.163|-6239.594 14882.367|-6237.902 14872.604|-6236.099 14863.341|-6234.120 14854.112|-6231.967 14844.927|-6229.633 14835.787|-6227.459 14827.870|-6225.648 14821.643|-6224.439 14817.640|-6223.446 14814.460|-6219.007 14801.028|-6214.177 14787.729|-6187.948 14718.632|-6186.879 14715.819|-6185.026 14710.949|-6184.390 14709.659|-6183.523 14708.514|-6182.447 14707.546|-6181.203 14706.812|-6179.846 14706.334|-6178.420 14706.123|-6176.980 14706.178|-6175.575 14706.523|-6169.333 14708.602|-6163.048 14710.548|-6156.722 14712.372|-6150.361 14714.062|-6143.964 14715.608|-6137.533 14717.031|-6131.081 14718.321|-6124.601 14719.477|-6118.100 14720.489|-6111.570 14721.379|-6105.034 14722.124|-6098.477 14722.735|-6091.913 14723.202|-6085.335 14723.547|-6078.757 14723.747|-6072.172 14723.814|-6064.350 14723.803|-6061.952 14723.803
455 SAGE VALLEY DR NW,-6081.050 14965.029|-6071.746 14959.247|-6029.076 14932.760|-6028.195 14932.060|-6027.489 14931.181|-6027.000 14930.170|-6026.748 14929.069|-6026.720 14928.524|-6026.699 14920.384|-6026.692 14917.037|-6026.636 14890.651|-6026.594 14868.823|-6026.580 14862.685|-6026.692 14861.618|-6026.986 14860.706|-6027.440 14859.872|-6028.055 14859.127|-6028.796 14858.527|-6029.642 14858.071|-6030.558 14857.782|-6031.515 14857.682|-6032.473 14857.759|-6034.738 14858.171|-6042.372 14859.783|-6049.893 14861.851|-6057.282 14864.342|-6064.511 14867.267|-6069.893 14869.768|-6075.171 14872.470|-6080.344 14875.384|-6085.391 14878.497|-6092.738 14883.134|-6097.617 14886.359|-6102.294 14889.861|-6106.768 14893.631|-6111.004 14897.656|-6115.010 14901.915|-6118.757 14906.396|-6122.231 14911.088|-6125.433 14915.981|-6128.341 14921.040|-6130.955 14926.267|-6133.255 14931.637|-6135.240 14937.119|-6136.897 14942.723|-6138.232 14948.405|-6139.232 14954.154|-6139.896 14959.948|-6139.889 14960.915|-6139.693 14961.849|-6139.400 14962.583|-6138.994 14963.272|-6138.491 14963.873|-6137.890 14964.395|-6137.218 14964.807|-6136.484 14965.118|-6135.716 14965.307|-6134.926 14965.374|-6133.968 14965.374|-6095.136 14965.452|-6082.637 14965.485|-6081.812 14965.363
339 SAGE VALLEY CM NW,-6096.261 14942.001|-6066.859 14923.720|-6066.824 14906.963|-6045.042 14907.008|-6045.035 14903.561|-6039.401 14903.572|-6039.394 14901.137|-6045.035 14901.125|-6045.021 14894.776|-6036.800 14894.798|-6036.793 14890.629|-6026.636 14890.651|-6026.692 14917.037|-6026.699 14920.384|-6026.720 14928.524|-6026.748 14929.069|-6027.000 14930.170|-6027.489 14931.181|-6028.195 14932.060|-6029.076 14932.760|-6071.746 14959.247|-6081.050 14965.029|-6081.812 14965.363|-6082.637 14965.485|-6095.136 14965.452|-6095.709 14965.340|-6096.191 14965.007|-6096.513 14964.518|-6096.625 14963.951|-6096.618 14960.103|-6092.486 14960.114|-6092.472 14952.442|-6090.515 14951.230
126 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
2S 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
120 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
112 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
110 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
108 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
106 80 SAGE HILL RD NW,-5152.218 14067.364|-5151.603 14064.962|-5150.590 14061.014|-5138.265 14014.724|-5136.525 14008.175|-5135.763 14005.817|-5134.763 14003.549|-5133.540 14001.392|-5132.100 13999.368|-5130.464 13997.500|-5128.639 13995.810|-5126.654 13994.320|-5124.529 13993.041|-5122.411 13991.807|-5120.391 13990.417|-5118.489 13988.882|-5116.707 13987.203|-5114.127 13984.868|-5111.296 13982.855|-5109.472 13981.788|-5107.570 13980.865|-5105.613 13980.064|-5103.607 13979.408|-5101.551 13978.897|-5099.468 13978.530|-5097.364 13978.308|-5095.253 13978.241|-5070.367 13978.296|-5062.824 13978.319|-5062.489 13978.319|-5062.593 14032.226|-5066.194 14032.215|-5074.792 14032.204|-5074.806 14038.097|-5081.349 14038.086|-5081.405 14064.973|-5081.398 14067.375|-5087.319 14067.375|-5107.291 14067.364|-5120.293 14067.364
