ADDRESS,POINTS
100 5075 FALCONRIDGE BV NE,7858.807 5499.839|7862.414 5545.373|7800.723 5545.307|7796.242 5545.295|7796.214 5504.320|7796.075 5502.085|7795.641 5499.883
200 5075 FALCONRIDGE BV NE,7858.807 5499.839|7795.641 5499.883|7794.704 5497.215|7793.355 5494.735|7791.615 5492.500|7789.539 5490.576|7801.751 5439.872|7813.928 5443.041|7818.605 5444.464|7823.149 5446.276|7827.532 5448.445|7831.726 5450.958|7834.515 5452.915|7837.193 5455.027|7839.744 5457.285|7842.170 5459.686|7844.449 5462.222|7846.581 5464.879|7848.559 5467.659|7850.377 5470.539|7852.026 5473.519|7853.501 5476.599|7854.802 5479.746|7855.927 5482.960|7856.857 5486.240|7857.605 5489.565|7858.164 5492.923|7858.528 5496.314
300 5075 FALCONRIDGE BV NE,7801.751 5439.872|7789.539 5490.576|7788.078 5489.542|7786.512 5488.653|7784.862 5487.941|7783.149 5487.396|7747.015 5477.989|7759.752 5428.919
55 CASTLERIDGE BV NE,7871.935 5664.697|7666.835 5664.663|7666.835 5671.958|7638.195 5671.958|7603.864 5671.958|7573.295 5671.969|7573.316 5601.760|7573.330 5597.546|7609.044 5577.642|7621.837 5570.514|7667.373 5545.140|7708.840 5545.195|7791.754 5545.295|7796.242 5545.295|7800.723 5545.307|7862.414 5545.373|7863.211 5555.381|7868.552 5622.276|7868.790 5625.278
33 CASTLERIDGE BV NE,7666.835 5671.958|7666.835 5664.663|7871.935 5664.697|7877.528 5735.027|7877.549 5737.051|7877.304 5739.075|7876.780 5741.032|7875.997 5742.911|7874.969 5744.657|7873.711 5746.258|7872.250 5747.670|7870.614 5748.871|7868.734 5749.883|7866.727 5750.617|7842.715 5757.511|7800.723 5761.914|7793.740 5762.648|7781.073 5763.971|7772.510 5764.994|7763.981 5766.251|7755.495 5767.752|7747.050 5769.487|7738.662 5771.466|7730.329 5773.679|7722.066 5776.136|7713.874 5778.816|7705.758 5781.718|7697.733 5784.854|7689.791 5788.223|7681.955 5791.803|7674.224 5795.617|7666.597 5799.632|7659.096 5803.868|7651.707 5808.316|7650.085 5802.167|7648.464 5783.253|7650.134 5759.268|7573.274 5759.401|7573.274 5748.638|7573.288 5689.704|7573.295 5671.969|7603.864 5671.958
33 CASTLERIDGE BV NE,7573.274 5759.401|7650.134 5759.268|7648.464 5783.253|7650.085 5802.167|7651.707 5808.316|7645.688 5812.152|7639.754 5816.133|7616.538 5832.112|7605.598 5839.640|7602.208 5834.691|7573.288 5792.560|7573.281 5769.075
400 5075 FALCONRIDGE BV NE,7759.752 5428.919|7747.015 5477.989|7708.924 5473.742|7696.348 5472.329|7710.945 5416.187
600 5075 FALCONRIDGE BV NE,7646.982 5472.107|7644.200 5473.152|7641.508 5474.409|7638.915 5475.854|7636.433 5477.478|7632.959 5472.630|7632.952 5443.830|7608.213 5443.841|7608.206 5427.351|7601.551 5426.906|7602.473 5412.929|7602.907 5406.446|7648.275 5409.460|7644.794 5462.166
850 5075 FALCONRIDGE BV NE,7596.287 5563.576|7596.287 5579.610|7573.330 5592.398|7573.337 5587.249|7573.330 5583.246|7573.337 5565.533|7573.337 5563.565
842 5075 FALCONRIDGE BV NE,7621.208 5498.605|7620.439 5501.507|7619.880 5504.465|7619.544 5507.456|7619.432 5510.458|7619.418 5552.323|7619.209 5555.570|7618.565 5558.750|7617.503 5561.819|7616.049 5564.721|7614.224 5567.412|7612.057 5569.836|7609.583 5571.949|7606.856 5573.717|7596.287 5579.610|7596.287 5563.576|7573.337 5563.565|7573.330 5555.025|7573.344 5545.029|7573.365 5479.902|7613.511 5479.902|7613.518 5495.969
