ADDRESS,POINTS
1222 16 AV NW,-1187.723 2152.560|-1191.526 2152.560|-1199.118 2152.549|-1206.709 2152.549|-1214.301 2152.538|-1221.892 2152.538|-1229.484 2152.527|-1237.083 2152.527|-1244.674 2152.516|-1244.626 2121.126|-1237.034 2121.137|-1229.442 2121.137|-1221.851 2121.148|-1214.252 2121.148|-1206.660 2121.159|-1199.069 2121.159|-1191.470 2121.170|-1187.674 2121.170
1424 16 AV NW,-1527.978 2152.238|-1535.527 2152.238|-1535.506 2143.242|-1543.140 2143.231|-1550.739 2143.220|-1552.549 2143.209|-1558.323 2143.209|-1560.057 2143.209|-1560.064 2152.205|-1565.971 2152.193|-1570.032 2152.193|-1565.915 2143.365|-1561.077 2132.990|-1558.274 2129.799|-1550.648 2121.103|-1550.424 2120.848|-1543.056 2120.859|-1535.464 2120.859|-1527.866 2120.870
1324 16 AV NW,-1363.527 2152.405|-1371.125 2152.394|-1378.724 2152.394|-1386.329 2152.382|-1393.928 2152.371|-1393.886 2120.981|-1386.281 2120.992|-1378.682 2121.003|-1371.083 2121.014|-1363.485 2121.014
1106 16 AV NW,-992.836 2121.415|-989.047 2121.426|-981.441 2121.437|-973.842 2121.448|-973.919 2152.805|-981.525 2152.794|-989.124 2152.783|-992.912 2152.772
1222 16 AV NW,-1176.336 2152.571|-1183.927 2152.560|-1187.723 2152.560|-1187.674 2121.170|-1183.878 2121.170|-1176.287 2121.181
1110 16 AV NW,-992.836 2121.415|-992.912 2152.772|-996.729 2152.772|-1004.328 2152.760|-1004.244 2121.392|-996.645 2121.404
1110 16 AV NW,-1004.244 2121.392|-1004.328 2152.760|-1011.927 2152.749|-1011.843 2121.381
1110 16 AV NW,-1011.843 2121.381|-1011.927 2152.749|-1019.525 2152.738|-1027.124 2152.727|-1027.040 2121.359|-1019.441 2121.370
1116 16 AV NW,-1027.040 2121.359|-1027.124 2152.727|-1034.729 2152.716|-1042.328 2152.705|-1042.244 2121.337|-1034.646 2121.348
1116 16 AV NW,-1042.244 2121.337|-1042.328 2152.705|-1049.927 2152.694|-1057.525 2152.683|-1057.442 2121.303|-1049.843 2121.326
1140 16 AV NW,-1057.442 2121.303|-1057.525 2152.683|-1065.131 2152.672|-1072.730 2152.660|-1072.639 2121.281|-1065.040 2121.292
1140 16 AV NW,-1072.639 2121.281|-1072.730 2152.660|-1080.328 2152.649|-1087.927 2152.638|-1095.533 2152.627|-1103.131 2152.616|-1103.082 2125.729|-1098.580 2121.237|-1095.442 2121.248|-1087.843 2121.259|-1080.244 2121.270
1320 16 AV NW,-1363.485 2121.014|-1363.478 2115.844|-1355.872 2115.844|-1348.273 2115.855|-1340.668 2115.866|-1333.069 2115.866|-1325.463 2115.877|-1317.865 2115.888|-1310.259 2115.899|-1302.660 2115.899|-1300.528 2115.910|-1299.067 2116.033|-1297.641 2116.400|-1296.299 2117.000|-1295.083 2117.823|-1295.118 2152.471|-1302.723 2152.471|-1310.322 2152.460|-1317.928 2152.449|-1325.526 2152.449|-1333.125 2152.438|-1340.724 2152.427|-1348.322 2152.416|-1355.928 2152.416|-1363.527 2152.405
1107 17 AV NW,-981.553 2158.865|-981.644 2195.437|-989.242 2195.426|-996.841 2195.415|-996.750 2158.854|-989.152 2158.865
1107 17 AV NW,-966.356 2158.887|-966.453 2195.459|-974.045 2195.448|-981.644 2195.437|-981.553 2158.865|-973.954 2158.876
1107 17 AV NW,-966.356 2158.887|-958.757 2158.898|-956.317 2158.898|-956.408 2190.978|-958.848 2193.413|-960.903 2195.470|-966.453 2195.459
1222 16 AV NW,-1161.152 2152.583|-1168.744 2152.571|-1176.336 2152.571|-1176.287 2121.181|-1168.695 2121.181|-1161.096 2121.192
1412 16 AV NW,-1527.978 2152.238|-1527.866 2120.870|-1520.267 2120.870|-1512.668 2120.881|-1505.077 2120.892|-1497.478 2120.892|-1489.879 2120.903|-1482.281 2120.903|-1474.682 2120.914|-1467.083 2120.925|-1467.188 2152.305|-1474.787 2152.293|-1482.386 2152.293|-1489.984 2152.282|-1497.583 2152.271|-1505.182 2152.260|-1512.780 2152.260|-1520.379 2152.249
1208 16 AV NW,-1123.187 2152.605|-1130.779 2152.605|-1138.370 2152.594|-1145.969 2152.594|-1149.765 2152.583|-1153.561 2152.583|-1161.152 2152.583|-1161.096 2121.192|-1161.089 2116.011|-1153.498 2116.022|-1149.695 2116.022|-1145.899 2116.022|-1138.307 2116.033|-1130.716 2116.033|-1123.117 2116.044
1336 16 AV NW,-1393.928 2152.371|-1447.133 2152.316|-1467.188 2152.305|-1467.083 2120.925|-1447.084 2120.925|-1439.485 2120.936|-1431.879 2120.936|-1424.281 2120.948|-1416.682 2120.959|-1409.083 2120.970|-1401.485 2120.981|-1393.886 2120.981
1236 16 AV NW,-1244.674 2152.516|-1252.266 2152.516|-1259.858 2152.505|-1259.816 2121.114|-1252.224 2121.126|-1244.626 2121.126
