ADDRESS,POINTS
125 14 ST NW,-1638.399 603.470|-1638.413 611.087|-1638.420 618.704|-1679.405 618.649|-1679.398 611.032|-1679.391 603.415
326 14 ST NW,-1580.364 687.156|-1618.350 687.300|-1618.329 678.160|-1618.322 673.634|-1580.329 673.323|-1580.343 678.027
424 14 ST NW,-1580.693 831.209|-1580.714 840.360|-1580.735 849.500|-1580.756 858.641|-1580.777 867.781|-1580.798 876.921|-1580.819 886.061|-1580.839 895.201|-1580.860 904.353|-1580.881 913.493|-1580.895 922.655|-1613.702 922.344|-1613.681 913.204|-1613.660 904.053|-1613.639 894.912|-1613.618 885.772|-1613.597 876.632|-1613.583 867.492|-1613.562 858.351|-1613.541 849.200|-1613.520 840.060|-1613.499 830.920
123 14 ST NW,-1638.392 595.854|-1638.399 603.470|-1679.391 603.415|-1679.384 595.798
322 14 ST NW,-1580.329 673.323|-1618.322 673.634|-1618.308 669.031|-1618.287 659.891|-1580.301 659.746|-1580.322 668.886
203 14 ST NW,-1638.420 618.704|-1638.427 626.321|-1638.434 630.902|-1679.419 630.836|-1679.419 626.265|-1679.405 618.649
334 14 ST NW,-1580.364 687.156|-1580.448 721.504|-1618.427 721.170|-1618.350 687.300
1510 KENSINGTON RD NW,-1679.314 534.852|-1679.307 527.235|-1679.293 519.607|-1679.286 509.555|-1642.838 509.611|-1638.287 514.181|-1638.294 519.674|-1638.308 527.291|-1638.315 534.908
336 14 ST NW,-1580.448 721.504|-1580.469 730.644|-1580.490 739.795|-1618.469 739.451|-1618.448 730.311|-1618.427 721.170
609 14 ST NW,-1644.229 966.110|-1644.250 973.716|-1644.264 981.333|-1644.278 988.939|-1644.299 996.545|-1639.133 996.545|-1639.147 1004.161|-1639.154 1011.745|-1644.320 1011.734|-1680.167 1011.623|-1680.132 1004.117|-1680.111 996.511|-1680.090 988.905|-1680.069 981.289|-1680.048 973.683|-1680.055 966.022
406 14 ST NW,-1580.665 817.498|-1580.679 822.069|-1580.693 831.209|-1613.499 830.920|-1618.665 830.875|-1618.644 821.735|-1618.637 817.165
406 14 ST NW,-1580.630 803.788|-1580.651 812.928|-1580.665 817.498|-1618.637 817.165|-1618.623 812.595|-1618.609 803.443
340 14 ST NW,-1580.490 739.795|-1580.511 748.936|-1618.490 748.591|-1618.469 739.451
20 14 ST NW,-1581.734 428.539|-1618.183 428.583|-1618.176 420.966|-1618.169 413.360|-1613.010 413.349|-1581.720 413.272|-1581.727 420.933
20 14 ST NW,-1581.755 443.750|-1618.197 443.795|-1618.190 436.189|-1618.183 428.583|-1581.734 428.539|-1581.741 436.144
505 10 ST NW,-1053.128 962.296|-1044.013 962.374|-1034.904 962.463|-1025.782 962.541|-1026.047 995.811|-1029.095 1000.592|-1035.156 1000.536|-1044.278 1000.459|-1053.401 1000.370
1107 5 AV NW,-1053.128 962.296|-1053.401 1000.370|-1062.524 1000.292|-1062.244 962.219
342 14 ST NW,-1580.511 748.936|-1580.532 758.076|-1613.345 757.787|-1618.511 757.742|-1618.490 748.591
1438 KENSINGTON RD NW,-1588.354 548.251|-1597.498 548.296|-1606.613 548.351|-1618.029 548.418|-1617.952 514.381|-1613.380 509.789|-1605.942 509.766|-1596.834 509.733|-1587.704 509.711
