ADDRESS,POINTS
1302 EDMONTON TR NE,1116.115 1724.971|1077.303 1725.316|1079.009 1717.688|1080.722 1710.060|1116.108 1709.749|1116.115 1717.355
1308 EDMONTON TR NE,1116.122 1740.205|1073.878 1740.572|1075.591 1732.944|1077.303 1725.316|1116.115 1724.971|1116.115 1732.588
1312 EDMONTON TR NE,1116.122 1763.045|1070.327 1763.445|1071.396 1755.817|1072.473 1748.200|1072.172 1748.200|1073.878 1740.572|1116.122 1740.205|1116.122 1747.811|1116.122 1755.428
459 16 AV NE,1244.110 2083.442|1236.512 2083.442|1228.913 2083.430|1221.307 2083.430|1213.709 2083.430|1206.110 2083.419|1198.525 2083.419|1198.476 2049.527|1206.082 2049.472|1213.681 2049.416|1221.279 2049.349|1228.878 2049.294|1236.477 2049.238|1244.075 2049.182
1320 EDMONTON TR NE,1116.122 1763.045|1116.129 1770.661|1116.129 1778.267|1116.129 1788.931|1070.711 1789.331|1068.831 1785.695|1068.719 1778.690|1069.020 1778.679|1069.677 1771.062|1070.327 1763.445
459 16 AV NE,1244.075 2049.182|1251.681 2049.116|1259.259 2049.049|1259.307 2075.836|1259.161 2077.315|1258.727 2078.749|1258.028 2080.061|1257.084 2081.218|1255.931 2082.163|1254.610 2082.863|1253.184 2083.297|1251.702 2083.442|1244.110 2083.442
402 13 AV NE,1094.640 1845.774|1091.906 1845.796|1084.308 1845.862|1084.301 1809.313|1091.900 1809.246|1094.633 1809.224
1204 EDMONTON TR NE,1138.855 1646.812|1119.812 1646.913|1094.919 1647.046|1103.063 1610.574|1119.771 1610.441|1138.848 1610.274
1102 EDMONTON TR NE,1161.539 1526.044|1121.840 1526.355|1123.545 1518.738|1125.279 1510.977|1161.525 1510.721|1161.532 1518.427
1106 EDMONTON TR NE,1161.546 1541.266|1118.428 1541.611|1120.134 1533.983|1121.840 1526.355|1161.539 1526.044|1161.546 1533.649
406 13 AV NE,1104.671 1845.685|1099.505 1845.729|1094.640 1845.774|1094.633 1809.224|1099.498 1809.179|1104.664 1809.135
405 14 AV NE,1099.582 1888.361|1091.983 1888.428|1084.385 1888.495|1084.315 1851.945|1091.913 1851.878|1099.512 1851.823
411 9 AV NE,1217.630 1355.982|1229.794 1355.882|1229.794 1390.920|1217.637 1391.020
902 EDMONTON TR NE,1229.787 1326.938|1191.849 1327.227|1195.282 1319.588|1198.714 1311.938|1229.787 1311.693|1229.787 1319.321
910 EDMONTON TR NE,1229.794 1342.172|1229.794 1349.789|1220.671 1349.855|1220.671 1342.238
908 EDMONTON TR NE,1220.671 1349.855|1181.559 1350.167|1184.992 1342.516|1188.424 1334.877|1191.849 1327.227|1229.787 1326.938|1229.794 1334.555|1229.794 1342.172|1220.671 1342.238
421 16 AV NE,1168.131 2083.408|1082.448 2083.353|1081.008 2083.208|1079.617 2082.797|1078.338 2082.118|1077.213 2081.207|1076.283 2080.095|1075.584 2078.816|1075.143 2077.437|1074.976 2076.003|1074.479 2050.495|1168.075 2049.761
