ADDRESS,POINTS
256 16 AV NE,994.704 2118.868|994.704 2156.897|979.528 2156.886|979.528 2118.868
3003 CENTRE ST NW,609.137 3449.738|595.534 3449.760|595.541 3442.143|595.541 3434.527|595.548 3425.398|609.165 3425.375|609.158 3434.504|609.151 3442.121
256 16 AV NE,979.528 2118.868|979.528 2156.886|964.351 2156.886|964.351 2118.868
256 16 AV NE,949.175 2124.028|949.175 2118.857|964.351 2118.868|964.351 2156.886|949.168 2156.875
104 17 AV NW,590.780 2219.233|610.535 2219.255|610.535 2226.872|610.528 2234.478|610.521 2242.094|590.759 2242.072|590.766 2234.455|590.773 2226.839
108 17 AV NW,590.780 2219.233|590.773 2226.839|590.766 2234.455|590.759 2242.072|572.528 2242.039|572.535 2234.433|572.542 2226.816|572.549 2219.199
2610 CENTRE ST NE,636.148 3075.412|636.155 3067.806|636.162 3060.200|636.169 3052.583|636.176 3044.977|636.190 3037.372|636.190 3032.702|640.685 3028.209|664.306 3028.187|664.292 3037.338|664.285 3044.955|664.278 3052.583|664.271 3060.211|664.257 3067.828|664.250 3075.456
256 16 AV NE,1040.240 2118.879|1048.496 2118.879|1049.824 2118.991|1051.103 2119.358|1052.291 2119.969|1053.333 2120.792|1054.200 2121.804|1054.857 2122.960|1055.269 2124.228|1055.430 2125.551|1056.066 2156.953|1040.247 2156.953|1040.247 2156.875
256 16 AV NE,994.704 2118.868|1001.876 2118.868|1009.153 2118.868|1009.887 2118.868|1009.915 2120.714|1009.880 2156.841|1009.880 2156.908|994.704 2156.897
2903 CENTRE ST NW,609.277 3335.185|609.263 3342.791|609.256 3350.397|609.242 3358.002|609.235 3362.617|577.358 3362.617|577.358 3358.058|577.365 3350.452|577.372 3342.846|577.372 3335.230|577.379 3326.112|609.291 3326.056
2913 CENTRE ST NW,609.207 3388.436|577.317 3388.481|577.330 3380.875|577.344 3373.269|577.351 3368.710|609.228 3368.710|609.221 3373.214|609.214 3380.819
2902 CENTRE ST NE,663.991 3342.735|632.059 3342.802|632.066 3335.185|632.080 3326.056|664.005 3325.989|663.998 3335.129
2906 CENTRE ST NE,663.977 3355.067|632.045 3355.122|632.052 3350.419|632.059 3342.802|663.991 3342.735|663.984 3350.352
2810 CENTRE ST NE,664.061 3273.917|632.136 3273.972|632.143 3266.355|632.150 3258.739|632.157 3254.936|664.082 3254.891|664.075 3258.694|664.068 3266.311
2816 CENTRE ST NE,664.047 3289.150|632.115 3289.195|632.122 3281.589|632.136 3273.972|664.061 3273.917|664.054 3281.534
2803 CENTRE ST NW,605.502 3258.828|577.337 3258.861|577.344 3251.255|577.344 3243.649|577.351 3236.055|577.351 3226.926|602.482 3226.903|605.516 3229.939|605.516 3235.977|605.509 3243.594|605.509 3251.211
2816 CENTRE ST NE,664.047 3289.150|664.040 3296.756|664.026 3305.885|632.101 3305.941|632.108 3296.812|632.115 3289.195
2802 CENTRE ST NE,664.096 3243.472|632.164 3243.516|632.171 3235.899|632.185 3226.770|664.110 3226.737|664.103 3235.866
2815 CENTRE ST NW,605.488 3289.239|577.324 3289.284|577.324 3281.678|577.330 3274.072|609.298 3274.028|609.291 3281.634|609.291 3289.228
2808 CENTRE ST NE,664.082 3254.891|632.157 3254.936|632.157 3251.133|632.164 3243.516|664.096 3243.472|664.082 3251.088
2819 CENTRE ST NW,605.488 3289.239|605.488 3296.856|605.488 3301.393|600.923 3305.974|577.317 3306.008|577.317 3296.890|577.324 3289.284
108 26 AV NE,636.030 3151.969|632.234 3151.969|632.241 3144.363|632.248 3136.747|632.262 3127.618|647.473 3127.606|647.459 3136.691|647.459 3136.736|647.445 3144.308|647.445 3144.341|647.438 3151.958
108 26 AV NE,664.159 3151.936|647.438 3151.958|647.445 3144.341|647.445 3144.308|647.459 3136.736|647.459 3136.691|647.473 3127.606|664.194 3127.584|664.180 3136.713|664.173 3144.330
2705 CENTRE ST NW,609.403 3171.106|577.512 3171.128|577.519 3167.114|577.526 3159.497|577.540 3151.869|577.547 3144.252|609.431 3144.230|609.424 3151.847|609.417 3159.464|609.410 3167.081
2713 CENTRE ST NW,609.389 3182.314|577.505 3182.348|577.512 3174.731|577.512 3171.128|609.403 3171.106|609.403 3174.697
2715 CENTRE ST NW,609.375 3194.735|577.484 3194.779|577.491 3189.965|577.505 3182.348|609.389 3182.314|609.382 3189.942
2719 CENTRE ST NW,609.375 3194.735|609.375 3197.559|609.361 3206.688|577.470 3206.733|577.484 3197.592|577.484 3194.779
2720 CENTRE ST NE,677.763 3206.710|640.517 3206.744|635.960 3202.185|636.030 3151.969|647.438 3151.958|664.159 3151.936|664.131 3170.205|677.819 3170.183
256 16 AV NE,1040.240 2118.879|1040.247 2156.875|1040.247 2156.953|1025.064 2156.908|1025.064 2156.841|1025.064 2118.879
256 16 AV NE,1025.064 2118.879|1025.064 2156.841|1025.064 2156.908|1009.880 2156.908|1009.880 2156.841|1009.915 2120.714|1009.887 2118.868|1023.393 2118.879
