ADDRESS,POINTS
3811 EDMONTON TR NE,1363.535 4261.317|1364.955 4267.265|1365.458 4293.163|1365.171 4300.268|1355.853 4309.264|1321.642 4309.297|1321.586 4261.383
1 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
2 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
3 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
4 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
5 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
6 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
7 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
8 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
9 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
10 3927 EDMONTON TR NE,1360.516 4422.360|1357.258 4507.591|1347.807 4516.709|1312.827 4516.754|1314.190 4420.559
412 41 AV NE,1193.695 4736.241|1159.134 4736.252|1159.022 4680.210|1167.907 4679.632|1176.750 4678.598|1185.523 4677.097|1194.212 4675.140
4000 EDMONTON TR NE,1477.305 4468.828|1386.024 4469.006|1387.436 4432.390|1455.432 4432.312|1493.265 4432.256|1513.362 4432.223
3807 EDMONTON TR NE,1363.535 4261.317|1321.586 4261.383|1321.523 4243.081|1357.615 4243.047|1360.683 4243.047|1362.347 4253.677
431 41 AV NE,1348.667 4577.155|1346.793 4585.483|1344.577 4593.734|1342.033 4601.873|1339.167 4609.924|1338.202 4612.459|1332.029 4616.740|1310.653 4616.762|1305.060 4616.851|1299.475 4617.107|1293.896 4617.541|1288.339 4618.130|1282.795 4618.897|1277.287 4619.831|1271.799 4620.932|1266.354 4622.200|1266.270 4580.112|1266.263 4577.066
