ADDRESS,POINTS
4812 MACLEOD TR SW,350.587 -4206.333|318.753 -4197.104|317.550 -4200.884|315.237 -4208.145|312.923 -4215.406|310.805 -4222.723|308.686 -4230.028|341.017 -4239.391|343.136 -4232.086|345.254 -4224.769|347.365 -4217.452|349.483 -4210.136
5808 MACLEOD TR SW,39.847 -5085.985|3.748 -5085.974|3.748 -5093.590|3.741 -5101.218|3.734 -5108.846|3.727 -5116.474|3.720 -5124.102|3.713 -5131.719|3.706 -5139.347|3.699 -5146.975|3.692 -5154.292|39.770 -5154.270|39.777 -5146.953|39.791 -5139.336|39.798 -5131.708|39.805 -5124.091|39.812 -5116.463|39.819 -5108.846|39.826 -5101.230|39.840 -5093.602
5828 MACLEOD TR SW,39.770 -5154.270|3.692 -5154.292|3.692 -5154.603|3.685 -5162.231|3.685 -5165.745|8.222 -5170.304|39.756 -5170.271|39.763 -5162.187|39.770 -5154.570
5802 MACLEOD TR SW,39.847 -5085.985|39.854 -5078.368|39.861 -5070.740|6.775 -5070.718|3.762 -5073.720|3.755 -5078.346|3.748 -5085.974
5702 MACLEOD TR SW,83.957 -4943.967|83.964 -4936.350|83.971 -4928.733|83.978 -4921.116|83.985 -4913.499|83.992 -4905.882|83.999 -4898.265|58.253 -4898.243|55.191 -4905.871|52.122 -4913.488|49.060 -4921.116|46.005 -4928.722|45.998 -4936.339|45.998 -4943.955
5720 MACLEOD TR SW,45.998 -4943.967|39.924 -4943.855|26.474 -4977.481|24.076 -4983.608|21.797 -4989.779|39.931 -4989.790|45.998 -4989.801|45.998 -4995.828|83.915 -4995.795|83.957 -4943.967
5327 2 ST SW,186.318 -4644.841|156.189 -4644.808|153.057 -4652.414|149.919 -4660.030|186.297 -4660.086|186.304 -4652.469
5114 MACLEOD TR SW,288.603 -4403.815|288.617 -4396.209|288.624 -4388.592|288.631 -4385.546|284.080 -4380.976|269.568 -4380.953|263.276 -4385.179|261.878 -4388.559|258.746 -4396.165|255.615 -4403.771
5114 MACLEOD TR SW,288.603 -4403.815|255.615 -4403.771|252.483 -4411.376|288.596 -4411.432
302 55 AV SW,186.066 -4847.772|142.054 -4847.772|142.026 -4859.192|142.020 -4863.006|142.006 -4870.622|141.985 -4878.228|181.474 -4878.228|185.962 -4873.680
5339 2 ST SW,186.255 -4690.564|148.339 -4690.509|148.325 -4698.137|148.311 -4705.776|186.227 -4705.809|186.241 -4698.192
4816 MACLEOD TR SW,341.017 -4239.391|308.686 -4230.028|306.568 -4237.345|304.450 -4244.651|336.781 -4254.024|338.899 -4246.708
4820 MACLEOD TR SW,336.781 -4254.024|304.450 -4244.651|302.332 -4251.967|300.214 -4259.284|332.545 -4268.646|334.663 -4261.341
5004 MACLEOD TR SW,321.039 -4281.156|295.985 -4273.906|293.867 -4281.223|291.749 -4288.528|289.630 -4295.845|287.512 -4303.150|319.836 -4312.535|321.954 -4305.218|324.072 -4297.902|326.191 -4290.596|328.309 -4283.280
5010 MACLEOD TR SW,319.836 -4312.535|287.512 -4303.150|285.401 -4310.467|317.718 -4319.852
5010 MACLEOD TR SW,317.718 -4319.852|285.401 -4310.467|283.283 -4317.783|281.165 -4325.089|313.482 -4334.474|315.600 -4327.168
5316 MACLEOD TR SW,186.318 -4644.841|186.332 -4637.224|186.339 -4629.607|186.360 -4614.363|186.381 -4599.118|186.423 -4571.497|175.036 -4599.107|168.758 -4614.340|162.481 -4629.563|159.335 -4637.180|156.189 -4644.808
5014 MACLEOD TR SW,313.482 -4334.474|281.165 -4325.089|279.047 -4332.406|277.334 -4338.321|276.999 -4339.744|276.754 -4341.790|276.782 -4343.848|277.096 -4345.882|277.677 -4347.862|278.634 -4349.963|279.900 -4351.887|281.445 -4353.610|283.227 -4355.067|285.212 -4356.246|287.352 -4357.102|289.595 -4357.625|291.895 -4357.803|306.729 -4357.825|307.135 -4356.424|309.253 -4349.107|311.371 -4341.790
