ADDRESS,POINTS
41 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
37 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
33 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
29 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
25 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
21 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
17 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
11 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
7 CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
7R CROWFOOT RI NW,-9696.937 8669.239|-9755.070 8708.068|-9830.994 8594.127|-9788.918 8575.735|-9786.485 8574.801|-9783.976 8574.078|-9781.417 8573.578|-9778.817 8573.300|-9776.209 8573.245|-9773.602 8573.422|-9771.022 8573.823|-9768.492 8574.445|-9766.024 8575.290|-9763.633 8576.347|-9761.347 8577.614|-9759.180 8579.060|-9757.153 8580.706|-9755.273 8582.507|-9753.553 8584.475|-9752.015 8586.577
