ADDRESS,POINTS
7401 OGDEN RD SE,5064.175 -6847.557|5064.168 -6839.940|5064.154 -6832.323|5064.147 -6824.706|5064.133 -6817.090|5064.119 -6808.661|5027.755 -6808.828|5027.762 -6817.256|5027.776 -6824.873|5027.783 -6832.490|5027.790 -6840.107|5027.804 -6847.724
6618 20A ST SE,4327.400 -6037.458|4327.428 -6022.224|4327.470 -6003.943|4290.763 -6003.866|4290.749 -6022.146|4290.735 -6037.380
7003 OGDEN RD SE,4905.191 -6477.144|4906.065 -6476.577|4902.115 -6470.072|4887.589 -6446.132|4883.814 -6448.245|4883.814 -6482.126|4883.814 -6491.055
6622 20A ST SE,4327.400 -6037.458|4290.735 -6037.380|4290.728 -6052.602|4327.365 -6052.680
6630 20A ST SE,4327.365 -6052.680|4290.728 -6052.602|4290.714 -6067.836|4290.700 -6086.105|4327.295 -6086.194|4327.337 -6067.914
2388 CRESTWOOD RD SE,4806.073 -6297.587|4793.902 -6277.538|4756.475 -6300.434|4761.068 -6324.507|4822.438 -6324.585
7233 OGDEN RD SE,5064.175 -6757.978|5064.175 -6750.373|5064.175 -6732.759|5027.769 -6743.034|5027.769 -6750.539|5027.769 -6758.134
7235 OGDEN RD SE,5027.769 -6758.134|5027.769 -6765.729|5027.769 -6773.334|5027.776 -6780.929|5027.776 -6788.824|5064.175 -6788.702|5064.175 -6780.796|5064.175 -6773.190|5064.175 -6765.584|5064.175 -6757.978
7248 OGDEN RD SE,5088.236 -6742.444|5088.250 -6750.039|5088.264 -6757.634|5088.278 -6765.228|5088.292 -6772.823|5088.306 -6780.429|5088.327 -6788.323|5124.664 -6788.212|5124.650 -6780.295|5124.636 -6772.678|5124.629 -6765.062|5124.615 -6757.445|5124.601 -6749.817|5124.587 -6742.200
7011 OGDEN RD SE,4932.789 -6522.623|4928.840 -6516.107|4924.890 -6509.602|4920.940 -6503.097|4892.790 -6521.089|4896.718 -6527.549|4900.640 -6534.010|4904.569 -6540.470
7025 OGDEN RD SE,4904.569 -6540.470|4908.490 -6546.919|4912.412 -6553.380|4916.341 -6559.840|4920.262 -6566.301|4924.184 -6572.750|4928.113 -6579.210|4932.034 -6585.671|4957.521 -6585.560|4958.996 -6585.404|4960.416 -6584.959|4961.716 -6584.259|4962.862 -6583.302|4963.799 -6582.157|4964.491 -6580.845|4964.924 -6579.422|4965.064 -6577.943|4965.064 -6575.774|4960.423 -6568.124|4956.473 -6561.630|4952.523 -6555.125|4948.581 -6548.632|4944.631 -6542.127|4940.681 -6535.622|4936.739 -6529.128|4932.789 -6522.623
7005 18 ST SE,3894.850 -6336.272|3849.601 -6336.238|3843.799 -6336.227|3843.792 -6345.901|3843.778 -6362.970|3843.764 -6380.327|3843.736 -6410.794|3892.774 -6410.839|3897.332 -6406.269|3897.388 -6336.272
7404 OGDEN RD SE,5124.846 -6839.751|5124.839 -6832.134|5124.825 -6824.517|5124.818 -6816.901|5124.804 -6808.505|5088.369 -6808.550|5088.383 -6816.956|5088.390 -6824.584|5088.404 -6832.201|5088.418 -6839.818
1603 62 AV SE,3629.778 -5601.729|3554.197 -5601.562|3551.562 -5601.785|3549.010 -5602.463|3546.613 -5603.575|3544.452 -5605.087|3542.579 -5606.955|3541.055 -5609.112|3539.930 -5611.503|3539.238 -5614.049|3534.862 -5638.068|3549.129 -5638.101|3566.424 -5638.134|3582.201 -5638.168|3597.377 -5638.201|3613.162 -5638.223|3628.331 -5638.257|3629.743 -5638.257
