ADDRESS,POINTS
5010 CENTRE ST NE,680.706 5424.816|642.698 5424.805|642.705 5401.954|680.706 5401.965
4803 CENTRE ST NW,612.178 5223.875|581.776 5223.875|581.762 5209.220|607.956 5198.056|612.157 5200.836
5006 CENTRE ST NE,680.706 5401.965|642.705 5401.954|642.705 5386.731|680.713 5386.743
4829 CENTRE ST NW,612.241 5283.265|612.262 5304.581|612.276 5318.291|612.129 5319.770|611.696 5321.193|610.997 5322.505|610.053 5323.662|608.906 5324.607|607.592 5325.319|606.166 5325.752|604.684 5325.897|581.881 5325.897|581.853 5304.581|581.832 5283.265
5020 CENTRE ST NE,680.699 5441.562|642.691 5441.562|642.698 5424.805|680.706 5424.816
521 54 AV NW,-74.664 5895.893|-75.293 5895.837|-75.909 5895.682|-76.489 5895.415|-77.020 5895.059|-77.481 5894.625|-77.866 5894.114|-78.160 5893.558|-78.355 5892.946|-78.439 5892.313|-78.425 5891.679|-78.299 5891.056|-78.076 5890.456|-77.754 5889.911|-77.342 5889.422|-59.663 5871.675|-44.563 5881.871|-40.600 5885.819|-40.600 5895.871
5512 4 ST NW,48.074 5865.303|48.186 5895.760|29.934 5895.737|17.771 5895.726|16.289 5895.582|14.856 5895.148|13.542 5894.436|12.381 5893.491|11.430 5892.335|10.731 5891.023|10.291 5889.599|10.144 5888.109|10.074 5869.840|10.165 5868.951|10.417 5868.094|10.836 5867.305|11.402 5866.615|12.094 5866.048|12.877 5865.626|13.730 5865.370|14.618 5865.270|29.822 5865.292
5440 4 ST NW,54.890 5720.394|41.322 5732.603|24.817 5747.470|23.783 5748.271|22.643 5748.916|21.420 5749.394|20.148 5749.694|18.840 5749.805|17.533 5749.727|16.247 5749.460|15.010 5749.016|13.856 5748.404|12.801 5747.626|11.864 5746.703|11.074 5745.658|10.438 5744.512|9.976 5743.289|9.697 5742.010|9.599 5740.698|9.445 5697.099|23.950 5685.935
5003 CENTRE ST NW,581.930 5371.487|589.536 5371.487|589.536 5379.104|581.930 5379.104
5005 CENTRE ST NW,612.318 5397.373|581.923 5397.373|581.930 5379.104|589.536 5379.104|589.536 5371.487|581.930 5371.487|581.937 5360.834|582.021 5359.956|582.280 5359.100|582.706 5358.310|583.272 5357.621|583.964 5357.054|584.747 5356.631|585.607 5356.364|586.495 5356.275|604.726 5356.275|606.215 5356.420|607.641 5356.865|608.955 5357.565|610.102 5358.510|611.046 5359.667|611.752 5360.979|612.178 5362.402|612.325 5363.881|612.318 5379.104
5011 CENTRE ST NW,612.311 5415.631|581.916 5415.642|581.923 5397.373|612.318 5397.373
5015 CENTRE ST NW,612.311 5433.900|581.909 5433.912|581.916 5415.642|612.311 5415.631
5004 CENTRE ST NE,680.713 5386.743|642.705 5386.731|642.712 5371.498|642.719 5363.881|642.859 5362.402|643.293 5360.968|643.992 5359.656|644.935 5358.499|646.089 5357.554|647.403 5356.853|648.829 5356.420|650.311 5356.264|676.162 5356.275|680.720 5360.845|680.720 5371.509
4811 CENTRE ST NW,612.199 5243.668|612.220 5263.461|612.234 5276.048|612.241 5283.265|581.832 5283.265|581.811 5263.472|581.797 5243.668|581.776 5223.875|612.178 5223.875
