ADDRESS,POINTS
5551 RICHMOND RD SW,-6664.706 -3603.134|-6662.791 -3554.197|-6655.513 -3365.588|-6663.965 -3365.977|-6672.402 -3366.500|-6680.840 -3367.178|-6689.256 -3368.012|-6697.659 -3368.991|-6706.041 -3370.102|-6714.408 -3371.381|-6722.748 -3372.793|-6723.894 -3373.094|-6724.978 -3373.572|-6725.977 -3374.217|-6726.858 -3375.017|-6727.606 -3375.940|-6728.193 -3376.974|-6728.613 -3378.086|-6728.851 -3379.254|-6730.116 -3389.450|-6744.593 -3392.864|-6747.948 -3419.929|-6748.501 -3423.787|-6749.207 -3427.624|-6750.060 -3431.426|-6751.066 -3435.196|-6752.213 -3438.921|-6753.499 -3442.602|-6754.932 -3446.227|-6756.505 -3449.796|-6758.588 -3454.455|-6760.517 -3459.181|-6762.286 -3463.962|-6763.901 -3468.810|-6765.355 -3473.692|-6766.655 -3478.629|-6767.787 -3483.610|-6768.759 -3488.614|-6769.829 -3495.508|-6770.591 -3502.447|-6771.045 -3509.407|-6771.185 -3516.391|-6771.171 -3539.019|-6771.318 -3543.756|-6771.758 -3548.459|-6772.492 -3553.140|-6773.527 -3557.755|-6774.848 -3562.303|-6776.449 -3566.751|-6778.329 -3571.098|-6780.475 -3575.313|-6756.281 -3599.553
5551R RICHMOND RD SW,-6664.706 -3603.134|-6756.281 -3599.553|-6780.475 -3575.313|-6782.125 -3578.148|-6784.537 -3581.862|-6787.158 -3585.420|-6789.989 -3588.812|-6793.009 -3592.036|-6847.842 -3647.134|-6850.869 -3649.925|-6854.127 -3652.449|-6776.623 -3730.063|-6776.575 -3782.891|-6666.405 -3782.814|-6670.228 -3745.930
5751 RICHMOND RD SW,-6932.008 -3489.070|-6933.658 -3482.754|-6935.706 -3476.561|-6938.159 -3470.512|-6940.998 -3464.640|-6945.402 -3456.223|-6959.306 -3463.562|-6960.753 -3462.683|-6962.291 -3461.983|-6963.898 -3461.471|-6965.555 -3461.127|-6967.240 -3460.982|-6968.931 -3461.027|-6970.602 -3461.260|-6972.238 -3461.694|-6990.539 -3467.565|-7057.815 -3503.047|-7059.039 -3503.859|-7060.080 -3504.893|-7060.905 -3506.105|-7061.471 -3507.462|-7061.765 -3508.907|-7061.779 -3510.375|-7061.499 -3511.809|-7060.947 -3513.177|-7054.278 -3525.909|-7051.985 -3530.535|-7049.923 -3535.283|-7048.085 -3540.120|-7046.484 -3545.034|-7045.121 -3550.016|-7044.002 -3555.064|-7043.121 -3560.157|-7042.485 -3565.294|-7042.094 -3570.454|-7041.954 -3575.624|-7042.059 -3580.795|-7042.415 -3585.954|-7043.017 -3591.080|-7043.862 -3596.184|-7044.946 -3601.243|-7046.281 -3606.236|-7071.922 -3694.047|-6996.334 -3693.991|-6927.946 -3625.284|-6928.610 -3622.315|-6929.093 -3619.324|-6929.379 -3616.310|-6929.477 -3613.275|-6929.505 -3577.859|-6929.554 -3511.075|-6929.708 -3505.527|-6930.169 -3500.000|-6930.938 -3494.518
5751R RICHMOND RD SW,-6776.575 -3782.891|-6776.623 -3730.063|-6854.127 -3652.449|-6856.727 -3654.161|-6859.433 -3655.696|-6862.236 -3657.063|-6865.116 -3658.231|-6868.073 -3659.220|-6871.086 -3660.010|-6874.141 -3660.599|-6877.230 -3660.988|-6880.341 -3661.177|-6883.452 -3661.166|-6886.556 -3660.944|-6889.645 -3660.521|-6892.693 -3659.899|-6895.699 -3659.087|-6898.642 -3658.075|-6901.515 -3656.863|-6903.899 -3655.696|-6906.220 -3654.383|-6908.457 -3652.949|-6910.617 -3651.403|-6912.686 -3649.724|-6914.657 -3647.945|-6916.531 -3646.055|-6918.292 -3644.065|-6919.942 -3641.974|-6921.480 -3639.795|-6922.885 -3637.537|-6924.164 -3635.202|-6925.318 -3632.812|-6926.331 -3630.343|-6927.212 -3627.830|-6927.946 -3625.284|-6996.334 -3693.991|-7071.922 -3694.047|-7088.580 -3751.101|-7089.293 -3753.925|-7089.664 -3756.816|-7089.692 -3759.730|-7089.377 -3762.621|-7088.720 -3765.467|-7087.735 -3768.203|-7086.434 -3770.816|-7084.827 -3773.240|-7082.953 -3775.475|-7080.821 -3777.454|-7078.472 -3779.178|-7075.935 -3780.612|-7073.250 -3781.735|-7070.447 -3782.536|-7067.574 -3782.991|-7064.666 -3783.103
5622 SIGNAL HILL CE SW,-6634.165 -2865.578|-6707.404 -2865.544|-6716.456 -2865.544|-6719.980 -2865.544|-6720.420 -2865.544|-6745.607 -2921.787|-6748.039 -2927.224|-6787.228 -2956.513|-6779.266 -2984.868|-6777.015 -2992.885|-6775.218 -2999.290|-6760.168 -3052.930|-6754.701 -3072.389|-6745.355 -3117.001|-6743.593 -3124.884|-6741.629 -3132.724|-6740.371 -3137.327|-6733.192 -3162.746|-6728.913 -3177.891|-6725.894 -3188.588|-6701.979 -3167.183|-6697.722 -3163.180|-6693.653 -3158.999|-6689.774 -3154.640|-6686.097 -3150.103|-6682.629 -3145.411|-6679.379 -3140.563|-6676.345 -3135.570|-6673.549 -3130.455|-6670.983 -3125.207|-6668.656 -3119.858|-6666.572 -3114.399|-6664.741 -3108.861|-6663.161 -3103.235|-6661.833 -3097.553|-6660.763 -3091.815|-6659.959 -3086.033|-6651.109 -3010.454|-6648.879 -2991.317|-6643.084 -2941.857|-6640.659 -2921.086|-6638.680 -2904.162
5858 SIGNAL HILL CE SW,-7052.712 -3315.639|-7112.159 -3103.791|-7127.112 -3050.562|-7161.421 -3056.789|-7188.887 -3056.777|-7276.974 -3056.755|-7303.251 -3056.744|-7303.258 -3081.618|-7303.265 -3098.453|-7283.461 -3098.198|-7235.821 -3266.702|-7218.855 -3261.876|-7195.912 -3343.049|-7189.152 -3343.494|-7182.379 -3343.705|-7175.605 -3343.683|-7168.838 -3343.427|-7162.078 -3342.949|-7155.340 -3342.237|-7148.636 -3341.292|-7141.960 -3340.113|-7133.746 -3338.356|-7125.609 -3336.233
5661 SIGNAL HILL CE SW,-6971.595 -3401.437|-6959.802 -3395.221|-6955.768 -3393.086|-6954.210 -3393.231|-6952.651 -3393.220|-6951.099 -3393.042|-6949.568 -3392.697|-6892.512 -3376.730|-6881.124 -3372.582|-6869.674 -3368.624|-6858.167 -3364.832|-6846.605 -3361.207|-6834.987 -3357.771|-6823.320 -3354.502|-6811.604 -3351.411|-6799.846 -3348.497|-6796.672 -3346.151|-6793.624 -3343.649|-6790.695 -3341.003|-6787.906 -3338.201|-6785.257 -3335.276|-6782.761 -3332.229|-6780.412 -3329.049|-6778.224 -3325.769|-6775.799 -3321.655|-6773.625 -3317.407|-6771.709 -3313.048|-6770.052 -3308.567|-6768.668 -3304.008|-6767.557 -3299.371|-6766.718 -3294.668|-6766.166 -3289.931|-6764.530 -3271.006|-6763.866 -3263.389|-6763.432 -3259.208|-6762.838 -3255.038|-6762.083 -3250.902|-6761.181 -3246.787|-6760.119 -3242.718|-6758.910 -3238.681|-6757.546 -3234.700|-6756.036 -3230.775|-6753.303 -3224.582|-6750.199 -3218.577|-6746.732 -3212.773|-6742.929 -3207.180|-6794.191 -3229.341|-6810.723 -3236.468|-6830.198 -3244.853|-6841.963 -3249.756|-6853.854 -3254.349|-6865.857 -3258.641|-6877.971 -3262.621|-6880.376 -3263.378|-6880.572 -3263.433|-6888.918 -3266.024|-6891.197 -3266.769|-6902.718 -3270.316|-6920.816 -3275.887|-7007.778 -3302.763|-7010.560 -3303.619|-6980.578 -3382.345
5733 SIGNAL HILL CE SW,-6971.595 -3401.437|-6980.578 -3382.345|-7010.560 -3303.619|-7019.452 -3306.221|-7052.712 -3315.639|-7125.609 -3336.233|-7133.746 -3338.356|-7141.960 -3340.113|-7132.236 -3390.840|-7130.719 -3398.024|-7128.943 -3405.151|-7126.902 -3412.201|-7124.609 -3419.173|-7122.065 -3426.067|-7119.269 -3432.850|-7116.221 -3439.533|-7112.935 -3446.093|-7100.653 -3469.522|-7085.204 -3461.382|-7082.729 -3462.139|-7080.157 -3462.461|-7077.563 -3462.339|-7075.040 -3461.760|-7068.748 -3459.748|-7058.067 -3456.312|-7035.012 -3444.147|-6991.769 -3421.330|-6990.546 -3420.518|-6989.504 -3419.495|-6988.680 -3418.272|-6988.113 -3416.927|-6987.813 -3415.481|-6987.806 -3414.013|-6988.078 -3412.579|-6988.631 -3411.211|-6988.952 -3410.600|-6984.863 -3408.431
5989 SIGNAL HILL CE SW,-7195.912 -3343.049|-7204.448 -3342.159|-7299.910 -3330.128|-7299.910 -3339.702|-7299.952 -3510.720|-7299.784 -3512.721|-7299.287 -3514.667|-7298.477 -3516.502|-7297.365 -3518.170|-7295.995 -3519.626|-7294.394 -3520.849|-7292.619 -3521.772|-7290.717 -3522.395|-7270.165 -3527.199|-7260.385 -3526.487|-7250.627 -3525.553|-7240.896 -3524.397|-7231.193 -3523.018|-7221.518 -3521.428|-7211.885 -3519.604|-7202.302 -3517.569|-7192.760 -3515.312|-7183.280 -3512.832|-7173.850 -3510.141|-7164.490 -3507.239|-7155.200 -3504.115|-7145.979 -3500.790|-7136.836 -3497.254|-7127.776 -3493.507|-7118.807 -3489.548|-7117.493 -3488.781|-7116.361 -3487.758|-7115.459 -3486.535|-7114.823 -3485.156|-7114.480 -3483.666|-7114.438 -3482.142|-7114.711 -3480.641|-7115.277 -3479.229|-7116.095 -3477.672|-7111.705 -3475.360|-7100.653 -3469.522|-7112.935 -3446.093|-7116.221 -3439.533|-7119.269 -3432.850|-7122.065 -3426.067|-7124.609 -3419.173|-7126.902 -3412.201|-7128.943 -3405.151|-7130.719 -3398.024|-7132.236 -3390.840|-7141.960 -3340.113|-7148.636 -3341.292|-7155.340 -3342.237|-7162.078 -3342.949|-7168.838 -3343.427|-7175.605 -3343.683|-7182.379 -3343.705|-7189.152 -3343.494
5986 SIGNAL HILL CE SW,-7195.912 -3343.049|-7218.855 -3261.876|-7235.821 -3266.702|-7302.482 -3285.672|-7301.357 -3292.789|-7300.553 -3299.938|-7300.070 -3307.122|-7299.903 -3314.327|-7299.903 -3316.384|-7299.903 -3320.554|-7299.910 -3330.128|-7204.448 -3342.159
