ADDRESS,POINTS
549 RIVERFRONT AV SE,1439.536 -93.399|1444.213 -89.118|1446.806 -31.453|1446.855 -30.229|1447.260 -21.145|1385.395 -3.787|1372.819 -0.262|1369.107 -82.124|1368.743 -90.175|1370.100 -90.241
608 6 AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
542 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
538 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
534 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
530 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
526 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
518 RIVERFRONT AV SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
603 CONFLUENCE WY SE,1526.588 -53.858|1519.102 -51.757|1511.608 -49.655|1504.114 -47.554|1496.627 -45.452|1489.133 -43.350|1481.640 -41.249|1474.153 -39.136|1470.958 -38.247|1466.435 -41.527|1464.261 -90.041|1468.546 -94.745|1471.629 -94.878|1479.207 -95.223|1486.778 -95.568|1494.355 -95.912|1501.926 -96.246|1509.504 -96.591|1517.074 -96.935|1524.624 -97.280|1525.260 -83.247|1525.540 -77.065|1525.742 -72.561
10 632 CONFLUENCE WY SE,1577.996 -51.634|1579.304 -49.477|1584.567 -40.771|1553.320 -19.722|1535.683 -9.792|1533.893 -8.780|1527.141 -33.132|1529.063 -33.676|1533.257 -34.855|1533.823 -35.011|1566.196 -44.118|1567.888 -44.651|1569.531 -45.319|1571.125 -46.097|1572.656 -46.998|1574.117 -48.010|1575.501 -49.121|1576.794 -50.322
110 632 CONFLUENCE WY SE,1577.996 -51.634|1579.304 -49.477|1584.567 -40.771|1553.320 -19.722|1535.683 -9.792|1533.893 -8.780|1527.141 -33.132|1529.063 -33.676|1533.257 -34.855|1533.823 -35.011|1566.196 -44.118|1567.888 -44.651|1569.531 -45.319|1571.125 -46.097|1572.656 -46.998|1574.117 -48.010|1575.501 -49.121|1576.794 -50.322
120 632 CONFLUENCE WY SE,1577.996 -51.634|1579.304 -49.477|1584.567 -40.771|1553.320 -19.722|1535.683 -9.792|1533.893 -8.780|1527.141 -33.132|1529.063 -33.676|1533.257 -34.855|1533.823 -35.011|1566.196 -44.118|1567.888 -44.651|1569.531 -45.319|1571.125 -46.097|1572.656 -46.998|1574.117 -48.010|1575.501 -49.121|1576.794 -50.322
200 632 CONFLUENCE WY SE,1577.996 -51.634|1579.304 -49.477|1584.567 -40.771|1553.320 -19.722|1535.683 -9.792|1533.893 -8.780|1527.141 -33.132|1529.063 -33.676|1533.257 -34.855|1533.823 -35.011|1566.196 -44.118|1567.888 -44.651|1569.531 -45.319|1571.125 -46.097|1572.656 -46.998|1574.117 -48.010|1575.501 -49.121|1576.794 -50.322
300 632 CONFLUENCE WY SE,1577.996 -51.634|1579.304 -49.477|1584.567 -40.771|1553.320 -19.722|1535.683 -9.792|1533.893 -8.780|1527.141 -33.132|1529.063 -33.676|1533.257 -34.855|1533.823 -35.011|1566.196 -44.118|1567.888 -44.651|1569.531 -45.319|1571.125 -46.097|1572.656 -46.998|1574.117 -48.010|1575.501 -49.121|1576.794 -50.322
