ADDRESS,POINTS
1 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
2 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
3 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
4 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
5 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
6 111 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
1404 CENTRE ST SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
101 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
109 14 AV SE,653.939 -958.618|569.928 -954.826|565.167 -959.185|563.461 -997.258|593.835 -998.626|601.420 -998.960|609.011 -999.304|616.603 -999.649|624.195 -999.994|631.786 -1000.327|639.378 -1000.672|646.970 -1001.017|652.031 -1001.239
1121 12 AV SW,-1063.964 -716.180|-1071.555 -715.835|-1079.147 -715.502|-1086.739 -715.157|-1094.337 -714.812|-1101.929 -714.467|-1109.521 -714.134|-1117.112 -713.789|-1124.704 -713.444|-1132.303 -713.111|-1139.894 -712.766|-1147.486 -712.421|-1155.078 -712.088|-1162.669 -711.743|-1170.268 -711.398|-1177.859 -711.065|-1185.451 -710.720|-1193.043 -710.375|-1200.634 -710.042|-1208.233 -709.697|-1215.825 -709.352|-1217.579 -748.960|-1209.988 -749.305|-1202.396 -749.649|-1194.804 -749.983|-1187.213 -750.328|-1179.621 -750.672|-1172.029 -751.006|-1164.438 -751.351|-1156.846 -751.684|-1149.254 -752.029|-1141.663 -752.374|-1134.071 -752.707|-1126.479 -753.052|-1118.888 -753.397|-1111.289 -753.730|-1103.697 -754.075|-1096.106 -754.420|-1088.514 -754.753|-1080.923 -755.098|-1073.331 -755.443|-1065.739 -755.776
1121 12 AV SW,-1063.684 -710.086|-1071.283 -709.742|-1078.874 -709.408|-1086.466 -709.063|-1094.058 -708.719|-1101.656 -708.385|-1109.248 -708.040|-1116.840 -707.696|-1124.431 -707.362|-1132.030 -707.017|-1139.622 -706.673|-1147.213 -706.328|-1154.805 -705.994|-1162.397 -705.650|-1169.995 -705.305|-1177.587 -704.971|-1185.178 -704.627|-1192.770 -704.282|-1200.369 -703.948|-1207.960 -703.604|-1215.552 -703.259|-1215.825 -709.352|-1208.233 -709.697|-1200.634 -710.042|-1193.043 -710.375|-1185.451 -710.720|-1177.859 -711.065|-1170.268 -711.398|-1162.669 -711.743|-1155.078 -712.088|-1147.486 -712.421|-1139.894 -712.766|-1132.303 -713.111|-1124.704 -713.444|-1117.112 -713.789|-1109.521 -714.134|-1101.929 -714.467|-1094.337 -714.812|-1086.739 -715.157|-1079.147 -715.502|-1071.555 -715.835|-1063.964 -716.180
