ADDRESS,POINTS
1V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
2V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
3V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
4V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
5V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
6V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
7V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
8V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
9V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
10V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
11V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
12V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
13V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
14V 310 15 AV SW,194.958 -1023.478|198.146 -1020.598|198.887 -1004.097|199.943 -980.957|192.351 -980.601|184.759 -980.268|177.161 -979.923|173.246 -979.745|169.569 -979.578|165.773 -979.412|161.970 -979.245|154.379 -978.900|151.310 -978.778|150.639 -978.733|146.780 -978.566|139.188 -978.222|137.224 -1020.898|144.823 -1021.243|148.674 -1021.410|152.421 -1021.577|160.013 -1021.921|167.612 -1022.255|171.296 -1022.422|175.210 -1022.600|182.802 -1022.933|190.401 -1023.278
