ADDRESS,POINTS
7640 114 AV SE,10334.638 -10655.083|10315.827 -10654.304|10297.023 -10653.326|10278.225 -10652.147|10259.449 -10650.757|10259.358 -10830.359|10334.582 -10830.126|10334.624 -10685.283
11609 40 ST SE,6401.286 -11351.230|6405.040 -11359.313|6549.756 -11307.997|6544.108 -11290.728|6538.781 -11273.349|6533.776 -11255.869|6529.093 -11238.311|6478.775 -11241.180|6476.273 -11241.147|6473.791 -11240.769|6471.386 -11240.057|6469.100 -11239.023|6466.975 -11237.677|6465.060 -11236.065|6463.375 -11234.208|6461.956 -11232.129|6460.977 -11230.194|6460.222 -11228.148|6459.719 -11226.035|6459.467 -11223.878|6361.454 -11229.516|6365.131 -11245.305|6365.173 -11245.316|6368.724 -11258.860|6372.597 -11272.303|6376.784 -11285.647|6381.286 -11298.901|6386.102 -11312.033|6391.226 -11325.054|6396.665 -11337.953|6402.397 -11350.707
11511 40 ST SE,6323.020 -10997.240|6325.173 -11003.245|6327.117 -11009.138|6328.913 -11015.076|6330.556 -11021.058|6332.038 -11027.085|6333.366 -11033.145|6334.541 -11039.250|6335.561 -11045.366|6336.414 -11051.515|6335.428 -11051.637|6351.101 -11175.875|6352.087 -11175.753|6353.764 -11188.007|6355.701 -11200.238|6357.889 -11212.414|6360.335 -11224.545|6361.454 -11229.516|6459.467 -11223.878|6459.719 -11226.035|6460.222 -11228.148|6460.977 -11230.194|6461.956 -11232.129|6463.375 -11234.208|6465.060 -11236.065|6466.975 -11237.677|6469.100 -11239.023|6471.386 -11240.057|6473.791 -11240.769|6476.273 -11241.147|6478.775 -11241.180|6529.093 -11238.311|6528.470 -11235.920|6526.590 -11228.426|6526.548 -11228.381|6524.584 -11220.108|6523.430 -11215.171|6520.173 -11200.605|6517.132 -11185.983|6514.315 -11171.316|6511.721 -11156.616|6509.344 -11141.872|6507.198 -11127.094|6505.269 -11112.294|6503.563 -11097.460|6502.088 -11082.594|6500.830 -11067.716|6499.802 -11052.827|6498.999 -11037.916|6498.418 -11022.993|6498.069 -11008.060|6497.936 -10993.137|6498.034 -10978.204|6499.299 -10886.301|6499.138 -10884.200|6498.614 -10882.154|6497.740 -10880.230|6496.545 -10878.495|6495.070 -10876.994|6493.350 -10875.771|6491.442 -10874.870|6489.415 -10874.315|6469.660 -10870.856|6382.341 -10871.056|6377.238 -10871.323|6372.177 -10872.068|6367.214 -10873.280|6362.384 -10874.948|6357.728 -10877.061|6353.289 -10879.596|6349.102 -10882.543|6345.215 -10885.857|6341.643 -10889.526|6338.434 -10893.518|6335.610 -10897.777|6333.191 -10902.291|6331.206 -10907.017|6329.668 -10911.898|6328.592 -10916.902|6327.984 -10921.984|6325.642 -10955.287|6323.531 -10988.601
11511 40 ST SE,6323.020 -10997.240|6325.173 -11003.245|6327.117 -11009.138|6328.913 -11015.076|6330.556 -11021.058|6332.038 -11027.085|6333.366 -11033.145|6334.541 -11039.250|6335.561 -11045.366|6336.414 -11051.515|6335.428 -11051.637|6351.101 -11175.875|6352.087 -11175.753|6353.764 -11188.007|6355.701 -11200.238|6357.889 -11212.414|6360.335 -11224.545|6361.454 -11229.516|6459.467 -11223.878|6459.719 -11226.035|6460.222 -11228.148|6460.977 -11230.194|6461.956 -11232.129|6463.375 -11234.208|6465.060 -11236.065|6466.975 -11237.677|6469.100 -11239.023|6471.386 -11240.057|6473.791 -11240.769|6476.273 -11241.147|6478.775 -11241.180|6529.093 -11238.311|6528.470 -11235.920|6526.590 -11228.426|6526.548 -11228.381|6524.584 -11220.108|6523.430 -11215.171|6520.173 -11200.605|6517.132 -11185.983|6514.315 -11171.316|6511.721 -11156.616|6509.344 -11141.872|6507.198 -11127.094|6505.269 -11112.294|6503.563 -11097.460|6502.088 -11082.594|6500.830 -11067.716|6499.802 -11052.827|6498.999 -11037.916|6498.418 -11022.993|6498.069 -11008.060|6497.936 -10993.137|6498.034 -10978.204|6499.299 -10886.301|6499.138 -10884.200|6498.614 -10882.154|6497.740 -10880.230|6496.545 -10878.495|6495.070 -10876.994|6493.350 -10875.771|6491.442 -10874.870|6489.415 -10874.315|6469.660 -10870.856|6382.341 -10871.056|6377.238 -10871.323|6372.177 -10872.068|6367.214 -10873.280|6362.384 -10874.948|6357.728 -10877.061|6353.289 -10879.596|6349.102 -10882.543|6345.215 -10885.857|6341.643 -10889.526|6338.434 -10893.518|6335.610 -10897.777|6333.191 -10902.291|6331.206 -10907.017|6329.668 -10911.898|6328.592 -10916.902|6327.984 -10921.984|6325.642 -10955.287|6323.531 -10988.601
6202 106 AV SE,8972.872 -8827.416|8799.229 -8959.571|8795.804 -8962.173|8787.967 -8968.189|8798.824 -8982.566|8828.743 -9022.096|8834.734 -9030.013|8843.045 -9040.988|8845.842 -9044.691|8846.785 -9045.814|8847.827 -9046.848|8848.973 -9047.760|8850.197 -9048.572|8851.497 -9049.250|8852.860 -9049.795|8854.265 -9050.206|8855.705 -9050.473|8857.166 -9050.607|8858.634 -9050.584|8860.088 -9050.417|8861.521 -9050.117|8862.919 -9049.672|8864.268 -9049.094|8865.548 -9048.383|8866.757 -9047.549|8867.568 -9046.937|8879.249 -9062.360|8878.179 -9063.694|8877.229 -9065.117|8876.404 -9066.619|8875.712 -9068.175|8875.146 -9069.799|8874.726 -9071.456|8874.447 -9073.146|8874.314 -9074.847|8874.328 -9076.559|8874.489 -9078.261|8874.789 -9079.951|8875.237 -9081.597|8875.817 -9083.209|8876.537 -9084.766|8877.390 -9086.244|8878.361 -9087.657|8912.768 -9133.124|8914.215 -9135.026|8964.407 -9201.342|8967.448 -9205.368|8981.023 -9223.292|9158.847 -9223.036|9158.945 -8731.477|9158.938 -8731.488
4901 114 AV SE,7894.081 -11657.827|7894.053 -11270.936|7893.822 -10877.117|7893.606 -10874.515|7892.935 -10871.991|7891.837 -10869.622|7890.348 -10867.487|7888.517 -10865.630|7886.385 -10864.129|7884.029 -10863.028|7881.512 -10862.339|7857.563 -10858.158|7349.726 -10858.936|7303.616 -10859.014|7091.672 -10864.563|7091.854 -11080.081|7092.001 -11556.306|7092.155 -11616.418|7092.176 -11659.640|7884.979 -11657.872
12525R 52 ST SE,7894.081 -11657.827|7894.053 -11270.936|7893.822 -10877.117|7893.606 -10874.515|7892.935 -10871.991|7891.837 -10869.622|7890.348 -10867.487|7888.517 -10865.630|7886.385 -10864.129|7884.029 -10863.028|7881.512 -10862.339|7857.563 -10858.158|7349.726 -10858.936|7303.616 -10859.014|7091.672 -10864.563|7091.854 -11080.081|7092.001 -11556.306|7092.155 -11616.418|7092.176 -11659.640|7884.979 -11657.872
4901R 114 AV SE,7894.081 -11657.827|7884.979 -11657.872|7092.176 -11659.640|7092.176 -11676.375|7092.176 -11676.386|7092.203 -11736.353|7092.231 -11796.309|7092.231 -11796.343|7092.231 -11856.299|7092.287 -11916.211|7092.350 -11976.134|7092.378 -12091.443|7093.762 -12090.665|7489.647 -12093.344|7493.380 -12093.378|7885.210 -12096.158|7894.528 -12096.202
12655R 52 ST SE,7894.081 -11657.827|7884.979 -11657.872|7092.176 -11659.640|7092.176 -11676.375|7092.176 -11676.386|7092.203 -11736.353|7092.231 -11796.309|7092.231 -11796.343|7092.231 -11856.299|7092.287 -11916.211|7092.350 -11976.134|7092.378 -12091.443|7093.762 -12090.665|7489.647 -12093.344|7493.380 -12093.378|7885.210 -12096.158|7894.528 -12096.202
12345 40 ST SE,6821.518 -12038.837|6718.793 -12070.294|6723.735 -12088.441|6728.398 -12106.655|6729.803 -12112.448|6743.022 -12166.967|6745.140 -12175.718|6748.062 -12187.771|6748.307 -12187.704|6750.586 -12196.600|6753.109 -12205.440|6755.864 -12214.191|6758.863 -12222.875|6762.085 -12231.471|6765.545 -12239.977|6769.236 -12248.384|6773.144 -12256.690|6777.282 -12264.885|6781.638 -12272.969|6786.209 -12280.930|6790.991 -12288.770|6795.989 -12296.464|6801.190 -12304.026|6806.594 -12311.442|6812.193 -12318.714|6817.604 -12325.364|6823.182 -12331.880|6828.921 -12338.251|6834.821 -12344.467|6840.875 -12350.538|6847.082 -12356.454|6853.437 -12362.203|6859.938 -12367.796|6866.572 -12373.222|6873.346 -12378.471|6880.252 -12383.552|6887.278 -12388.445|6894.429 -12393.170|6901.699 -12397.707|6909.081 -12402.055|6916.568 -12406.225|6925.502 -12410.873|6936.015 -12410.217|6942.370 -12413.008|6948.780 -12415.665|6955.246 -12418.189|6961.761 -12420.580|6968.325 -12422.837|6974.931 -12424.961|6981.579 -12426.940|6988.269 -12428.786|6994.994 -12430.499|7001.754 -12432.066|7008.548 -12433.490|7015.364 -12434.780|7022.208 -12435.925|7029.072 -12436.937|7035.958 -12437.804|7042.858 -12438.527|7042.767 -12289.804|7032.470 -12281.108|7026.150 -12279.841|7019.873 -12278.395|7013.631 -12276.783|7007.437 -12275.015|7001.292 -12273.080|6995.197 -12270.989|6989.164 -12268.732|6983.187 -12266.308|6974.078 -12262.272|6974.050 -12262.261|6965.180 -12257.880|6956.490 -12253.143|6947.997 -12248.061|6939.720 -12242.635|6931.667 -12236.886|6923.852 -12230.804|6916.288 -12224.421|6908.990 -12217.727|6901.881 -12210.666|6895.065 -12203.305|6888.557 -12195.677|6882.363 -12187.793|6876.491 -12179.665|6870.962 -12171.292|6865.775 -12162.708|6860.945 -12153.923|6856.764 -12145.551|6852.947 -12137.133|6849.452 -12128.582|6846.278 -12119.898|6843.426 -12111.102|6832.423 -12074.808
