ADDRESS,POINTS
166 MAHOGANY CE SE,9617.884 -16786.738|9617.905 -16770.025|9616.549 -16770.025|9543.743 -16769.958|9542.499 -16769.958|9542.464 -16816.894|9617.863 -16816.961|9617.891 -16790.063|9607.335 -16790.051|9607.335 -16786.727
98 MAHOGANY CE SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
164 MAHOGANY CE SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
97 MAHOGANY CE SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
165 MAHOGANY CE SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
2251 MAHOGANY BV SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
101 2251 MAHOGANY BV SE,9505.575 -16725.414|9505.610 -16682.014|9470.504 -16681.981|9470.469 -16725.380
98 MAHOGANY CE SE,9479.465 -16783.980|9476.362 -16783.980|9476.369 -16776.007|9465.694 -16775.996|9465.694 -16776.686|9465.037 -16776.686|9465.037 -16775.996|9460.472 -16775.996|9460.472 -16777.586|9456.432 -16777.586|9456.439 -16769.013|9456.565 -16769.013|9456.572 -16765.689|9449.679 -16765.677|9449.679 -16764.054|9439.941 -16764.043|9439.892 -16819.162|9439.836 -16887.425|9444.303 -16891.917|9542.394 -16891.995|9542.464 -16816.894|9542.499 -16769.958|9542.499 -16768.657|9542.505 -16766.122|9542.505 -16764.888|9520.031 -16764.877|9520.031 -16768.991|9520.534 -16768.991|9520.527 -16777.642|9516.487 -16777.642|9516.494 -16776.041|9497.263 -16776.030|9497.263 -16774.829|9494.334 -16774.829|9494.334 -16777.775|9482.674 -16777.764|9482.667 -16787.516|9479.465 -16787.505
98 MAHOGANY CE SE,9456.194 -16830.315|9476.418 -16830.437|9476.459 -16824.700|9479.060 -16824.711|9479.088 -16820.174|9481.898 -16820.196|9481.877 -16823.599|9482.185 -16823.599|9482.178 -16824.811|9481.870 -16824.811|9481.842 -16829.648|9482.066 -16829.648|9482.094 -16839.033|9456.145 -16838.855
98 MAHOGANY CE SE,9493.481 -16839.077|9493.936 -16837.331|9492.635 -16837.320|9492.670 -16829.748|9493.922 -16829.748|9493.922 -16830.059|9494.096 -16830.059|9494.096 -16830.760|9496.830 -16830.771|9496.830 -16830.115|9520.066 -16830.215|9519.996 -16839.233
98 MAHOGANY CE SE,9444.667 -16860.994|9443.765 -16861.005|9443.716 -16854.578|9444.618 -16854.578|9444.590 -16850.908|9450.343 -16850.886|9450.336 -16849.974|9457.557 -16849.730|9457.585 -16850.864|9463.352 -16850.831|9463.373 -16854.500|9464.275 -16854.500|9464.310 -16860.927|9462.954 -16860.938|9462.968 -16864.685|9465.296 -16867.009|9469.008 -16866.998|9469.008 -16866.531|9489.504 -16866.431|9489.441 -16867.054|9489.490 -16879.775|9489.588 -16886.268|9479.263 -16886.346|9479.256 -16885.423|9455.935 -16885.579|9455.935 -16886.502|9448.812 -16886.524|9448.812 -16885.612|9444.730 -16885.601|9444.730 -16880.319|9443.835 -16880.319|9443.828 -16873.592|9444.730 -16873.592
