ADDRESS,POINTS
13888 69 ST NW,-7717.542 14220.290|-7716.815 14220.334|-7716.346 14621.181|-8118.264 14621.515|-8118.508 14220.579|-8027.094 14220.501
210 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
220 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
230 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
240 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
250 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
310 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
320 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
340 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
410 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
420 318 NOLANRIDGE CR NW,-7119.290 13547.283|-7072.398 13646.202|-7081.877 13650.839|-7091.251 13655.687|-7100.506 13660.746|-7109.650 13666.017|-7118.660 13671.499|-7127.545 13677.181|-7136.297 13683.074|-7144.903 13689.167|-7146.098 13689.946|-7147.349 13690.602|-7148.671 13691.147|-7150.027 13691.558|-7151.418 13691.847|-7152.837 13691.992|-7154.256 13692.003|-7155.675 13691.892|-7157.073 13691.636|-7158.443 13691.247|-7159.771 13690.735|-7161.037 13690.101|-7162.246 13689.345|-7163.372 13688.489|-7164.413 13687.522|-7165.357 13686.454|-7203.581 13639.208|-7204.748 13637.606|-7205.748 13635.894|-7206.580 13634.104|-7207.230 13632.224|-7207.684 13630.301|-7207.950 13628.344|-7208.027 13626.365|-7207.901 13624.396|-7207.579 13622.439|-7207.069 13620.527|-7206.370 13618.670|-7205.489 13616.902|-7204.441 13615.223|-7203.231 13613.655|-7201.875 13612.209|-7200.379 13610.908|-7123.316 13550.452
