ADDRESS,POINTS
11435 15 ST NE,3137.474 12229.178|3239.046 12229.445|3239.080 12430.630|3235.047 12418.754|3230.727 12406.990|3226.113 12395.325|3221.220 12383.772|3216.047 12372.341|3210.601 12361.044|3204.876 12349.891|3198.885 12338.872
11401 15 ST NE,3137.474 12229.178|3127.191 12210.809|3126.597 12209.463|3126.275 12208.029|3126.240 12206.561|3126.492 12205.115|3127.023 12203.748|3127.806 12202.502|3128.820 12201.435|3130.015 12200.590|3181.060 12172.013|3187.861 12168.410|3194.817 12165.119|3201.919 12162.139|3209.140 12159.492|3216.480 12157.168|3223.918 12155.189|3231.440 12153.543|3239.032 12152.231|3239.046 12229.445
1117 110 AV NE,2746.406 11453.649|2772.103 11513.305|2704.190 11547.631|2702.512 11548.398|2700.772 11549.021|2698.989 11549.499|2697.172 11549.833|2694.949 11550.277|2692.789 11550.978|2690.733 11551.912|2688.797 11553.091|2687.015 11554.481|2685.400 11556.071|2683.988 11557.839|2682.785 11559.762|2678.011 11561.430|2671.754 11563.632|2646.847 11572.372|2612.293 11570.626|2594.146 11569.725|2594.153 11559.707|2594.160 11546.530|2587.121 11511.893|2586.659 11509.091|2586.394 11506.066|2586.366 11503.042|2586.582 11500.028|2587.037 11497.026|2587.799 11493.813|2588.833 11490.677|2590.134 11487.641|2591.692 11484.728|2593.496 11481.948|2595.537 11479.346|2597.788 11476.922|2600.242 11474.709
11134 15 ST NE,3259.080 11669.401|3259.080 11618.885|3259.080 11609.444|3396.793 11568.636|3399.274 11572.572|3401.616 11576.597|3404.552 11582.157|3407.222 11587.850|3409.627 11593.666|3411.752 11599.581|3413.591 11605.586|3415.150 11611.679|3416.422 11617.839|3417.401 11624.055|3418.030 11629.715|3418.421 11635.397|3418.575 11641.090|3418.477 11646.783|3418.142 11652.477|3417.561 11658.136|3416.736 11663.774|3415.674 11669.378
11120 14 ST NE,3130.567 11489.509|3130.553 11509.502|3130.539 11527.738|3130.511 11568.947|3047.870 11568.903|3048.185 11561.630|3048.723 11554.380|3049.478 11547.142|3050.442 11539.936|3051.631 11532.753|3053.029 11525.614|3054.644 11518.520|3056.475 11511.481|3057.216 11509.158|3058.139 11506.900|3059.250 11504.732|3060.530 11502.664|3061.977 11500.696|3063.578 11498.861|3065.325 11497.160|3067.199 11495.603|3069.198 11494.202|3071.309 11492.968|3073.504 11491.922|3075.783 11491.044|3078.125 11490.354|3080.515 11489.865|3082.941 11489.565|3085.381 11489.465|3125.499 11489.509
11105 11 ST NE,2594.146 11578.187|2594.146 11569.725|2612.293 11570.626|2646.847 11572.372|2671.768 11563.621|2682.785 11559.762|2681.786 11561.875|2681.045 11564.088|2681.038 11564.099|2680.555 11566.534|2680.381 11569.003|2680.520 11571.482|2680.982 11573.929|2681.024 11574.095|2681.849 11576.553|2682.995 11578.877|2684.435 11581.034|2686.155 11582.980|2687.490 11584.425|2689.161 11586.671|2690.538 11589.096|2699.723 11607.943|2704.288 11617.762|2708.503 11627.747|2711.726 11636.153|2713.404 11640.868|2694.529 11647.428|2629.448 11670.057|2622.737 11650.909|2612.000 11628.903
11137 11 ST NE,2643.932 11711.388|2629.448 11670.057|2694.529 11647.428|2713.404 11640.868|2715.004 11645.594|2717.346 11653.033|2719.492 11660.527|2721.436 11668.077|2723.190 11675.672|2724.749 11683.311|2726.098 11690.983|2727.259 11698.700|2728.209 11706.428|2728.720 11711.421|2687.406 11711.410
11350 11 ST NE,2880.378 11869.640|2881.161 11871.453|2882.070 11873.199|2885.383 11879.070|2886.558 11881.338|2887.571 11883.673|2888.424 11886.086|2889.102 11888.555|2890.927 11895.426|2893.094 11902.209|2895.596 11908.881|2898.428 11915.419|2799.009 11915.364|2769.041 11915.341|2769.237 11910.349|2770.851 11869.373|2771.131 11862.135|2771.355 11860.089|2771.851 11858.098|2772.620 11856.186|2773.641 11854.396|2774.899 11852.772|2776.374 11851.327|2778.024 11850.092|2779.834 11849.103|2783.322 11849.125|2863.657 11849.492|2870.053 11849.525|2870.102 11849.525|2875.841 11859.221|2877.030 11861.434|2878.043 11863.725|2878.854 11865.782
11430 11 ST NE,2769.041 11915.341|2799.009 11915.364|2898.428 11915.419|2901.916 11922.413|2904.307 11927.150|2906.502 11931.976|2908.501 11936.891|2910.290 11941.873|2911.870 11946.932|2913.247 11952.058|2914.408 11957.229|2915.351 11962.444|2767.440 11962.366|2767.964 11943.563|2768.670 11924.760|2768.845 11920.345
11545 11 ST NE,2553.440 12031.662|2584.394 12031.796|2666.141 12000.884|2739.059 11987.129|2739.129 11993.222|2738.975 11998.571|2738.618 12003.919|2738.073 12009.246|2737.318 12014.550|2735.976 12022.923|2735.382 12025.625|2734.487 12028.249|2733.291 12030.751|2731.816 12033.097|2731.041 12034.053|2730.146 12034.887|2729.153 12035.599|2728.063 12036.177|2726.000 12036.978|2723.861 12037.600|2721.680 12038.023|2719.471 12038.234|2717.262 12038.345|2718.514 12062.619|2726.762 12064.332|2734.892 12066.522|2737.863 12067.645|2740.666 12069.135|2741.995 12070.091|2743.176 12071.215|2744.197 12072.482|2745.029 12073.883|2746.021 12076.118|2746.783 12078.431|2747.300 12080.811|2747.580 12083.235|2749.488 12112.201|2751.641 12141.156|2509.953 12140.533|2502.249 12105.051|2506.059 12096.078|2510.176 12087.238|2514.587 12078.553|2519.292 12070.014|2524.283 12061.641|2529.554 12053.446|2535.104 12045.428|2540.921 12037.600|2545.660 12031.629
