ADDRESS,POINTS
10 CARRINGTON CI NW,-1328.281 14708.313|-1326.959 14708.602|-1325.715 14709.125|-1324.583 14709.870|-1323.604 14710.793|-1322.807 14711.894|-1322.220 14713.106|-1321.856 14714.407|-1321.737 14715.752|-1321.744 14720.300|-1321.751 14722.302|-1341.688 14722.279|-1341.674 14708.958|-1341.667 14706.545|-1336.921 14707.179
15 CARRINGTON RI NW,-1278.760 14714.318|-1278.774 14724.403|-1299.759 14724.381|-1299.759 14722.380|-1299.759 14720.400|-1299.717 14719.611|-1299.592 14718.832|-1299.389 14718.076|-1299.102 14717.342|-1298.746 14716.642|-1298.319 14715.986|-1297.823 14715.374|-1297.264 14714.818|-1296.649 14714.329|-1295.992 14713.906|-1295.285 14713.551|-1294.551 14713.273|-1293.790 14713.073|-1293.014 14712.950|-1292.224 14712.906|-1291.441 14712.950
25 CARRINGTON RI NW,-1255.971 14716.564|-1254.971 14716.742|-1254.021 14717.120|-1253.161 14717.654|-1252.413 14718.332|-1251.798 14719.144|-1251.350 14720.056|-1251.071 14721.034|-1250.980 14722.035|-1250.987 14725.193|-1250.987 14727.205|-1271.777 14727.172|-1271.763 14715.030
1445 CARRINGTON BV NW,-1341.688 14722.279|-1321.751 14722.302|-1321.751 14724.292|-1321.758 14729.096|-1321.758 14729.996|-1341.695 14729.974|-1341.695 14729.073
1444 CARRINGTON BV NW,-1278.774 14724.403|-1278.781 14731.197|-1278.781 14732.098|-1299.773 14732.076|-1299.766 14731.175|-1299.766 14726.371|-1299.759 14724.381
45 CARRINGTON RI NW,-1250.987 14727.205|-1250.987 14729.196|-1250.994 14733.243|-1271.784 14733.221|-1271.777 14727.172
1449 CARRINGTON BV NW,-1341.695 14729.974|-1321.758 14729.996|-1321.758 14730.597|-1321.765 14735.690|-1321.765 14737.691|-1341.709 14737.669|-1341.702 14730.563
49 CARRINGTON RI NW,-1271.784 14733.221|-1250.994 14733.243|-1251.001 14737.291|-1251.001 14738.392|-1251.001 14739.292|-1271.791 14739.270|-1271.791 14738.358
1448 CARRINGTON BV NW,-1278.788 14739.793|-1299.780 14739.770|-1299.780 14737.769|-1299.773 14732.665|-1299.773 14732.076|-1278.781 14732.098|-1278.781 14732.698
1453 CARRINGTON BV NW,-1341.709 14737.669|-1321.765 14737.691|-1321.772 14739.681|-1321.772 14743.740|-1341.716 14743.718
1452 CARRINGTON BV NW,-1278.788 14739.793|-1278.795 14745.842|-1299.787 14745.819|-1299.780 14741.761|-1299.780 14739.770
53 CARRINGTON RI NW,-1251.001 14739.292|-1251.001 14739.882|-1251.001 14741.283|-1251.008 14746.086|-1251.008 14746.987|-1271.804 14746.965|-1271.797 14746.053|-1271.791 14739.859|-1271.791 14739.270
1457 CARRINGTON BV NW,-1341.716 14743.718|-1321.772 14743.740|-1321.786 14750.523|-1321.786 14751.435|-1341.723 14751.413|-1341.723 14750.501
1456 CARRINGTON BV NW,-1278.795 14745.842|-1278.802 14752.636|-1278.809 14753.536|-1299.794 14753.514|-1299.794 14752.602|-1299.787 14745.819
57 CARRINGTON RI NW,-1271.804 14746.965|-1251.008 14746.987|-1251.015 14747.576|-1251.015 14752.680|-1251.022 14754.682|-1271.811 14754.659|-1271.804 14747.554
1461 CARRINGTON BV NW,-1341.723 14751.413|-1321.786 14751.435|-1321.786 14752.024|-1321.793 14757.128|-1321.793 14759.129|-1341.737 14759.107|-1341.723 14752.002
61 CARRINGTON RI NW,-1271.818 14760.708|-1271.811 14754.659|-1251.022 14754.682|-1251.022 14756.672|-1251.029 14760.731
1460 CARRINGTON BV NW,-1278.809 14753.536|-1278.809 14754.126|-1278.816 14761.231|-1299.808 14761.209|-1299.801 14759.196|-1299.794 14754.103|-1299.794 14753.514
