ADDRESS,POINTS
201 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
202 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
203 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
204 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
205 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
206 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
207 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
208 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
301 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
302 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
303 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
304 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
305 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
306 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
307 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
308 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
309 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
310 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
311 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
312 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
313 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
314 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
