ADDRESS,POINTS
1329A 9 AV SE,2726.217 -848.090|2722.079 -845.533|2713.543 -840.251|2709.412 -837.705|2689.790 -869.640|2693.928 -872.197|2702.456 -877.468|2706.595 -880.026
23 1420 9 AV SE,2914.296 -896.616|2880.168 -875.522|2860.595 -907.491|2894.730 -928.618
19 1420 9 AV SE,2914.296 -896.616|2880.168 -875.522|2860.595 -907.491|2894.730 -928.618
15 1420 9 AV SE,2914.296 -896.616|2880.168 -875.522|2860.595 -907.491|2894.730 -928.618
11 1420 9 AV SE,2914.296 -896.616|2880.168 -875.522|2860.595 -907.491|2894.730 -928.618
7 1420 9 AV SE,2914.296 -896.616|2880.168 -875.522|2860.595 -907.491|2894.730 -928.618
1225 9 AV SE,2542.871 -734.760|2534.336 -729.479|2514.720 -761.414|2523.256 -766.685
1332 9 AV SE,2760.736 -801.744|2752.208 -796.474|2732.599 -828.398|2741.135 -833.679
1202 15 ST SE,3283.582 -672.691|3244.114 -672.603|3244.114 -680.353|3281.450 -680.364|3281.450 -677.706|3281.541 -676.750|3281.813 -675.838|3282.254 -674.993|3282.848 -674.237|3283.575 -673.614|3284.407 -673.147|3285.315 -672.847|3286.259 -672.714
1335 10 AV SE,2694.711 -946.865|2688.259 -942.862|2668.651 -974.752|2675.117 -978.756
1339 10 AV SE,2675.375 -978.922|2683.904 -984.193|2692.432 -989.464|2712.026 -957.573|2703.498 -952.302|2694.977 -947.020
1206 15 ST SE,3281.450 -680.364|3244.114 -680.353|3244.107 -688.036|3281.443 -688.047
1312 9 AV SE,2683.939 -754.297|2675.410 -749.027|2666.875 -743.756|2647.274 -775.669|2655.802 -780.940|2664.337 -786.210
1210 15 ST SE,3281.443 -688.047|3244.107 -688.036|3244.107 -695.720|3281.806 -695.731|3281.534 -691.895
1214 15 ST SE,3281.806 -695.731|3244.107 -695.720|3244.100 -703.404|3282.883 -703.426|3282.596 -701.613
201 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
202 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
209 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
203 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
204 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
205 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
206 812 8 ST SE,2146.406 -465.513|2137.046 -461.944|2127.685 -458.363|2121.045 -475.876|2139.793 -483.037
