ADDRESS,POINTS
920R 68 AV SW,-777.417 -6139.045|-809.853 -6139.079|-809.846 -6145.172|-777.417 -6145.150
835 68 AV SW,-649.037 -6202.393|-666.324 -6202.415|-681.599 -6202.437|-686.086 -6206.930|-686.149 -6239.532|-666.289 -6239.510|-649.009 -6239.499
7779 MACLEOD TR SW,-132.441 -7156.968|-132.413 -7188.336|-132.476 -7189.537|-132.713 -7190.727|-133.126 -7191.861|-133.699 -7192.917|-134.426 -7193.885|-135.286 -7194.730|-136.257 -7195.441|-137.327 -7195.997|-132.413 -7195.997|-70.204 -7195.964|-64.976 -7191.438|-63.899 -7184.278|-63.095 -7178.929|-59.586 -7155.600|-58.789 -7150.296|-56.552 -7135.407|-49.785 -7090.385|-40.446 -7028.260|-40.432 -7005.988|-40.432 -7002.985|-40.432 -7000.984|-43.081 -7000.984|-50.960 -7000.984|-56.671 -7000.984|-59.740 -7000.984|-85.933 -7000.984|-91.994 -7000.995|-109.798 -7001.006|-112.769 -7001.006|-112.783 -7001.006|-112.706 -7079.543|-115.691 -7079.543|-117.719 -7079.543|-117.712 -7091.185|-117.712 -7093.676|-109.708 -7093.676|-100.550 -7093.665|-100.515 -7133.962|-109.575 -7133.973|-111.819 -7134.084|-114.049 -7134.418|-116.230 -7134.974|-118.341 -7135.741|-120.375 -7136.708|-122.297 -7137.865|-124.101 -7139.210|-125.765 -7140.734|-127.275 -7142.401|-128.610 -7144.214|-129.763 -7146.149|-130.721 -7148.184|-131.469 -7150.307|-132.014 -7152.498|-132.336 -7154.722
7660 4A ST SW,-187.882 -7093.754|-185.589 -7093.754|-185.582 -7093.754|-117.712 -7093.676|-117.712 -7091.185|-117.719 -7079.543|-115.691 -7079.543|-112.706 -7079.543|-112.783 -7001.006|-112.797 -7001.006|-115.768 -7001.006|-116.272 -7001.006|-152.909 -7000.995|-198.466 -7000.984|-214.537 -7000.984|-214.907 -7000.984|-216.096 -7000.984|-215.508 -7002.952|-214.670 -7005.765|-214.579 -7005.943|-212.943 -7009.168|-211.174 -7012.637|-198.179 -7038.178|-192.013 -7050.288|-188.204 -7057.782|-187.903 -7091.252
7625 7 ST SW,-738.193 -6956.739|-738.179 -6973.485|-738.165 -6990.242|-738.144 -7008.523|-698.711 -7008.478|-698.725 -6990.198|-698.746 -6973.452|-698.760 -6956.695|-698.774 -6938.414|-698.795 -6921.668|-698.809 -6906.435|-701.850 -6903.388|-738.249 -6903.421|-738.228 -6921.702|-738.214 -6938.459
305 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
309 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
311 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
313 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
315 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
312 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
310 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
308 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
306 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
304 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
210 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
208 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
206 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
204 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
202 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
101 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
103 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
105 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
107 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
109 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
115 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
112 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
104 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
102 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
201 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
205 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
207 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
209 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
211 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
215 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
212 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
301 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
213 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
303 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
307 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
302 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
110 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
106 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
203 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
108 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
113 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
111 920 68 AV SW,-777.417 -6145.150|-809.846 -6145.172|-809.853 -6177.797|-805.372 -6182.289|-737.970 -6182.256|-737.921 -6145.128
305 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
311 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
313 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
312 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
310 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
308 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
306 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
304 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
210 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
208 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
206 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
204 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
202 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
101 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
103 920 68 AV SW,-766.736 -6101.962|-805.428 -6102.040|-809.888 -6102.006|-809.846 -6106.432|-809.853 -6139.079|-777.417 -6139.045|-766.770 -6139.056
