ADDRESS,POINTS
48 MISSION RD SW,647.613 -2880.400|654.135 -2884.281|660.664 -2888.161|676.400 -2853.524|669.870 -2849.644|663.348 -2845.763
54 MISSION RD SW,663.348 -2845.763|656.819 -2841.882|650.290 -2838.001|634.569 -2872.650|641.091 -2876.530|647.613 -2880.400
58 MISSION RD SW,650.290 -2838.001|643.768 -2834.121|637.239 -2830.251|621.524 -2864.888|628.046 -2868.769|634.569 -2872.650
62 MISSION RD SW,637.239 -2830.251|630.717 -2826.370|624.188 -2822.490|608.480 -2857.138|615.002 -2861.008|621.524 -2864.888
66 MISSION RD SW,624.188 -2822.490|617.659 -2818.609|611.136 -2814.728|595.429 -2849.377|601.951 -2853.257|608.480 -2857.138
70 MISSION RD SW,611.136 -2814.728|604.607 -2810.848|598.078 -2806.967|596.289 -2805.899|580.672 -2840.603|582.385 -2841.626|588.907 -2845.496|595.429 -2849.377
76 MISSION RD SW,596.289 -2805.899|591.556 -2803.086|585.027 -2799.205|581.741 -2797.248|566.216 -2832.008|569.459 -2833.943|575.939 -2837.790|580.672 -2840.603
82 MISSION RD SW,581.741 -2797.248|578.498 -2795.325|571.976 -2791.444|565.447 -2787.563|550.005 -2822.379|556.492 -2826.226|562.972 -2830.084|566.216 -2832.008
86 MISSION RD SW,565.447 -2787.563|558.918 -2783.683|552.395 -2779.802|537.037 -2814.662|543.525 -2818.520|550.005 -2822.379
101 3650 2 ST SW,236.789 -2890.319|200.404 -2890.252|200.390 -2914.626|236.775 -2914.681
102 3650 2 ST SW,236.789 -2890.319|200.404 -2890.252|200.390 -2914.626|236.775 -2914.681
201 3650 2 ST SW,236.789 -2890.319|200.404 -2890.252|200.390 -2914.626|236.775 -2914.681
202 3650 2 ST SW,236.789 -2890.319|200.404 -2890.252|200.390 -2914.626|236.775 -2914.681
30 MISSION RD SW,708.863 -2872.650|707.039 -2871.571|700.517 -2867.702|693.988 -2863.843|678.315 -2898.525|684.592 -2902.250|691.135 -2906.119|693.177 -2907.331
45 MISSION RD SW,660.049 -2923.243|644.879 -2914.214|644.754 -2947.350|658.728 -2947.362|659.958 -2947.362
53 MISSION RD SW,629.717 -2905.185|621.930 -2900.549|621.895 -2947.339|629.577 -2947.339
57 MISSION RD SW,621.930 -2900.549|614.555 -2896.156|611.458 -2894.311|611.297 -2947.328|613.220 -2947.339|614.331 -2947.339|621.895 -2947.339
89 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
96 MISSION RD SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
94 MISSION RD SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
92 MISSION RD SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
90 MISSION RD SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
85 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
87 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
205 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
207 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
209 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
211 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
213 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
215 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
217 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
301 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
303 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
305 93 34 AV SW,539.337 -2772.041|532.815 -2768.160|526.286 -2764.279|524.133 -2763.000|518.694 -2763.000|515.325 -2763.000|511.047 -2763.000|510.369 -2763.000|502.239 -2763.000|485.245 -2800.395|492.739 -2802.241|500.233 -2804.098|507.726 -2805.955|515.220 -2807.812|522.721 -2809.658|530.215 -2811.515|532.836 -2812.171|537.037 -2814.662|552.395 -2779.802|545.866 -2775.921
