ADDRESS,POINTS
6 REDSTONE CM NE,7664.849 13486.437|7673.343 13486.437|7673.357 13520.418|7660.368 13520.418|7660.354 13490.940
3 REDSTONE PA NE,7660.368 13528.413|7673.364 13528.413|7673.371 13562.383|7664.877 13562.394|7660.382 13557.891
113 REDSTONE AV NE,7813.635 13872.116|7809.140 13876.775|7800.646 13877.220|7800.639 13843.184|7813.628 13842.628
77 REDSTONE AV NE,7714.377 13856.816|7723.416 13854.548|7731.231 13887.617|7722.975 13889.685|7717.607 13886.438|7710.819 13857.739
69 REDSTONE AV NE,7684.716 13864.566|7691.497 13893.266|7688.184 13898.781|7679.956 13900.927|7672.140 13867.847
452 REDSTONE GV NE,7578.936 13927.325|7575.525 13928.281|7572.149 13929.337|7566.270 13926.658|7564.193 13921.620|7595.490 13908.399|7598.188 13914.982|7600.747 13921.632
83 REDSTONE RD NE,7177.984 13467.767|7176.949 13453.023|7176.159 13438.278|7188.819 13438.245|7188.798 13472.237|7182.849 13472.237
5 REDSTONE RD NE,7354.787 13437.867|7366.782 13437.845|7366.782 13467.600|7362.288 13472.104|7354.801 13472.104
25 REDSTONE GV NE,7332.823 13487.093|7362.302 13487.071|7366.803 13491.563|7366.803 13497.957|7332.830 13497.979
82 REDSTONE RD NE,7193.698 13487.215|7193.733 13521.196|7183.828 13521.207|7181.898 13506.463|7180.207 13491.707|7184.240 13487.226
73 REDSTONE VI NE,7200.465 13529.180|7200.486 13563.161|7195.138 13563.161|7189.832 13558.758|7187.281 13543.991|7184.974 13529.191
49 REDSTONE GV NE,7366.859 13552.075|7366.866 13558.469|7362.378 13562.961|7332.900 13563.017|7332.886 13552.120
3 REDSTONE PT NE,7213.265 13577.861|7244.351 13577.872|7244.980 13577.872|7244.631 13589.259|7244.512 13593.084|7210.713 13592.372|7210.860 13589.915|7210.608 13587.457|7209.616 13582.309
192 REDSTONE CM NE,8027.739 13486.348|8037.840 13486.337|8042.104 13490.829|8040.574 13520.318|8027.760 13520.318
133 REDSTONE PA NE,8025.362 13528.313|8040.161 13528.302|8038.630 13557.791|8033.898 13562.283|8025.383 13562.283
69 RED SKY GR NE,7948.579 13697.718|7983.818 13697.696|7983.545 13710.495|7944.084 13710.506|7944.084 13702.211
139 RED SKY GR NE,7990.815 13697.696|8026.145 13697.674|8030.437 13702.166|8030.032 13711.073|7990.536 13711.084
8 RED SKY GR NE,7928.146 13863.021|7928.146 13870.904|7925.748 13873.306|7923.651 13875.397|7894.969 13875.408|7893.172 13875.408|7893.165 13863.032
167 REDSTONE AV NE,7944.126 13840.615|7955.311 13840.615|7955.318 13875.397|7948.635 13875.397|7944.133 13870.893
195 REDSTONE AV NE,8011.612 13840.604|8024.132 13840.593|8022.748 13870.882|8018.050 13875.374|8011.626 13875.374
9 RED SKY WY NE,8145.780 13863.866|8179.258 13863.855|8179.258 13875.330|8150.275 13875.341|8145.780 13870.849
6 RED SKY PS NE,8186.255 13863.855|8219.732 13863.844|8219.732 13870.815|8215.238 13875.319|8186.255 13875.330
8 RED SKY LN NE,8309.679 13870.782|8305.184 13875.285|8276.202 13875.297|8276.202 13863.821|8309.679 13863.810
9 RED SKY LN NE,8325.673 13863.810|8359.151 13863.788|8359.151 13872.861|8359.151 13875.263|8330.168 13875.274|8327.770 13872.873|8325.673 13870.782
8 RED SKY WY NE,8075.659 13862.109|8124.795 13862.087|8124.795 13870.849|8120.300 13875.352|8075.659 13875.363|8075.065 13875.352|8075.169 13872.950|8075.603 13863.543
49 RED SKY CM NE,8503.581 13864.822|8503.581 13870.671|8499.093 13875.163|8469.607 13875.185|8469.600 13864.844
