ADDRESS,POINTS
73V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
74V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
75V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
76V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
77V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
78V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
79V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
80V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
81V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
82V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
83V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
84V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
85V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
86V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
87V 6118 80 AV NE,8724.669 8701.986|8719.384 8676.178|8751.386 8669.628|8742.662 8626.941|8768.597 8621.625|8782.606 8690.088
