ADDRESS,POINTS
7331 KEEWATIN ST SW,-853.103 -6652.432|-883.435 -6652.421|-883.449 -6670.701|-853.117 -6670.713
904 73 AV SW,-853.117 -6670.713|-883.449 -6670.701|-883.463 -6689.360|-857.675 -6689.371|-853.124 -6684.812
7211 KEEWATIN ST SW,-852.935 -6445.320|-883.281 -6445.298|-883.295 -6465.102|-852.949 -6465.113
7203 KEEWATIN ST SW,-852.921 -6425.528|-852.907 -6408.059|-857.451 -6403.500|-883.246 -6403.522|-883.260 -6425.506
7207 KEEWATIN ST SW,-852.921 -6425.528|-883.260 -6425.506|-883.281 -6445.298|-852.935 -6445.320
7215 KEEWATIN ST SW,-852.949 -6465.113|-883.295 -6465.102|-883.309 -6484.895|-852.963 -6484.906
7219 KEEWATIN ST SW,-852.963 -6484.906|-883.309 -6484.895|-883.323 -6503.175|-852.984 -6503.186
7303 KEEWATIN ST SW,-853.005 -6530.607|-852.991 -6512.327|-883.330 -6512.315|-883.344 -6530.596
7307 KEEWATIN ST SW,-853.005 -6530.607|-883.344 -6530.596|-883.358 -6550.389|-853.019 -6550.400
7311 KEEWATIN ST SW,-853.019 -6550.400|-883.358 -6550.389|-883.379 -6571.705|-853.033 -6571.716
7315 KEEWATIN ST SW,-853.033 -6571.716|-883.379 -6571.705|-883.393 -6593.032|-853.054 -6593.043
7319 KEEWATIN ST SW,-853.054 -6593.043|-883.393 -6593.032|-883.407 -6614.348|-853.068 -6614.370
7323 KEEWATIN ST SW,-853.068 -6614.370|-883.407 -6614.348|-883.421 -6634.152|-853.089 -6634.163
7327 KEEWATIN ST SW,-853.089 -6634.163|-883.421 -6634.152|-883.435 -6652.421|-853.103 -6652.432
