ADDRESS,POINTS
2827 29 ST SW,-4074.986 -2099.178|-4121.214 -2099.245|-4121.207 -2106.850|-4121.200 -2114.467|-4074.958 -2114.400|-4074.972 -2106.795
2420 26 ST SW,-3609.504 -1738.862|-3609.511 -1731.234|-3609.525 -1723.606|-3647.546 -1723.806|-3647.532 -1731.423|-3647.518 -1739.040
2201 26 ST SW,-3667.986 -1505.564|-3668.007 -1497.947|-3668.021 -1490.330|-3705.972 -1490.363|-3705.959 -1497.980|-3705.938 -1505.597
2636 26 ST SW,-3609.084 -1964.821|-3647.043 -1964.843|-3647.022 -1972.416|-3609.070 -1972.404
2829 29 ST SW,-4074.958 -2114.400|-4121.200 -2114.467|-4121.186 -2122.084|-4074.944 -2122.017
2205 26 ST SW,-3667.986 -1505.564|-3705.938 -1505.597|-3705.924 -1513.214|-3705.910 -1517.017|-3667.965 -1516.983|-3667.972 -1513.181
2831 29 ST SW,-4074.944 -2122.017|-4121.186 -2122.084|-4121.179 -2129.701|-4074.930 -2129.634
2209 26 ST SW,-3667.965 -1516.983|-3705.910 -1517.017|-3705.903 -1520.831|-3705.889 -1528.448|-3667.937 -1528.414|-3667.951 -1520.797
2833 29 ST SW,-4074.930 -2129.634|-4121.179 -2129.701|-4121.172 -2137.307|-4074.916 -2137.240
2835 29 ST SW,-4074.916 -2137.240|-4121.172 -2137.307|-4121.165 -2144.923|-4074.902 -2144.857
2217 26 ST SW,-3667.902 -1543.648|-3705.854 -1543.681|-3705.833 -1551.298|-3705.819 -1558.915|-3667.867 -1558.882|-3667.881 -1551.265
2633 25A ST SW,-3565.072 -1957.149|-3603.024 -1957.160|-3603.010 -1964.777|-3565.058 -1964.765
2429 33 ST SW,-4489.675 -1777.635|-4526.116 -1777.658|-4526.109 -1785.275|-4489.675 -1785.241
2837 29 ST SW,-4074.902 -2144.857|-4121.165 -2144.923|-4121.158 -2152.540|-4074.888 -2152.462
2635 25A ST SW,-3565.058 -1964.765|-3603.010 -1964.777|-3602.996 -1972.404|-3565.044 -1972.393
2017 26 ST SW,-3668.154 -1375.043|-3706.112 -1375.065|-3706.105 -1378.913|-3706.098 -1386.518|-3668.140 -1386.496|-3668.147 -1378.879
2632 26A ST SW,-3711.159 -1949.587|-3711.173 -1941.959|-3749.146 -1942.026|-3749.132 -1949.654
2839 29 ST SW,-4074.888 -2152.462|-4121.158 -2152.540|-4121.144 -2160.157|-4074.874 -2160.079
3438 37 ST SW,-4828.853 -2678.025|-4860.114 -2678.036|-4860.114 -2696.317|-4828.846 -2696.295
2401 26 ST SW,-3667.623 -1677.894|-3667.644 -1670.277|-3667.658 -1662.671|-3705.609 -1662.704|-3705.595 -1670.321|-3705.581 -1677.938
2634 26A ST SW,-3711.145 -1957.204|-3711.159 -1949.587|-3749.132 -1949.654|-3749.118 -1957.271
2407 26 ST SW,-3667.609 -1685.510|-3705.567 -1685.544|-3705.553 -1693.161|-3667.595 -1693.116
2201 33 ST SW,-4489.766 -1506.242|-4489.773 -1498.625|-4489.773 -1491.008|-4526.200 -1491.042|-4526.200 -1498.659|-4526.193 -1506.275
2602 29 ST SW,-4017.461 -1850.779|-4017.475 -1843.163|-4017.496 -1835.557|-4055.426 -1835.557|-4055.412 -1843.174|-4055.398 -1850.779
2205 33 ST SW,-4489.766 -1506.242|-4526.193 -1506.275|-4526.193 -1513.892|-4489.766 -1513.859
2415 26 ST SW,-3667.567 -1708.350|-3705.525 -1708.383|-3705.511 -1716.000|-3705.497 -1723.606|-3667.539 -1723.572|-3667.553 -1715.956
2628 23 AV SW,-3667.707 -1627.444|-3705.658 -1627.467|-3705.644 -1635.095|-3705.630 -1642.712|-3667.672 -1642.678|-3667.686 -1635.061
2207 33 ST SW,-4489.766 -1513.859|-4526.193 -1513.892|-4526.193 -1521.509|-4489.766 -1521.465
3604 26 AV SW,-4687.631 -1973.027|-4724.073 -1973.061|-4724.073 -1980.677|-4724.073 -1988.294|-4687.631 -1988.261|-4687.631 -1980.644
3206 29 ST SW,-4052.442 -2347.621|-4054.567 -2347.621|-4054.553 -2355.249|-4054.539 -2362.843|-4016.580 -2363.043|-4016.594 -2355.438|-4016.608 -2347.621
2640 26 ST SW,-3609.070 -1972.404|-3647.022 -1972.416|-3647.008 -1980.044|-3646.994 -1987.694|-3609.043 -1987.672|-3609.057 -1980.032
2614 29 ST SW,-4053.210 -1885.016|-4055.336 -1885.028|-4055.329 -1888.853|-4055.308 -1896.469|-4017.384 -1896.481|-4017.398 -1888.864|-4017.405 -1885.005
2421 26 ST SW,-3667.504 -1738.795|-3705.469 -1738.828|-3705.455 -1746.445|-3705.441 -1754.051|-3667.476 -1754.018|-3667.490 -1746.412
2631 26A ST SW,-3769.159 -1949.610|-3807.118 -1949.621|-3807.104 -1957.249|-3769.145 -1957.226
3235 KINSALE RD SW,-4605.801 -2703.111|-4591.547 -2696.306|-4607.185 -2663.303|-4621.445 -2670.108
2627 34 ST SW,-4588.632 -1934.865|-4625.073 -1934.898|-4625.073 -1942.515|-4588.632 -1942.482
2618 29 ST SW,-4017.384 -1896.481|-4055.308 -1896.469|-4055.294 -1904.086|-4055.287 -1907.867|-4017.363 -1907.845|-4017.370 -1904.097
2427 26 ST SW,-3667.476 -1754.018|-3705.441 -1754.051|-3705.427 -1761.668|-3705.413 -1769.285|-3667.448 -1769.251|-3667.462 -1761.635
2010 33 ST SW,-4433.297 -1349.024|-4469.724 -1349.057|-4469.724 -1356.674|-4433.297 -1356.640
2215 33 ST SW,-4489.759 -1545.127|-4526.186 -1545.160|-4526.179 -1560.483|-4489.752 -1560.472
2818 29 ST SW,-4017.070 -2068.811|-4055.028 -2068.833|-4055.021 -2076.450|-4017.056 -2076.427
2624 29 ST SW,-4017.363 -1907.845|-4055.287 -1907.867|-4055.280 -1911.703|-4055.266 -1919.309|-4055.259 -1923.101|-4017.335 -1923.078|-4017.342 -1919.331|-4017.356 -1911.714
