ADDRESS,POINTS
640 12 AV NE,1587.881 1706.068|1595.486 1706.013|1603.085 1705.968|1603.113 1742.518|1595.507 1742.562|1587.909 1742.629
640 10 AV NE,1591.544 1507.463|1595.347 1507.441|1602.945 1507.374|1602.973 1543.935|1595.375 1543.991|1591.572 1544.013
1223 BANTRY ST NE,2601.745 1248.690|2612.021 1255.195|2597.215 1279.680|2587.645 1279.669|2583.472 1276.711
635 15 AV NE,1580.485 1983.900|1572.886 1983.967|1572.858 1947.417|1580.457 1947.350
602 12 AV NE,1458.683 1743.563|1451.084 1743.619|1451.049 1707.058|1458.648 1707.002
628 8 AV NE,1564.833 1345.641|1557.228 1345.708|1549.629 1345.763|1549.608 1309.214|1557.207 1309.147|1564.805 1309.091
811 8 AV NE,1859.999 1245.377|1872.156 1245.399|1872.212 1278.924|1860.062 1278.913
909 8 AV NE,2041.108 1279.102|2041.136 1245.521|2053.265 1245.532|2053.258 1279.113
1227 BANTRY ST NE,2625.142 1262.845|2615.893 1279.691|2597.215 1279.680|2612.021 1255.195|2618.536 1259.098
637 15 AV NE,1588.084 1983.844|1580.485 1983.900|1580.457 1947.350|1588.056 1947.295
501 12 AV NE,1294.134 1688.099|1286.528 1688.155|1278.930 1688.210|1278.909 1651.694|1286.507 1651.638|1294.113 1651.583
905 RUSSET RD NE,2133.949 1326.438|2100.527 1326.504|2100.507 1312.872|2133.928 1312.805
1231 BANTRY ST NE,2645.554 1279.736|2615.893 1279.691|2625.142 1262.845|2630.490 1265.725|2635.900 1268.494|2641.360 1271.152|2646.868 1273.709|2647.777 1274.298|2648.427 1275.155|2648.749 1276.189|2648.707 1277.267|2648.301 1278.268|2647.574 1279.069|2646.624 1279.580
505 12 AV NE,1309.338 1687.988|1301.733 1688.044|1294.134 1688.099|1294.113 1651.583|1301.712 1651.527|1309.317 1651.472
909 RUSSET RD NE,2133.977 1340.070|2100.555 1340.137|2100.527 1326.504|2133.949 1326.438
515 12 AV NE,1339.747 1687.777|1332.141 1687.832|1332.120 1651.305|1339.719 1651.249
513 12 AV NE,1332.141 1687.832|1324.543 1687.888|1324.515 1651.360|1332.120 1651.305
1104 COLGROVE AV NE,2408.724 1143.422|2420.915 1174.657|2409.304 1178.771|2397.329 1147.425
517 12 AV NE,1352.211 1687.688|1347.346 1687.721|1339.747 1687.777|1339.719 1651.249|1347.325 1651.194|1352.183 1651.149
1210 6 ST NE,1656.520 1639.996|1623.099 1640.063|1623.092 1632.446|1656.513 1632.379
1301 5 ST NE,1415.775 1707.314|1423.381 1707.258|1430.980 1707.202|1431.015 1743.763|1423.416 1743.819|1415.810 1743.875
640 14 AV NE,1588.028 1904.662|1595.626 1904.607|1603.225 1904.551|1603.253 1941.090|1595.647 1941.157|1588.049 1941.212
521 12 AV NE,1364.982 1687.588|1362.550 1687.610|1354.951 1687.665|1352.211 1687.688|1352.183 1651.149|1354.923 1651.138|1362.529 1651.082|1364.962 1651.060
514 8 AV NE,1331.946 1347.465|1324.347 1347.520|1316.741 1347.587|1316.692 1311.037|1324.333 1310.970|1331.932 1310.904
626 8 AV NE,1549.629 1345.763|1542.030 1345.819|1542.009 1309.269|1549.608 1309.214
809 8 AV NE,1860.062 1278.913|1847.913 1278.902|1847.843 1245.365|1859.999 1245.377
907 8 AV NE,2029.050 1245.499|2041.136 1245.521|2041.108 1279.102|2028.959 1279.091|2028.959 1279.002|2029.008 1245.499
1110 COLGROVE AV NE,2444.012 1165.550|2431.359 1134.515|2442.572 1129.945|2455.490 1160.880
1051 8 AV NE,2403.026 1279.480|2389.933 1279.458|2383.187 1233.390|2389.975 1231.299|2401.062 1244.910|2403.236 1247.834|2405.158 1250.936|2406.801 1254.194|2408.164 1257.575|2409.234 1261.055|2410.003 1264.624|2410.464 1268.238|2410.611 1271.885|2410.471 1273.364|2410.045 1274.788|2409.346 1276.100|2408.402 1277.256|2407.249 1278.201|2405.934 1278.902|2404.508 1279.335
633A 10 AV NE,1587.727 1487.392|1580.128 1487.459|1580.100 1450.909|1587.706 1450.843
1112 COLGROVE AV NE,2442.572 1129.945|2453.686 1125.275|2466.954 1156.065|2455.490 1160.880
1052 7 AV NE,2362.139 1195.639|2350.752 1164.360|2367.018 1158.656|2368.116 1162.225|2368.808 1165.906|2369.088 1169.642|2368.955 1173.378|2368.675 1178.326|2368.738 1183.274|2369.144 1188.211|2369.899 1193.104
533 12 AV NE,1400.557 1687.332|1392.958 1687.387|1389.156 1687.410|1389.135 1650.882|1392.930 1650.860|1400.536 1650.804
604 12 AV NE,1466.281 1743.508|1458.683 1743.563|1458.648 1707.002|1466.254 1706.947
632 8 AV NE,1577.598 1345.541|1572.432 1345.585|1564.833 1345.641|1564.805 1309.091|1572.411 1309.036|1577.577 1308.991
815 8 AV NE,1872.156 1245.399|1884.305 1245.410|1884.361 1278.935|1872.212 1278.924
911 8 AV NE,2053.265 1245.532|2065.407 1245.554|2065.414 1279.135|2053.258 1279.113
535 12 AV NE,1408.163 1687.276|1400.557 1687.332|1400.536 1650.804|1408.135 1650.749
910 8 AV NE,2051.175 1337.001|2036.739 1337.046|2036.676 1299.095|2051.105 1299.106
601 12 AV NE,1466.240 1686.854|1458.634 1686.909|1451.035 1686.965|1451.014 1650.426|1458.613 1650.371|1466.212 1650.315
914 8 AV NE,2065.603 1336.968|2051.175 1337.001|2051.105 1299.106|2065.540 1299.117
918 8 AV NE,2080.038 1336.934|2065.603 1336.968|2065.540 1299.117|2079.968 1299.128
1207 BANTRY ST NE,2572.231 1227.274|2551.539 1253.572|2541.172 1245.010|2531.085 1236.125|2545.346 1229.720|2559.543 1223.171|2564.444 1220.869
609 12 AV NE,1496.648 1686.631|1489.042 1686.687|1481.444 1686.743|1481.416 1650.204|1489.022 1650.148|1496.620 1650.093
922 8 AV NE,2079.968 1299.128|2094.404 1299.139|2094.474 1336.890|2080.038 1336.934
615 12 AV NE,1508.050 1686.554|1504.247 1686.576|1496.648 1686.631|1496.620 1650.093|1504.226 1650.037|1508.022 1650.015
612 12 AV NE,1496.690 1743.285|1489.091 1743.341|1481.486 1743.396|1481.458 1706.847|1489.056 1706.791|1496.662 1706.735
902 REMINGTON RD NE,2030.623 1313.039|1997.201 1313.083|1997.180 1299.061|2030.602 1299.095
619 12 AV NE,1519.451 1686.465|1511.852 1686.520|1508.050 1686.554|1508.022 1650.015|1511.824 1649.982|1519.423 1649.926
614 12 AV NE,1504.289 1743.230|1496.690 1743.285|1496.662 1706.735|1504.261 1706.680
906 REMINGTON RD NE,2030.644 1326.660|1997.222 1326.704|1997.201 1313.083|2030.623 1313.039
616 12 AV NE,1511.894 1743.174|1504.289 1743.230|1504.261 1706.680|1511.859 1706.624
625 12 AV NE,1542.254 1686.309|1534.655 1686.364|1534.627 1649.815|1542.233 1649.759
627 12 AV NE,1549.860 1686.253|1542.254 1686.309|1542.233 1649.759|1549.832 1649.704
629 12 AV NE,1557.458 1686.198|1549.860 1686.253|1549.832 1649.704|1557.437 1649.648
538 8 AV NE,1419.354 1346.786|1415.552 1346.809|1407.953 1346.875|1407.939 1310.314|1415.538 1310.259|1419.340 1310.225
835 9 ST NE,2114.096 1245.566|2133.844 1245.588|2133.851 1259.076|2114.103 1259.065
636 8 AV NE,1590.069 1345.452|1587.636 1345.463|1580.031 1345.530|1577.598 1345.541|1577.577 1308.991|1580.010 1308.980|1587.608 1308.913|1590.041 1308.891
817 8 AV NE,1896.461 1245.432|1896.510 1278.946|1884.361 1278.935|1884.305 1245.410
915 8 AV NE,2065.407 1245.554|2077.550 1245.566|2077.564 1279.146|2065.414 1279.135
631 12 AV NE,1565.064 1686.142|1557.458 1686.198|1557.437 1649.648|1565.036 1649.592
540 8 AV NE,1419.340 1310.225|1423.136 1310.192|1430.742 1310.136|1430.756 1346.697|1423.150 1346.753|1419.354 1346.786
514 12 AV NE,1332.197 1744.475|1324.592 1744.531|1324.557 1707.970|1332.155 1707.925
935 8 AV NE,2133.851 1259.076|2133.858 1272.986|2133.746 1274.176|2133.397 1275.310|2132.837 1276.367|2132.082 1277.289|2131.160 1278.046|2130.111 1278.602|2128.972 1278.957|2127.790 1279.080|2114.117 1279.069|2114.103 1259.065
633 12 AV NE,1572.663 1686.086|1565.064 1686.142|1565.036 1649.592|1572.642 1649.537
631 10 AV NE,1572.530 1487.515|1564.924 1487.570|1564.903 1451.020|1572.502 1450.965
901 REGAL CR NE,2376.714 1313.217|2376.917 1306.278|2376.980 1299.339|2410.408 1299.362|2410.338 1306.934|2410.115 1314.518
637 12 AV NE,1587.867 1685.975|1580.268 1686.031|1572.663 1686.086|1572.642 1649.537|1580.240 1649.481|1587.846 1649.426
633 10 AV NE,1580.128 1487.459|1572.530 1487.515|1572.502 1450.965|1580.100 1450.909
905 REGAL CR NE,2410.115 1314.518|2409.744 1322.112|2409.227 1329.707|2375.903 1327.094|2376.379 1320.155|2376.714 1313.217
637 10 AV NE,1595.333 1487.337|1587.727 1487.392|1587.706 1450.843|1595.305 1450.787
901 RUNDLE CR NE,2283.622 1313.328|2283.902 1306.300|2283.993 1299.273|2317.421 1299.295|2317.316 1307.368|2316.988 1315.429
902 RUNDLE CR NE,2337.190 1312.872|2337.407 1306.089|2337.477 1299.306|2370.905 1299.339|2370.828 1306.845|2370.584 1314.351
639 10 AV NE,1595.305 1450.787|1602.910 1450.731|1602.931 1487.281|1595.333 1487.337
