ADDRESS,POINTS
101 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
105 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
109 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
113 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
303 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
307 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
311 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
315 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
319 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
323 3750 46 AV SE,6776.590 -3877.151|6776.905 -3758.862|6777.010 -3721.312|6769.271 -3722.212|6761.547 -3723.258|6753.850 -3724.470|6746.182 -3725.815|6738.541 -3727.316|6730.929 -3728.973|6723.344 -3730.774|6715.801 -3732.720|6708.300 -3734.822|6700.842 -3737.068|6693.425 -3739.459|6686.064 -3741.983|6678.745 -3744.663|6671.482 -3747.487|6664.281 -3750.456|6657.130 -3753.558|6655.089 -3754.615|6653.181 -3755.904|6651.433 -3757.406|6649.867 -3759.096|6648.679 -3760.686|6647.658 -3762.398|6646.812 -3764.200|6646.148 -3766.079|6645.673 -3768.002|6645.393 -3769.982|6645.309 -3771.961|6645.421 -3773.951|6658.507 -3896.288|6658.773 -3897.923|6659.213 -3899.524|6659.835 -3901.069|6660.618 -3902.526|6661.562 -3903.894|6662.653 -3905.139|6663.869 -3906.262|6665.204 -3907.252|6666.644 -3908.075|6668.161 -3908.742|6669.748 -3909.231|6671.377 -3909.542|6673.027 -3909.676|6674.683 -3909.620|6676.326 -3909.376|6677.934 -3908.964
