ADDRESS,POINTS
3165 114 AV SE,5475.467 -11013.419|5480.808 -10973.801|5474.523 -10972.711|5468.288 -10971.343|5462.723 -10969.853|5457.222 -10968.152|5451.790 -10966.228|5446.442 -10964.082|5419.557 -11061.611|5468.337 -11066.248
11500 29 ST SE,5311.435 -10880.897|5333.092 -10860.971|5334.015 -10860.115|5287.954 -10809.543|5284.669 -10805.941|5283.578 -10804.951|5282.327 -10804.206|5280.943 -10803.717|5279.496 -10803.506|5278.035 -10803.583|5276.616 -10803.950|5275.302 -10804.584|5274.127 -10805.463|5266.067 -10812.890|5260.132 -10818.339|5255.092 -10823.309|5250.415 -10828.625|5246.116 -10834.262|5242.223 -10840.178|5238.748 -10846.349|5235.715 -10852.754|5233.135 -10859.359|5231.024 -10866.131|5308.395 -10903.092
3503 114 AV SE,5858.042 -11103.465|5915.413 -11108.991|5915.406 -11106.634|5915.399 -11104.944|5915.371 -11095.014|5914.986 -10974.056|5911.889 -10974.101|5895.098 -10974.156|5890.128 -10974.168|5853.631 -10974.290|5848.640 -10974.223|5849.038 -11086.964|5849.094 -11102.575
3131 114 AV SE,5446.442 -10964.082|5439.424 -10960.880|5432.587 -10957.299|5425.953 -10953.352|5419.543 -10949.060|5413.370 -10944.423|5407.450 -10939.464|5401.808 -10934.193|5396.461 -10928.622|5392.105 -10923.852|5364.661 -10996.140|5347.338 -11041.930|5369.037 -11056.763|5419.557 -11061.611
3200 118 AV SE,5598.485 -11084.695|5599.373 -11078.757|5559.674 -11074.944|5513.607 -11070.562|5512.761 -11076.511|5500.227 -11164.567|5545.246 -11171.350|5584.623 -11177.298
3132 118 AV SE,5406.380 -11149.967|5418.669 -11067.538|5419.557 -11061.600|5369.037 -11056.763|5347.338 -11041.930|5364.661 -10996.140|5296.532 -10989.968|5295.476 -10997.741|5294.532 -11004.624|5278.000 -11125.726|5277.518 -11129.585|5281.223 -11130.241|5313.365 -11135.545|5345.563 -11140.537
11505 35 ST SE,6014.216 -11094.703|6012.566 -11040.273|6012.357 -11035.959|6011.993 -11031.655|6011.462 -11027.374|6010.777 -11023.116|6009.938 -11018.879|6008.938 -11014.676|6007.792 -11010.517|6006.485 -11006.403|6005.030 -11002.344|6003.430 -10998.341|6001.682 -10994.394|5999.788 -10990.513|5997.753 -10986.710|5995.572 -10982.985|5993.266 -10979.349|5990.819 -10975.791|5988.834 -10973.011|5987.610 -10971.510|5986.198 -10970.187|5984.632 -10969.053|5982.934 -10968.130|5981.123 -10967.440|5979.243 -10966.995|5977.320 -10966.784|5975.391 -10966.829|5946.471 -10969.431|5938.719 -10971.288|5930.869 -10972.678|5922.948 -10973.600|5914.986 -10974.056|5915.371 -11095.014
3220 118 AV SE,5670.473 -11190.253|5682.042 -11191.987|5682.203 -11190.242|5688.697 -11121.434|5688.614 -11093.291|5688.607 -11090.666|5688.600 -11087.219|5685.845 -11086.953|5642.148 -11082.783|5638.226 -11082.405|5634.207 -11082.093|5599.422 -11078.702|5598.527 -11084.662|5584.658 -11177.265|5619.184 -11182.502|5623.155 -11183.103|5627.048 -11183.692
108 11420 27 ST SE,5326.654 -10526.864|5224.019 -10413.934|5192.450 -10442.923|5194.764 -10448.371|5197.323 -10453.697|5200.112 -10458.901|5203.132 -10463.983|5206.382 -10468.920|5209.843 -10473.701|5213.520 -10478.327|5217.399 -10482.786|5225.711 -10491.904|5270.247 -10540.774|5272.247 -10542.887|5275.742 -10546.256|5279.433 -10549.403|5283.306 -10552.327|5287.346 -10555.007|5291.533 -10557.453|5295.868 -10559.633|5300.321 -10561.545|5304.878 -10563.202
106 11420 27 ST SE,5326.654 -10526.864|5224.019 -10413.934|5192.450 -10442.923|5194.764 -10448.371|5197.323 -10453.697|5200.112 -10458.901|5203.132 -10463.983|5206.382 -10468.920|5209.843 -10473.701|5213.520 -10478.327|5217.399 -10482.786|5225.711 -10491.904|5270.247 -10540.774|5272.247 -10542.887|5275.742 -10546.256|5279.433 -10549.403|5283.306 -10552.327|5287.346 -10555.007|5291.533 -10557.453|5295.868 -10559.633|5300.321 -10561.545|5304.878 -10563.202
102 11420 27 ST SE,5326.654 -10526.864|5224.019 -10413.934|5192.450 -10442.923|5194.764 -10448.371|5197.323 -10453.697|5200.112 -10458.901|5203.132 -10463.983|5206.382 -10468.920|5209.843 -10473.701|5213.520 -10478.327|5217.399 -10482.786|5225.711 -10491.904|5270.247 -10540.774|5272.247 -10542.887|5275.742 -10546.256|5279.433 -10549.403|5283.306 -10552.327|5287.346 -10555.007|5291.533 -10557.453|5295.868 -10559.633|5300.321 -10561.545|5304.878 -10563.202
107 11420 27 ST SE,5326.654 -10526.864|5224.019 -10413.934|5192.450 -10442.923|5194.764 -10448.371|5197.323 -10453.697|5200.112 -10458.901|5203.132 -10463.983|5206.382 -10468.920|5209.843 -10473.701|5213.520 -10478.327|5217.399 -10482.786|5225.711 -10491.904|5270.247 -10540.774|5272.247 -10542.887|5275.742 -10546.256|5279.433 -10549.403|5283.306 -10552.327|5287.346 -10555.007|5291.533 -10557.453|5295.868 -10559.633|5300.321 -10561.545|5304.878 -10563.202
105 11420 27 ST SE,5326.654 -10526.864|5224.019 -10413.934|5192.450 -10442.923|5194.764 -10448.371|5197.323 -10453.697|5200.112 -10458.901|5203.132 -10463.983|5206.382 -10468.920|5209.843 -10473.701|5213.520 -10478.327|5217.399 -10482.786|5225.711 -10491.904|5270.247 -10540.774|5272.247 -10542.887|5275.742 -10546.256|5279.433 -10549.403|5283.306 -10552.327|5287.346 -10555.007|5291.533 -10557.453|5295.868 -10559.633|5300.321 -10561.545|5304.878 -10563.202
