ADDRESS,POINTS
1120 29 AV NE,3037.419 3379.063|3050.659 3387.124|3075.336 3402.169|3044.948 3452.218|3020.006 3437.029|3028.702 3422.718|3015.714 3414.801
3115 12 ST NE,3123.234 3507.660|3090.120 3553.216|3087.639 3556.763|3085.283 3560.377|3083.046 3564.080|3080.935 3567.849|3078.950 3571.697|3077.097 3575.600|3075.377 3579.558|3073.791 3583.583|3072.379 3586.652|3070.526 3589.477|3068.275 3591.990|3065.675 3594.147|3062.788 3595.904|3059.677 3597.216|3056.398 3598.039|3053.036 3598.383|3044.563 3598.361|3036.112 3597.850|3027.695 3596.849|3019.356 3595.359|3011.114 3593.391|3003.005 3590.945|2995.043 3588.042|2987.270 3584.684|3021.586 3528.175|3029.275 3515.521|3058.405 3467.540
1223 31 AV NE,3021.586 3528.175|2987.270 3584.684|2980.062 3581.059|2973.065 3577.056|2938.756 3556.163|2969.660 3496.540
3112 11 ST NE,2969.660 3496.540|2938.756 3556.163|2891.989 3527.686|2890.878 3526.919|2889.843 3526.062|2888.900 3525.095|2888.061 3524.050|2887.320 3522.927|2886.698 3521.737|2886.194 3520.480|2885.817 3519.190|2885.565 3517.867|2885.446 3516.533|2885.453 3515.187|2885.600 3513.853|2885.873 3512.530|2886.271 3511.251|2886.802 3510.006|2887.445 3508.827|2915.100 3463.282
1144 29 AV NE,3058.405 3467.540|3029.275 3515.521|3021.586 3528.175|2969.660 3496.540|2915.100 3463.282|2943.551 3416.446|2944.299 3415.334|2945.159 3414.300|2946.117 3413.355|2947.158 3412.510|2948.277 3411.765|2949.465 3411.142|2950.709 3410.631|2951.996 3410.253|2953.317 3409.997|2954.652 3409.875|2955.994 3409.886|2957.329 3410.030|2958.650 3410.297|2959.930 3410.698|2961.167 3411.220|2962.348 3411.865|2977.553 3421.128|2987.941 3437.095|3011.317 3451.339|3020.006 3437.029|3044.948 3452.218|3075.336 3402.169|3050.659 3387.124|3037.419 3379.063|3047.010 3363.262|3101.550 3396.487|3086.856 3420.694|3085.681 3422.618|3081.249 3429.912
2938 11 ST NE,3037.419 3379.063|3015.714 3414.801|3005.326 3408.463|2986.403 3406.550|2971.198 3397.287|2970.087 3396.531|2969.052 3395.664|2968.109 3394.708|2967.270 3393.663|2966.529 3392.539|2965.900 3391.350|2965.396 3390.104|2965.019 3388.814|2964.767 3387.491|2964.641 3386.146|2964.648 3384.811|2964.788 3383.466|2965.061 3382.154|2965.459 3380.864|2965.984 3379.630|2966.627 3378.451|2995.071 3331.605|3047.010 3363.262
2140 23 ST NE,4844.143 2587.766|4717.469 2588.511|4717.545 2512.899|4843.849 2512.231|4844.094 2519.192|4844.157 2526.164
3015 12 ST NE,3175.705 3403.236|3171.371 3417.859|3168.407 3427.166|3165.065 3436.339|3161.360 3445.379|3157.285 3454.253|3155.481 3457.911|3085.681 3422.618|3086.856 3420.694|3101.550 3396.487|3109.736 3383.010
2905 12 ST NE,3191.301 3350.574|3175.705 3403.236|3109.736 3383.010|3124.723 3358.336|3132.385 3332.494
2725 12 ST NE,3166.184 3146.988|3200.996 3146.876|3202.520 3146.965|3204.023 3147.210|3205.484 3147.621|3206.896 3148.200|3208.238 3148.922|3209.483 3149.801|3210.629 3150.802|3211.650 3151.936|3212.964 3153.860|3213.929 3155.972|3214.523 3158.229|3214.726 3160.542|3214.865 3203.831|3214.872 3206.877|3214.928 3222.778|3151.049 3222.967|3148.043 3223.001|3147.988 3216.885|3147.792 3148.567|3152.357 3147.866|3156.949 3147.377|3161.563 3147.077
