ADDRESS,POINTS
521 35 AV NE,1407.750 3966.817|1415.342 3966.806|1422.934 3966.806|1430.525 3966.795|1430.497 4001.888|1422.899 4001.888|1415.307 4001.899|1407.708 4001.910
216 35 AV NE,902.947 4057.808|895.341 4057.819|887.736 4057.819|880.130 4057.830|872.524 4057.830|864.919 4057.841|857.313 4057.852|849.707 4057.852|842.102 4057.863|842.200 4022.748|849.798 4022.748|857.390 4022.737|864.989 4022.737|872.580 4022.737|880.179 4022.726|887.771 4022.726|895.369 4022.714|902.961 4022.714
232 35 AV NE,902.961 4022.714|910.560 4022.703|918.151 4022.703|925.750 4022.703|933.342 4022.692|940.940 4022.692|948.532 4022.681|956.130 4022.681|963.722 4022.670|963.792 4057.752|956.186 4057.763|948.581 4057.774|940.975 4057.774|933.369 4057.785|925.764 4057.785|918.158 4057.796|910.553 4057.808|902.947 4057.808
3516 1 ST NE,834.531 4002.655|826.932 4002.655|819.334 4002.666|812.378 4002.666|812.197 3967.551|819.159 3967.540|826.765 3967.528|834.370 3967.517
233 39 AV NE,919.976 4373.457|965.603 4373.401|965.763 4412.597|920.199 4412.642
237 39 AV NE,919.976 4373.457|965.603 4373.401|965.763 4412.597|920.199 4412.642
241 39 AV NE,919.976 4373.457|965.603 4373.401|965.763 4412.597|920.199 4412.642
623 35 AV NE,1541.653 4001.799|1534.061 4001.799|1526.470 4001.810|1526.539 3966.706|1534.131 3966.694|1541.723 3966.683
230 38 AV NE,935.152 4367.341|927.546 4367.352|927.260 4328.178|934.858 4328.167
230 38 AV NE,942.758 4367.330|935.152 4367.341|934.858 4328.167|942.464 4328.156
230 38 AV NE,950.363 4367.330|942.758 4367.330|942.464 4328.156|950.063 4328.156
230 38 AV NE,957.969 4367.319|950.363 4367.330|950.063 4328.156|957.668 4328.145
507 35 AV NE,1407.708 4001.910|1400.117 4001.910|1392.518 4001.921|1384.926 4001.921|1377.335 4001.932|1369.736 4001.932|1362.144 4001.943|1354.546 4001.943|1346.045 4001.954|1340.642 3966.883|1354.609 3966.872|1362.200 3966.861|1369.792 3966.861|1377.384 3966.850|1384.975 3966.839|1392.567 3966.839|1400.159 3966.828|1407.750 3966.817
230 38 AV NE,957.668 4328.145|965.267 4328.134|965.575 4367.308|957.969 4367.319
230 38 AV NE,881.913 4367.396|874.307 4367.408|874.041 4328.234|881.647 4328.223
230 38 AV NE,889.518 4367.385|881.913 4367.396|881.647 4328.223|889.246 4328.223
230 38 AV NE,897.124 4367.385|889.518 4367.385|889.246 4328.223|896.851 4328.211
230 38 AV NE,904.729 4367.374|897.124 4367.385|896.851 4328.211|904.450 4328.200
230 38 AV NE,912.335 4367.363|904.729 4367.374|904.450 4328.200|912.056 4328.189
230 38 AV NE,919.941 4367.363|912.335 4367.363|912.056 4328.189|919.654 4328.189
230 38 AV NE,927.546 4367.352|919.941 4367.363|919.654 4328.189|927.260 4328.178
3808 1 ST NE,858.446 4262.862|850.868 4262.873|843.269 4262.884|835.678 4262.884|828.079 4262.895|820.480 4262.907|813.392 4262.907|813.217 4223.733|820.173 4223.733|827.764 4223.722|835.363 4223.710|842.955 4223.699|850.546 4223.699|858.131 4223.688
226 37 AV NE,919.235 4262.807|911.643 4262.807|904.037 4262.818|896.439 4262.829|888.840 4262.840|888.512 4223.655|896.110 4223.644|903.702 4223.633|903.842 4239.356|911.440 4239.311|919.025 4239.267
3805 2 ST NE,918.885 4223.621|926.491 4223.610|934.082 4223.599|941.674 4223.599|949.273 4223.588|956.864 4223.577|964.456 4223.566|964.764 4262.751|957.235 4262.762|949.636 4262.773|942.038 4262.784|934.439 4262.784|926.840 4262.795|919.235 4262.807|919.025 4239.267
211 38 AV NE,858.620 4308.207|851.022 4308.219|843.430 4308.230|843.304 4268.978|850.903 4268.967|858.501 4268.967
219 38 AV NE,888.987 4308.163|881.395 4308.174|873.804 4308.185|866.212 4308.196|858.620 4308.207|858.501 4268.967|866.100 4268.956|873.699 4268.944|881.290 4268.933|888.833 4268.933
3 215 39 AV NE,889.777 4412.664|859.361 4412.697|859.138 4373.512|889.560 4373.479
