ADDRESS,POINTS
944 65 AV NE,2072.405 7138.040|2074.572 7138.263|2076.662 7138.863|2078.612 7139.842|2080.360 7141.132|2081.248 7142.032|2082.031 7143.022|2082.709 7144.078|2083.275 7145.201|2083.722 7146.380|2084.051 7147.603|2084.247 7148.849|2084.310 7150.105|2084.254 7160.380|2084.470 7168.430|2013.461 7168.041|2013.636 7137.707
7440 10 ST NE,2329.626 7849.143|2321.070 7872.372|2312.185 7895.489|2302.972 7918.462|2293.430 7941.313|2268.816 7932.762|2193.172 7906.509|2181.855 7902.572|2182.463 7897.858|2182.938 7893.132|2186.727 7848.309
7012 8 ST NE,1996.852 7540.611|1996.362 7622.828|1995.985 7686.198|1958.726 7685.976|1919.936 7685.742|1881.145 7685.520|1881.914 7553.620|1881.984 7552.286|1882.187 7550.952|1882.522 7549.651|1882.984 7548.394|1883.564 7547.182|1884.256 7546.026|1885.067 7544.958|1885.976 7543.969|1886.975 7543.068|1888.059 7542.267|1889.212 7541.589|1890.436 7541.022|1891.701 7540.566|1893.008 7540.255|1894.343 7540.055|1895.686 7539.999
1128 64 AV NE,2382.775 7008.543|2382.558 7046.616|2349.095 7046.427|2311.074 7046.205|2273.045 7045.982|2273.493 6969.602|2311.514 6969.680|2349.535 6969.747|2382.999 6969.814
7879 8 ST NE,1836.686 8071.511|1964.912 8072.100|1965.185 8073.301|1965.828 8076.103|1982.479 8148.836|1854.246 8148.224|1837.693 8075.347|1837.049 8072.545
6835 8 ST NE,1865.263 7487.359|1865.081 7517.816|1864.906 7548.283|1864.732 7578.739|1864.550 7609.196|1763.265 7608.595|1763.971 7578.139|1764.670 7547.683|1765.369 7517.226|1764.055 7486.759
6732 8 ST NE,2084.470 7168.430|2090.168 7375.564|2090.021 7401.372|1882.837 7400.171|1883.844 7233.435|2013.091 7234.246|2013.461 7168.041
1145 65 AV NE,2431.548 7008.821|2431.610 7046.894|2431.680 7084.978|2431.715 7109.241|2431.652 7110.586|2431.457 7111.921|2431.135 7113.233|2430.681 7114.501|2430.101 7115.724|2429.408 7116.880|2428.605 7117.970|2427.696 7118.971|2426.696 7119.871|2425.606 7120.672|2424.445 7121.372|2423.222 7121.939|2421.950 7122.395|2420.635 7122.718|2419.300 7122.907|2417.951 7122.974|2382.118 7122.762|2382.342 7084.689|2382.558 7046.616|2382.775 7008.543
7211 8 ST NE,1864.019 7700.576|1863.837 7731.032|1863.809 7735.602|1863.879 7746.721|1864.228 7757.841|1797.350 7757.452|1788.640 7730.587|1778.742 7700.075
1150 64 AV NE,2382.999 6969.814|2412.540 6969.858|2415.134 6970.103|2417.650 6970.781|2420.013 6971.882|2422.145 6973.383|2423.984 6975.218|2425.473 6977.353|2426.577 6979.710|2427.248 6982.223|2431.548 7006.375|2431.548 7008.821|2382.775 7008.543
6875 9 ST NE,2090.021 7401.372|2089.399 7509.076|2089.315 7510.543|2089.098 7511.989|2088.735 7513.412|2088.231 7514.802|2087.595 7516.125|2086.833 7517.382|2085.952 7518.561|2084.960 7519.639|2083.862 7520.618|2082.681 7521.496|2081.416 7522.241|2080.080 7522.864|2078.689 7523.353|2077.263 7523.698|2075.809 7523.909|2074.334 7523.976|1895.783 7522.942|1894.441 7522.864|1893.113 7522.653|1891.806 7522.319|1890.548 7521.863|1889.331 7521.274|1888.185 7520.573|1887.108 7519.773|1886.123 7518.861|1885.228 7517.860|1884.431 7516.770|1883.746 7515.614|1883.180 7514.402|1882.739 7513.134|1882.418 7511.822|1882.229 7510.499|1882.173 7509.154|1882.837 7400.171
6390 11 ST NE,2461.670 6817.999|2610.665 6818.333|2643.408 6818.400|2682.995 6868.415|2716.549 6910.814|2735.172 6934.354|2480.788 6933.787|2478.195 6933.542|2475.685 6932.864|2473.330 6931.763|2471.198 6930.262|2469.359 6928.427|2467.863 6926.292|2466.766 6923.935|2466.094 6921.422|2462.417 6900.739|2461.774 6897.270|2461.802 6897.270
