ADDRESS,POINTS
3530 11A ST NE,2669.580 4048.601|2593.538 4048.734|2625.093 3967.317|2637.515 3958.766|2669.433 3958.666
1122 40 AV NE,2535.237 4643.004|2489.722 4643.093|2489.722 4535.412|2556.579 4535.279|2563.213 4544.063
1210 36 AV NE,2637.019 4248.474|2591.420 4248.562|2591.217 4155.659|2636.816 4155.581
4204 12 ST NE,2876.135 4620.187|2751.257 4620.154|2774.759 4543.585|2786.559 4534.834|2876.121 4534.656
4101 10 ST NE,2384.474 4543.107|2382.425 4544.385|2382.411 4543.107|2382.370 4535.623|2396.532 4535.590
1224 34 AV NE,2806.398 4048.345|2760.792 4048.434|2715.186 4048.512|2715.046 3958.599|2760.652 3958.544|2806.258 3958.488|2806.328 4003.422
1112 40 AV NE,2489.722 4643.093|2429.548 4643.215|2429.213 4588.374|2428.891 4535.534|2489.722 4535.412
3640 11A ST NE,2669.720 4138.468|2567.799 4138.646|2561.983 4130.151|2593.538 4048.734|2669.580 4048.601
4304 10 ST NE,2419.873 4701.115|2420.188 4751.408|2334.974 4740.878|2341.049 4691.407
3770 12 ST NE,2972.464 4183.769|2951.478 4252.165|2871.549 4227.624|2889.878 4167.980|2901.280 4161.919
1135 45 AV NE,2431.960 5032.687|2377.225 5032.720|2374.442 4941.396|2390.332 4941.362|2421.306 4941.296|2431.359 4941.285
4502 10 ST NE,2377.225 5032.720|2338.924 5032.731|2336.533 5032.620|2334.163 5032.264|2331.835 5031.686|2329.584 5030.874|2327.417 5029.851|2325.362 5028.628|2323.433 5027.194|2321.664 5025.593|2320.056 5023.813|2318.630 5021.890|2317.400 5019.844|2316.372 5017.676|2315.569 5015.418|2314.988 5013.094|2314.639 5010.726|2314.527 5008.335|2314.758 4990.955|2315.457 4973.576|2317.190 4941.518|2374.442 4941.396
4604 13 ST NE,2927.088 5052.546|2927.095 5150.042|2838.911 5149.975|2838.918 5061.653|2848.040 5052.524
