ADDRESS,POINTS
2220 32 AV NE,4514.759 3738.923|4514.717 3860.737|4408.315 3860.715|4408.357 3738.901
2320 32 AV NE,4514.759 3738.923|4593.807 3738.934|4596.491 3739.067|4599.155 3739.468|4601.755 3740.124|4604.286 3741.035|4606.711 3742.181|4609.018 3743.571|4611.171 3745.172|4613.164 3746.973|4614.967 3748.975|4616.561 3751.132|4617.945 3753.434|4619.092 3755.869|4619.993 3758.393|4620.643 3761.006|4621.035 3763.664|4621.161 3766.343|4621.154 3793.753|4622.978 3860.759|4514.717 3860.737
3701 19 ST NE,4165.969 4239.100|4056.421 4239.178|4056.246 4195.378|4165.808 4195.311
2121 39 AV NE,4402.191 4400.922|4402.394 4457.275|4393.313 4466.438|4299.060 4466.783|4298.823 4401.289
3600 19 ST NE,4204.633 3999.553|4297.362 3999.597|4297.627 4072.641|4259.557 4072.774|4195.783 4073.008|4195.755 4066.603|4195.546 4008.693
3650 19 ST NE,4297.865 4139.347|4196.021 4139.714|4195.783 4073.008|4259.557 4072.774|4297.627 4072.641|4297.634 4073.853
3700 19 ST NE,4298.110 4204.829|4196.259 4205.196|4196.021 4139.714|4297.865 4139.347
3750 19 ST NE,4298.347 4270.323|4196.496 4270.679|4196.259 4205.196|4298.110 4204.829
1 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
2 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
3 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
4 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
5 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
6 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
7 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
8 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
9 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
10 3800 19 ST NE,4298.585 4335.806|4196.734 4336.173|4196.496 4270.679|4298.347 4270.323
1 3850 19 ST NE,4298.823 4401.289|4196.972 4401.656|4196.734 4336.173|4298.585 4335.806
