ADDRESS,POINTS
3300 114 AV SE,5665.433 -10944.901|5665.195 -10869.878|5665.160 -10859.893|5617.863 -10860.048|5618.136 -10945.057
10835 27 ST SE,5164.447 -10386.347|5166.145 -10386.347|5165.991 -10310.189|5100.043 -10310.312|5100.036 -10386.469
8504 SHEPARD RD SE,5335.559 -7884.850|5328.940 -7884.872|5420.620 -7998.324|5420.585 -7945.718|5416.908 -7930.518|5413.489 -7915.251|5410.323 -7899.939|5407.422 -7884.572
11411 29 ST SE,5335.224 -10584.218|5330.233 -10584.229|5322.096 -10583.907|5314.015 -10582.895|5306.039 -10581.227|5298.237 -10578.892|5290.653 -10575.923|5283.341 -10572.320|5276.350 -10568.128|5269.730 -10563.358|5263.530 -10558.065|5257.783 -10552.261|5213.240 -10503.379|5211.996 -10504.536|5145.439 -10565.760|5152.430 -10575.234|5158.714 -10583.028|5165.306 -10590.567|5301.306 -10739.824|5330.016 -10713.415|5334.567 -10708.767|5338.614 -10703.675|5342.110 -10698.182|5345.025 -10692.355|5347.324 -10686.262|5348.981 -10679.957|5349.974 -10673.508|5350.302 -10667.003|5350.267 -10648.744|5350.177 -10599.174|5349.939 -10596.572|5349.261 -10594.059|5348.163 -10591.690|5346.667 -10589.555|5344.822 -10587.710|5342.690 -10586.208|5340.327 -10585.108|5337.817 -10584.440
11441 29 ST SE,5132.304 -10544.922|5115.632 -10554.396|5113.668 -10557.064|5109.089 -10563.269|5105.678 -10567.895|5113.668 -10573.933|5121.504 -10580.159|5129.194 -10586.587|5136.715 -10593.191|5144.076 -10599.985|5151.263 -10606.957|5158.281 -10614.107|5165.118 -10621.435|5168.340 -10624.971|5280.859 -10748.453|5281.950 -10749.443|5283.208 -10750.188|5284.585 -10750.677|5286.032 -10750.888|5287.500 -10750.810|5288.912 -10750.443|5290.233 -10749.810|5291.408 -10748.931|5301.306 -10739.824|5165.306 -10590.567|5158.714 -10583.028|5152.430 -10575.234|5148.879 -10570.541|5145.439 -10565.760|5141.965 -10560.667|5138.617 -10555.496|5135.394 -10550.248
2520 107 AV SE,5100.064 -10136.469|5100.064 -10134.768|5100.064 -10131.277|5100.071 -10035.938|5085.147 -10035.949|5085.140 -10136.481
10909 27 ST SE,5213.240 -10503.379|5204.928 -10494.261|5200.434 -10489.091|5196.183 -10483.720|5192.185 -10478.160|5188.445 -10472.423|5184.971 -10466.518|5181.776 -10460.458|5178.861 -10454.253|5176.240 -10447.915|5173.905 -10441.477|5171.870 -10434.928|5170.144 -10428.301|5168.725 -10421.595|5167.613 -10414.824|5166.816 -10408.019|5166.327 -10401.180|5166.159 -10394.330|5166.145 -10386.347|5164.447 -10386.347|5100.036 -10386.469|5100.036 -10421.807|5100.162 -10429.846|5100.547 -10437.886|5101.190 -10445.903|5102.092 -10453.898|5103.245 -10461.859|5104.657 -10469.776|5106.321 -10477.638|5108.236 -10485.455|5110.396 -10493.194|5112.808 -10500.866|5115.464 -10508.461|5118.365 -10515.967|5121.497 -10523.361|5124.874 -10530.667|5128.474 -10537.850|5132.304 -10544.922|5135.394 -10550.248|5138.617 -10555.496|5141.965 -10560.667|5145.439 -10565.760|5211.996 -10504.536
8503 27 ST SE,5318.447 -8000.748|5323.200 -8000.760|5327.940 -8000.459|5332.658 -7999.859|5337.321 -7998.958|5339.957 -7998.269|5342.543 -7997.413|5345.067 -7996.401|5347.520 -7995.222|5349.897 -7993.899|5352.190 -7992.420|5354.378 -7990.808|5356.461 -7989.051|5358.425 -7987.160|5360.271 -7985.159|5361.984 -7983.046|5363.556 -7980.822|5364.989 -7978.498|5366.269 -7976.097|5367.394 -7973.617|5368.359 -7971.059|5368.743 -7969.236|5368.659 -7967.357|5368.107 -7965.566|5367.128 -7963.976|5336.832 -7926.515|5290.730 -7926.704|5290.779 -7985.359|5290.848 -7986.794|5291.051 -7988.217|5291.394 -7989.618|5291.862 -7990.974|5292.463 -7992.275|5293.190 -7993.521|5294.029 -7994.688|5294.973 -7995.767|5296.021 -7996.745|5297.161 -7997.635|5298.370 -7998.391|5299.656 -7999.047|5300.992 -7999.559|5302.376 -7999.948|5303.788 -8000.204|5305.221 -8000.326
10823 27 ST SE,5165.991 -10310.189|5165.845 -10232.264|5100.050 -10232.397|5100.043 -10310.312
3185 114 AV SE,5502.688 -10975.413|5497.200 -10975.324|5491.720 -10975.024|5486.253 -10974.523|5480.808 -10973.801|5475.467 -11013.419|5468.337 -11066.248|5513.607 -11070.562|5559.674 -11074.944|5559.367 -10975.224
