ADDRESS,POINTS
5312 6 ST NE,1687.984 5696.787|1683.909 5721.417|1680.008 5746.069|1676.282 5770.754|1672.738 5795.462|1632.277 6087.360|1631.662 5778.627|1685.174 5694.986
612 BEAVER DAM RD NE,1462.919 5908.191|1463.520 6155.567|1367.856 6155.478|1367.653 5978.978
7 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
6 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
5 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
4 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
3 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
2 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
1 624A BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
7 624B BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
6 624B BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
5 624B BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
4 624B BEAVER DAM RD NE,1547.441 6155.644|1471.608 6155.600|1463.520 6155.567|1462.919 5908.191|1546.686 5845.944|1547.015 5979.723|1547.126 6026.614|1547.280 6088.271
