ADDRESS,POINTS
46V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
47V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
48V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
49V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
50V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
51V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
52V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
53V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
54V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
55V 76 CORNERSTONE PS NE,8770.254 12993.476|8774.874 12993.476|8774.881 12997.579|8797.901 12997.557|8797.922 13025.011|8755.014 13025.033|8752.407 13024.800|8749.883 13024.122|8747.513 13023.021|8745.374 13021.520|8743.529 13019.674|8742.026 13017.539|8740.928 13015.170|8740.250 13012.646|8735.735 12987.060|8735.742 12910.992|8743.221 12910.981|8746.220 12910.981|8781.606 12910.970|8783.724 12912.693|8785.989 12914.217|8788.380 12915.529|8790.889 12916.618|8793.483 12917.475|8796.146 12918.097|8798.852 12918.464|8801.585 12918.598|8811.889 12918.587|8811.882 12950.188|8770.219 12950.210
