ADDRESS,POINTS
341 EVERSYDE BV SW,-2741.965 -15599.465|-2741.972 -15592.482|-2751.234 -15592.493|-2756.687 -15592.504|-2762.132 -15592.504|-2769.067 -15595.329|-2770.451 -15595.329|-2770.444 -15599.899|-2763.041 -15599.888|-2763.041 -15599.487
343 EVERSYDE BV SW,-2741.958 -15604.947|-2741.965 -15599.465|-2763.041 -15599.487|-2763.041 -15599.888|-2770.444 -15599.899|-2770.437 -15603.446|-2763.034 -15603.435|-2763.034 -15604.980
345 EVERSYDE BV SW,-2741.944 -15610.429|-2741.958 -15604.947|-2763.034 -15604.980|-2763.027 -15608.817|-2770.514 -15608.828|-2770.507 -15612.364|-2763.020 -15612.353|-2763.020 -15610.462
347 EVERSYDE BV SW,-2741.937 -15616.545|-2741.944 -15610.429|-2763.020 -15610.462|-2763.020 -15612.353|-2770.507 -15612.364|-2770.500 -15616.589
353 EVERSYDE BV SW,-2741.916 -15628.498|-2741.930 -15622.538|-2770.025 -15622.582|-2771.290 -15626.107|-2764.607 -15628.531
355 EVERSYDE BV SW,-2741.916 -15628.498|-2764.607 -15628.531|-2771.290 -15626.107|-2772.366 -15629.110|-2762.971 -15632.523|-2762.971 -15634.013|-2741.909 -15633.980
357 EVERSYDE BV SW,-2741.909 -15633.980|-2762.971 -15634.013|-2762.971 -15632.523|-2772.366 -15629.110|-2773.799 -15633.102|-2762.964 -15637.038|-2762.950 -15645.311|-2761.370 -15645.077|-2759.783 -15644.999|-2741.895 -15644.977
2303 EVERSYDE AV SW,-2741.972 -15592.482|-2742.007 -15573.712|-2746.481 -15569.220|-2751.297 -15569.242|-2751.234 -15592.493
2305 EVERSYDE AV SW,-2751.234 -15592.493|-2751.297 -15569.242|-2756.750 -15569.253|-2756.687 -15592.504
2307 EVERSYDE AV SW,-2756.687 -15592.504|-2756.750 -15569.253|-2762.202 -15569.276|-2762.132 -15592.504
2309 EVERSYDE AV SW,-2762.132 -15592.504|-2762.202 -15569.276|-2769.144 -15569.287|-2769.067 -15595.329
2317 EVERSYDE AV SW,-2769.067 -15595.329|-2769.144 -15569.287|-2776.693 -15569.309|-2776.617 -15595.351|-2770.451 -15595.329
2319 EVERSYDE AV SW,-2776.617 -15595.351|-2776.693 -15569.309|-2782.146 -15569.331|-2782.069 -15595.362|-2781.384 -15595.362
2321 EVERSYDE AV SW,-2782.069 -15595.362|-2782.146 -15569.331|-2787.599 -15569.342|-2787.522 -15595.384|-2785.404 -15595.373
2323 EVERSYDE AV SW,-2787.522 -15595.384|-2787.599 -15569.342|-2797.169 -15569.376|-2797.092 -15595.406|-2792.345 -15595.395
2329 EVERSYDE AV SW,-2797.092 -15595.406|-2797.169 -15569.376|-2806.738 -15569.398|-2806.662 -15595.440|-2803.243 -15595.429|-2797.791 -15595.418
2331 EVERSYDE AV SW,-2806.662 -15595.440|-2806.738 -15569.398|-2814.288 -15569.420|-2814.211 -15595.462|-2808.696 -15595.440
2337 EVERSYDE AV SW,-2815.637 -15595.462|-2814.211 -15595.462|-2814.288 -15569.420|-2815.477 -15569.431|-2821.230 -15569.442|-2821.153 -15595.484
2339 EVERSYDE AV SW,-2821.153 -15595.484|-2821.230 -15569.442|-2826.682 -15569.465|-2826.605 -15595.495|-2822.586 -15595.484
2341 EVERSYDE AV SW,-2826.605 -15595.495|-2826.682 -15569.465|-2832.128 -15569.476|-2832.058 -15595.518|-2828.038 -15595.507
2345 EVERSYDE AV SW,-2832.058 -15595.518|-2832.128 -15569.476|-2839.076 -15569.498|-2839.048 -15578.861|-2839.028 -15584.343|-2839.014 -15589.824|-2839.000 -15595.540|-2833.491 -15595.518
3 EVERSYDE CO SW,-2873.847 -15578.950|-2873.861 -15569.598|-2900.642 -15569.687|-2900.628 -15578.983
5 EVERSYDE CO SW,-2873.840 -15584.432|-2873.847 -15578.950|-2900.628 -15578.983|-2900.621 -15584.465
7 EVERSYDE CO SW,-2873.833 -15589.913|-2873.840 -15584.432|-2900.621 -15584.465|-2900.614 -15589.947
9 EVERSYDE CO SW,-2873.819 -15596.896|-2873.833 -15589.913|-2900.614 -15589.947|-2900.600 -15596.930
15 EVERSYDE CO SW,-2873.812 -15604.480|-2873.812 -15603.290|-2873.819 -15596.896|-2900.600 -15596.930|-2900.586 -15604.524
17 EVERSYDE CO SW,-2873.798 -15609.962|-2873.812 -15604.480|-2900.586 -15604.524|-2900.579 -15610.006
19 EVERSYDE CO SW,-2873.791 -15615.444|-2873.798 -15609.962|-2900.579 -15610.006|-2900.572 -15615.488
21 EVERSYDE CO SW,-2900.558 -15623.083|-2873.777 -15623.038|-2873.791 -15615.444|-2900.572 -15615.488
27 EVERSYDE CO SW,-2873.756 -15639.128|-2873.763 -15631.534|-2900.544 -15631.578|-2900.537 -15639.173
29 EVERSYDE CO SW,-2873.071 -15644.610|-2873.365 -15643.476|-2873.581 -15642.331|-2873.707 -15641.174|-2873.756 -15640.007|-2873.756 -15639.128|-2900.537 -15639.173|-2900.523 -15644.655
31 EVERSYDE CO SW,-2872.120 -15647.034|-2872.645 -15645.844|-2873.071 -15644.610|-2900.523 -15644.655|-2900.516 -15650.137|-2878.328 -15650.103
35 EVERSYDE CO SW,-2900.509 -15657.731|-2880.572 -15657.698|-2868.590 -15651.771|-2869.632 -15650.715|-2870.576 -15649.570|-2871.407 -15648.335|-2872.120 -15647.034|-2878.328 -15650.103|-2900.516 -15650.137
41 EVERSYDE CO SW,-2865.452 -15654.040|-2867.423 -15652.761|-2879.027 -15658.487|-2897.489 -15678.514|-2897.489 -15681.805|-2891.037 -15681.783
43 EVERSYDE CO SW,-2862.516 -15655.285|-2864.018 -15654.729|-2865.452 -15654.040|-2891.037 -15681.783|-2873.952 -15681.727
51 EVERSYDE CO SW,-2859.139 -15655.941|-2860.845 -15655.707|-2862.516 -15655.285|-2873.952 -15681.727|-2859.062 -15681.683
53 EVERSYDE CO SW,-2853.687 -15655.985|-2857.776 -15655.997|-2859.139 -15655.941|-2859.062 -15681.683|-2853.610 -15681.671
55 EVERSYDE CO SW,-2848.157 -15681.660|-2848.234 -15655.974|-2853.687 -15655.985|-2853.610 -15681.671
57 EVERSYDE CO SW,-2841.216 -15681.638|-2841.292 -15655.952|-2848.234 -15655.974|-2848.157 -15681.660
63 EVERSYDE CO SW,-2834.274 -15681.616|-2834.351 -15655.930|-2841.292 -15655.952|-2841.216 -15681.638
65 EVERSYDE CO SW,-2828.821 -15681.594|-2828.898 -15655.919|-2834.351 -15655.930|-2834.274 -15681.616
67 EVERSYDE CO SW,-2823.369 -15681.583|-2823.446 -15655.896|-2828.898 -15655.919|-2828.821 -15681.594
69 EVERSYDE CO SW,-2816.504 -15656.508|-2816.504 -15655.874|-2823.446 -15655.896|-2823.369 -15681.583|-2816.427 -15681.560
75 EVERSYDE CO SW,-2798.161 -15681.505|-2814.757 -15655.341|-2816.504 -15656.508|-2816.427 -15681.560
77 EVERSYDE CO SW,-2791.709 -15681.482|-2810.213 -15652.305|-2814.757 -15655.341|-2798.161 -15681.505
79 EVERSYDE CO SW,-2785.257 -15681.471|-2805.676 -15649.269|-2810.213 -15652.305|-2791.709 -15681.482
81 EVERSYDE CO SW,-2776.414 -15659.188|-2796.518 -15651.938|-2803.698 -15647.946|-2805.676 -15649.269|-2785.257 -15681.471|-2776.589 -15681.449|-2776.644 -15662.046
87 EVERSYDE CO SW,-2773.534 -15652.171|-2801.587 -15642.042|-2803.698 -15647.946|-2796.518 -15651.938|-2776.414 -15659.188|-2775.994 -15657.320|-2775.372 -15655.518|-2774.547 -15653.784
89 EVERSYDE CO SW,-2767.102 -15646.690|-2799.119 -15635.125|-2801.587 -15642.042|-2773.534 -15652.171|-2772.199 -15650.504|-2770.668 -15649.014|-2768.955 -15647.746
82 EVERSYDE CO SW,-2833.414 -15620.837|-2833.491 -15595.518|-2839.000 -15595.540|-2838.993 -15596.808|-2840.384 -15596.808|-2840.363 -15606.026|-2840.342 -15613.009|-2840.321 -15618.491|-2840.314 -15620.859
84 EVERSYDE CO SW,-2827.962 -15620.826|-2828.038 -15595.507|-2832.058 -15595.518|-2833.491 -15595.518|-2833.414 -15620.837
86 EVERSYDE CO SW,-2822.509 -15620.803|-2822.586 -15595.484|-2826.605 -15595.495|-2828.038 -15595.507|-2827.962 -15620.826
