ADDRESS,POINTS
304 HARVEST HILLS CM NE,1727.285 11676.639|1731.878 11676.751|1736.463 11676.940|1734.884 11695.420|1725.747 11694.631
306 HARVEST HILLS CM NE,1736.463 11676.940|1744.055 11677.451|1742.468 11696.065|1734.884 11695.420
308 HARVEST HILLS CM NE,1744.055 11677.451|1751.633 11678.207|1750.053 11696.710|1742.468 11696.065
310 HARVEST HILLS CM NE,1751.633 11678.207|1756.191 11678.774|1760.734 11679.419|1759.182 11697.499|1750.053 11696.710
316 HARVEST HILLS CM NE,1767.655 11680.587|1772.164 11681.454|1776.659 11682.410|1772.171 11699.479|1763.307 11697.155
318 HARVEST HILLS CM NE,1776.659 11682.410|1784.062 11684.167|1779.532 11701.414|1772.171 11699.479
320 HARVEST HILLS CM NE,1784.062 11684.167|1791.409 11686.169|1786.893 11703.348|1779.532 11701.414
322 HARVEST HILLS CM NE,1791.409 11686.169|1795.938 11687.559|1800.161 11688.860|1795.743 11705.683|1786.893 11703.348
328 HARVEST HILLS CM NE,1811.520 11692.607|1820.223 11695.476|1814.652 11712.411|1805.949 11709.542
330 HARVEST HILLS CM NE,1821.887 11714.790|1814.652 11712.411|1820.223 11695.476|1827.458 11697.855
332 HARVEST HILLS CM NE,1827.458 11697.855|1834.687 11700.235|1829.115 11717.170|1821.887 11714.790
334 HARVEST HILLS CM NE,1834.687 11700.235|1843.397 11703.104|1837.825 11720.039|1829.115 11717.170
340 HARVEST HILLS CM NE,1847.626 11704.494|1856.336 11707.362|1850.765 11724.297|1842.055 11721.429
342 HARVEST HILLS CM NE,1856.336 11707.362|1863.564 11709.742|1857.993 11726.677|1850.765 11724.297
344 HARVEST HILLS CM NE,1863.564 11709.742|1870.799 11712.122|1865.228 11729.057|1857.993 11726.677
346 HARVEST HILLS CM NE,1878.650 11714.712|1879.510 11714.990|1873.938 11731.925|1865.228 11729.057|1870.799 11712.122
1V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
2V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
3V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
4V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
5V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
6V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
7V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
8V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
9V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
10V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
11V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
12V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
13V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
14V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
15V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
16V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
17V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
18V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
19V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
20V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
21V 360 HARVEST HILLS WY NE,2104.526 11632.128|2124.840 11746.970|2043.359 11746.592|2041.863 11746.581|2039.864 11746.570|2039.990 11716.725|2039.934 11705.661|2039.689 11694.586|2039.480 11688.704|2038.927 11677.573|2038.172 11666.454|2037.229 11655.345|2036.082 11644.248
