ADDRESS,POINTS
705 NOLAN HILL BV NW,-6965.164 14548.726|-6958.676 14549.116|-6951.141 14549.449|-6943.591 14549.560|-6938.956 14549.560|-6929.233 14558.056|-6929.079 14559.501|-6963.710 14559.501|-6964.807 14551.162
713 NOLAN HILL BV NW,-6963.038 14565.595|-6928.478 14565.584|-6927.974 14571.677|-6962.472 14571.688
729 NOLAN HILL BV NW,-6961.361 14591.459|-6952.294 14591.459|-6951.099 14591.459|-6929.414 14591.448|-6927.017 14591.436|-6926.912 14599.031|-6961.228 14599.053
733 NOLAN HILL BV NW,-6961.228 14599.053|-6926.912 14599.031|-6926.905 14600.221|-6926.905 14605.136|-6961.221 14605.147|-6961.221 14601.144
745 NOLAN HILL BV NW,-6961.221 14617.323|-6926.905 14617.323|-6926.905 14623.405|-6961.221 14623.416
839 NOLAN HILL BV NW,-6961.200 14764.989|-6926.884 14764.989|-6926.884 14770.482|-6961.200 14770.482
843 NOLAN HILL BV NW,-6961.200 14770.482|-6926.884 14770.482|-6926.884 14776.576|-6961.200 14776.576
850 NOLAN HILL BV NW,-6899.894 14787.818|-6865.409 14787.818|-6865.409 14793.911|-6899.894 14793.911
855 NOLAN HILL BV NW,-6961.193 14791.165|-6926.877 14791.165|-6926.877 14797.258|-6961.193 14797.269
867 NOLAN HILL BV NW,-6961.193 14808.856|-6926.877 14808.856|-6926.877 14814.949|-6961.193 14814.949
916 NOLAN HILL BV NW,-6866.136 14868.790|-6866.136 14874.283|-6899.880 14874.283|-6899.880 14868.790
936 NOLAN HILL BV NW,-6866.136 14899.858|-6866.136 14905.362|-6899.880 14905.362|-6899.880 14899.869
935 NOLAN HILL BV NW,-6961.186 14900.425|-6926.870 14900.414|-6926.870 14905.918|-6961.186 14905.918
943 NOLAN HILL BV NW,-6961.186 14911.411|-6926.870 14911.411|-6926.870 14916.904|-6961.186 14916.904
948 NOLAN HILL BV NW,-6866.136 14916.348|-6866.136 14922.464|-6866.136 14923.642|-6896.377 14923.642|-6899.880 14923.642|-6899.880 14922.430|-6899.880 14916.348
971 NOLAN HILL BV NW,-6961.179 14952.876|-6926.863 14952.876|-6926.863 14960.170|-6951.057 14960.170|-6952.259 14960.170|-6961.179 14960.170
979 NOLAN HILL BV NW,-6961.179 14966.875|-6926.863 14966.864|-6926.863 14972.357|-6961.179 14972.368
709 NOLAN HILL BV NW,-6963.710 14559.501|-6929.079 14559.501|-6928.478 14565.584|-6963.038 14565.595
721 NOLAN HILL BV NW,-6962.011 14577.771|-6927.576 14577.771|-6927.268 14583.853|-6961.654 14583.864
757 NOLAN HILL BV NW,-6961.214 14638.594|-6926.898 14638.594|-6926.898 14644.688|-6961.214 14644.688
769 NOLAN HILL BV NW,-6961.214 14656.875|-6926.898 14656.875|-6926.898 14662.957|-6961.214 14662.968
805 NOLAN HILL BV NW,-6961.207 14715.630|-6926.891 14715.619|-6926.891 14721.112|-6961.207 14721.123
810 NOLAN HILL BV NW,-6899.900 14719.666|-6865.416 14719.666|-6865.416 14725.760|-6899.900 14725.771|-6899.900 14721.668
814 NOLAN HILL BV NW,-6899.900 14725.771|-6865.416 14725.760|-6865.416 14731.853|-6899.900 14731.864
813 NOLAN HILL BV NW,-6961.207 14727.217|-6926.891 14727.217|-6926.891 14732.710|-6961.207 14732.710
825 NOLAN HILL BV NW,-6961.200 14746.097|-6951.672 14746.097|-6950.477 14746.097|-6926.884 14746.097|-6926.884 14753.392|-6961.200 14753.392
847 NOLAN HILL BV NW,-6961.200 14776.576|-6926.884 14776.576|-6926.884 14782.669|-6926.884 14783.870|-6950.470 14783.870|-6951.672 14783.870|-6961.200 14783.870|-6961.200 14782.681
859 NOLAN HILL BV NW,-6961.193 14797.269|-6926.877 14797.258|-6926.877 14803.352|-6961.193 14803.363
920 NOLAN HILL BV NW,-6866.136 14874.283|-6866.136 14879.776|-6899.880 14879.776|-6899.880 14874.283
928 NOLAN HILL BV NW,-6866.136 14887.070|-6866.136 14888.293|-6866.136 14894.365|-6899.880 14894.365|-6899.880 14888.260|-6899.880 14887.070|-6876.196 14887.070|-6875.000 14887.070
932 NOLAN HILL BV NW,-6866.136 14894.365|-6866.136 14899.858|-6899.880 14899.869|-6899.880 14894.365
983 NOLAN HILL BV NW,-6961.179 14972.368|-6926.863 14972.357|-6926.863 14977.861|-6961.179 14977.861
725 NOLAN HILL BV NW,-6961.654 14583.864|-6927.268 14583.853|-6927.017 14591.436|-6929.414 14591.448|-6951.099 14591.459|-6952.294 14591.459|-6961.361 14591.459|-6961.396 14590.258
761 NOLAN HILL BV NW,-6961.214 14644.688|-6926.898 14644.688|-6926.898 14650.781|-6961.214 14650.781
777 NOLAN HILL BV NW,-6961.214 14670.552|-6952.287 14670.552|-6951.085 14670.552|-6926.898 14670.552|-6926.898 14677.846|-6961.214 14677.857
785 NOLAN HILL BV NW,-6961.207 14683.350|-6926.898 14683.339|-6926.891 14689.444|-6961.207 14689.444
798 NOLAN HILL BV NW,-6865.423 14707.479|-6899.907 14707.479|-6899.907 14698.984|-6875.560 14698.984|-6874.364 14698.984|-6865.423 14698.984
809 NOLAN HILL BV NW,-6961.207 14721.123|-6926.891 14721.112|-6926.891 14727.217|-6961.207 14727.217
939 NOLAN HILL BV NW,-6961.186 14905.918|-6926.870 14905.918|-6926.870 14911.411|-6961.186 14911.411
