ADDRESS,POINTS
5000 144 AV NW,-6492.062 15122.470|-6501.380 15122.470|-6501.982 15122.470|-6501.982 15121.870|-6501.982 15120.380|-6501.996 15112.307|-6501.996 15110.806|-6502.017 15098.897|-6502.017 15097.373|-6502.024 15092.736|-6502.044 15080.805|-6502.044 15079.104|-6502.072 15059.311|-6502.079 15057.510|-6497.906 15057.521|-6491.908 15057.543
239 EDITH PL NW,-6391.364 15057.465|-6391.511 15117.455|-6435.991 15117.466|-6439.298 15117.277|-6442.563 15116.710|-6445.743 15115.787|-6448.644 15115.020|-6451.636 15114.720|-6454.635 15114.909|-6457.564 15115.565|-6460.353 15116.688|-6462.926 15118.233|-6465.219 15120.179|-6467.169 15122.459|-6470.049 15122.459|-6492.062 15122.470|-6491.908 15057.543
125 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
124 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
123 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
122 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
121 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
120 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
119 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
118 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
117 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
116 245 EDITH PL NW,-6298.006 15113.330|-6298.265 15119.067|-6357.992 15119.079|-6359.949 15117.644|-6362.081 15116.465|-6364.339 15115.587|-6366.702 15114.998|-6369.114 15114.720|-6371.546 15114.764|-6373.951 15115.120|-6376.286 15115.776|-6378.663 15116.510|-6381.088 15117.033|-6383.556 15117.344|-6386.038 15117.455|-6391.511 15117.455|-6391.364 15057.465|-6389.316 15057.465|-6378.117 15057.465|-6373.923 15057.465|-6316.168 15057.443|-6313.511 15057.688|-6310.946 15058.388|-6308.541 15059.534|-6306.374 15061.079|-6304.522 15062.992|-6303.033 15065.194|-6301.963 15067.629|-6301.334 15070.208|-6299.607 15081.684|-6297.461 15094.871
