ADDRESS,POINTS
154 REDSTONE VW NE,7495.309 13088.837|7495.309 13094.397|7473.639 13094.397|7473.639 13088.848
152 REDSTONE VW NE,7495.309 13094.397|7495.309 13098.656|7473.646 13098.667|7473.639 13094.397
150 REDSTONE VW NE,7495.309 13098.656|7495.309 13102.914|7473.646 13102.926|7473.646 13098.667
148 REDSTONE VW NE,7495.309 13102.914|7495.309 13108.474|7473.646 13108.474|7473.646 13102.926
404 REDSTONE VW NE,7455.282 13091.250|7460.895 13090.572|7463.223 13109.808|7461.273 13110.053|7461.566 13112.511|7457.910 13112.955
406 REDSTONE VW NE,7451.053 13091.762|7455.282 13091.250|7457.910 13112.955|7453.674 13113.467
408 REDSTONE VW NE,7446.823 13092.273|7451.053 13091.762|7453.674 13113.467|7449.445 13113.967
410 REDSTONE VW NE,7442.594 13092.785|7446.823 13092.273|7449.445 13113.967|7445.216 13114.479
412 REDSTONE VW NE,7438.358 13093.296|7442.594 13092.785|7445.216 13114.479|7440.979 13114.990
414 REDSTONE VW NE,7432.849 13093.963|7438.358 13093.296|7440.979 13114.990|7435.471 13115.657
142 REDSTONE VW NE,7495.309 13110.220|7495.316 13115.780|7473.576 13115.780|7473.646 13110.231
420 REDSTONE VW NE,7425.544 13094.831|7431.060 13094.163|7433.681 13115.869|7428.166 13116.536
422 REDSTONE VW NE,7421.315 13095.342|7425.544 13094.831|7428.166 13116.536|7423.937 13117.047
424 REDSTONE VW NE,7417.086 13095.854|7421.315 13095.342|7423.937 13117.047|7419.707 13117.559
426 REDSTONE VW NE,7412.850 13096.365|7417.086 13095.854|7419.707 13117.559|7415.478 13118.070
428 REDSTONE VW NE,7408.620 13096.877|7412.850 13096.365|7415.478 13118.070|7411.242 13118.582
430 REDSTONE VW NE,7403.105 13097.544|7408.620 13096.877|7411.242 13118.582|7405.733 13119.249
436 REDSTONE VW NE,7395.814 13098.422|7401.329 13097.766|7403.951 13119.460|7398.442 13120.127
140 REDSTONE VW NE,7495.316 13115.780|7495.316 13120.038|7473.576 13120.050|7473.576 13115.780
438 REDSTONE VW NE,7391.585 13098.934|7395.814 13098.422|7398.442 13120.127|7394.206 13120.639
440 REDSTONE VW NE,7387.355 13099.445|7391.585 13098.934|7394.206 13120.639|7389.977 13121.139
442 REDSTONE VW NE,7382.588 13100.023|7387.355 13099.445|7389.977 13121.139|7382.217 13122.084
454 REDSTONE VW NE,7361.169 13102.614|7366.720 13101.947|7366.391 13122.362|7360.854 13122.273
452 REDSTONE VW NE,7366.720 13101.947|7370.991 13101.424|7370.655 13122.429|7366.391 13122.362
450 REDSTONE VW NE,7370.991 13101.424|7375.262 13100.913|7374.919 13122.496|7370.655 13122.429
448 REDSTONE VW NE,7375.262 13100.913|7380.840 13100.235|7380.470 13122.240|7377.939 13122.551|7374.919 13122.496
138 REDSTONE VW NE,7495.316 13120.038|7495.316 13124.297|7473.576 13124.308|7473.576 13120.050
136 REDSTONE VW NE,7495.316 13124.297|7495.316 13129.857|7473.583 13129.857|7473.576 13124.308
405 REDSTONE VW NE,7448.382 13121.273|7457.945 13120.116|7459.609 13133.882|7450.039 13135.039
409 REDSTONE VW NE,7442.035 13122.040|7448.382 13121.273|7450.039 13135.039|7443.699 13135.806
413 REDSTONE VW NE,7435.688 13122.807|7442.035 13122.040|7443.699 13135.806|7437.351 13136.573
130 REDSTONE VW NE,7495.316 13131.669|7495.323 13137.218|7473.583 13137.229|7473.583 13131.669
417 REDSTONE VW NE,7429.340 13123.586|7435.688 13122.807|7437.351 13136.573|7431.004 13137.340
421 REDSTONE VW NE,7419.910 13124.720|7429.340 13123.586|7431.004 13137.340|7421.574 13138.475
504 REDSTONE VW NE,7358.408 13131.736|7377.310 13132.136|7377.289 13133.348|7380.589 13133.393|7380.861 13134.572|7380.889 13135.784|7380.826 13139.486|7358.296 13138.942
427 REDSTONE VW NE,7410.480 13125.865|7419.910 13124.720|7421.574 13138.475|7412.144 13139.620
431 REDSTONE VW NE,7404.133 13126.632|7410.480 13125.865|7412.144 13139.620|7405.796 13140.376
435 REDSTONE VW NE,7397.785 13127.400|7404.133 13126.632|7405.796 13140.376|7399.449 13141.143
128 REDSTONE VW NE,7495.323 13137.218|7495.323 13141.488|7473.583 13141.488|7473.583 13137.229
439 REDSTONE VW NE,7395.611 13127.655|7397.785 13127.400|7399.449 13141.143|7389.627 13142.333|7389.732 13135.873|7389.823 13134.872|7390.061 13133.882|7390.438 13132.948|7390.949 13132.070|7391.585 13131.280|7392.326 13130.602|7393.164 13130.024|7394.073 13129.579|7393.891 13128.056|7394.744 13127.811
506 REDSTONE VW NE,7358.296 13138.942|7380.826 13139.486|7380.728 13145.580|7358.191 13145.046
126 REDSTONE VW NE,7495.323 13141.488|7495.323 13145.747|7473.590 13145.758|7473.583 13141.488
304 REDSTONE VW NE,7450.039 13135.039|7459.609 13133.882|7459.616 13147.826|7451.703 13148.782
306 REDSTONE VW NE,7443.699 13135.806|7450.039 13135.039|7451.703 13148.782|7445.355 13149.550
124 REDSTONE VW NE,7495.323 13145.747|7495.323 13150.005|7473.590 13150.017|7473.590 13145.758
308 REDSTONE VW NE,7437.351 13136.573|7443.699 13135.806|7445.355 13149.550|7439.008 13150.317
