ADDRESS,POINTS
104 BERKLEY WY NW,-894.207 8855.057|-925.335 8857.626|-938.317 8829.137|-924.832 8822.977|-893.746 8845.316|-894.459 8847.696|-894.773 8850.153|-894.689 8852.622
30 BERKLEY WY NW,-727.100 9026.408|-734.370 9031.412|-758.508 8996.286|-751.238 8991.271
110 BERKLEY WY NW,-876.717 8835.387|-880.771 8835.698|-882.994 8836.043|-885.140 8836.699|-897.143 8810.345|-889.670 8806.943
100 BERKLEY WY NW,-885.741 8866.332|-915.241 8879.787|-925.335 8857.626|-894.207 8855.057|-893.578 8856.847|-892.725 8858.548|-891.669 8860.127|-890.432 8861.562
32 BERKLEY WY NW,-734.370 9031.412|-740.137 9035.382|-764.275 9000.244|-758.508 8996.286
7 BERKLEY CO NW,-748.155 8944.825|-778.619 8958.724|-781.646 8952.075|-751.189 8938.164
1 225 BERWICK DR NW,-1512.913 8999.421|-1472.173 9032.846|-1450.558 9105.334|-1464.245 9148.956|-1473.731 9146.165|-1483.322 9143.741|-1493.004 9141.695|-1502.749 9140.005|-1512.557 9138.704|-1522.406 9137.770|-1532.284 9137.214|-1542.175 9137.047|-1647.703 9137.203|-1647.752 9103.689|-1647.808 9063.481|-1647.815 9063.381|-1647.871 9060.934|-1643.111 9060.868|-1638.357 9060.667|-1633.618 9060.334|-1628.885 9059.867|-1624.159 9059.278|-1619.462 9058.555|-1614.785 9057.699|-1610.130 9056.720|-1605.502 9055.608|-1600.909 9054.374|-1596.351 9053.006|-1591.836 9051.516|-1587.362 9049.904|-1582.937 9048.169|-1578.561 9046.312|-1574.233 9044.333|-1569.962 9042.242|-1565.754 9040.030|-1561.609 9037.706|-1557.533 9035.259|-1553.521 9032.713|-1549.578 9030.044|-1545.719 9027.276|-1541.931 9024.396|-1538.226 9021.416|-1534.611 9018.347|-1531.074 9015.167|-1527.628 9011.886|-1524.280 9008.517|-1521.022 9005.059|-1517.862 9001.512|-1514.800 8997.876
2 225 BERWICK DR NW,-1512.913 8999.421|-1472.173 9032.846|-1450.558 9105.334|-1464.245 9148.956|-1473.731 9146.165|-1483.322 9143.741|-1493.004 9141.695|-1502.749 9140.005|-1512.557 9138.704|-1522.406 9137.770|-1532.284 9137.214|-1542.175 9137.047|-1647.703 9137.203|-1647.752 9103.689|-1647.808 9063.481|-1647.815 9063.381|-1647.871 9060.934|-1643.111 9060.868|-1638.357 9060.667|-1633.618 9060.334|-1628.885 9059.867|-1624.159 9059.278|-1619.462 9058.555|-1614.785 9057.699|-1610.130 9056.720|-1605.502 9055.608|-1600.909 9054.374|-1596.351 9053.006|-1591.836 9051.516|-1587.362 9049.904|-1582.937 9048.169|-1578.561 9046.312|-1574.233 9044.333|-1569.962 9042.242|-1565.754 9040.030|-1561.609 9037.706|-1557.533 9035.259|-1553.521 9032.713|-1549.578 9030.044|-1545.719 9027.276|-1541.931 9024.396|-1538.226 9021.416|-1534.611 9018.347|-1531.074 9015.167|-1527.628 9011.886|-1524.280 9008.517|-1521.022 9005.059|-1517.862 9001.512|-1514.800 8997.876
3 225 BERWICK DR NW,-1512.913 8999.421|-1472.173 9032.846|-1450.558 9105.334|-1464.245 9148.956|-1473.731 9146.165|-1483.322 9143.741|-1493.004 9141.695|-1502.749 9140.005|-1512.557 9138.704|-1522.406 9137.770|-1532.284 9137.214|-1542.175 9137.047|-1647.703 9137.203|-1647.752 9103.689|-1647.808 9063.481|-1647.815 9063.381|-1647.871 9060.934|-1643.111 9060.868|-1638.357 9060.667|-1633.618 9060.334|-1628.885 9059.867|-1624.159 9059.278|-1619.462 9058.555|-1614.785 9057.699|-1610.130 9056.720|-1605.502 9055.608|-1600.909 9054.374|-1596.351 9053.006|-1591.836 9051.516|-1587.362 9049.904|-1582.937 9048.169|-1578.561 9046.312|-1574.233 9044.333|-1569.962 9042.242|-1565.754 9040.030|-1561.609 9037.706|-1557.533 9035.259|-1553.521 9032.713|-1549.578 9030.044|-1545.719 9027.276|-1541.931 9024.396|-1538.226 9021.416|-1534.611 9018.347|-1531.074 9015.167|-1527.628 9011.886|-1524.280 9008.517|-1521.022 9005.059|-1517.862 9001.512|-1514.800 8997.876
4 225 BERWICK DR NW,-1512.913 8999.421|-1472.173 9032.846|-1450.558 9105.334|-1464.245 9148.956|-1473.731 9146.165|-1483.322 9143.741|-1493.004 9141.695|-1502.749 9140.005|-1512.557 9138.704|-1522.406 9137.770|-1532.284 9137.214|-1542.175 9137.047|-1647.703 9137.203|-1647.752 9103.689|-1647.808 9063.481|-1647.815 9063.381|-1647.871 9060.934|-1643.111 9060.868|-1638.357 9060.667|-1633.618 9060.334|-1628.885 9059.867|-1624.159 9059.278|-1619.462 9058.555|-1614.785 9057.699|-1610.130 9056.720|-1605.502 9055.608|-1600.909 9054.374|-1596.351 9053.006|-1591.836 9051.516|-1587.362 9049.904|-1582.937 9048.169|-1578.561 9046.312|-1574.233 9044.333|-1569.962 9042.242|-1565.754 9040.030|-1561.609 9037.706|-1557.533 9035.259|-1553.521 9032.713|-1549.578 9030.044|-1545.719 9027.276|-1541.931 9024.396|-1538.226 9021.416|-1534.611 9018.347|-1531.074 9015.167|-1527.628 9011.886|-1524.280 9008.517|-1521.022 9005.059|-1517.862 9001.512|-1514.800 8997.876
