ADDRESS,POINTS
1 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
2 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
3 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
4 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
5 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
6 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
7 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
8 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
9 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
10 4907 8 ST SW,-827.413 -4223.112|-827.434 -4184.583|-860.806 -4184.628|-860.778 -4223.179
903 49 AV SW,-850.111 -4316.805|-827.364 -4316.760|-827.378 -4281.734|-850.153 -4281.779
811 48 AV SW,-757.634 -4218.909|-757.655 -4184.494|-780.409 -4184.516|-780.388 -4218.931
815 48 AV SW,-780.388 -4218.931|-780.409 -4184.516|-803.163 -4184.550|-803.142 -4218.965
803 48 AV SW,-734.887 -4218.876|-712.133 -4218.842|-712.147 -4184.439|-734.901 -4184.461
19 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
18 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
20 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
29 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
22 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
21 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
23 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
32 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
30 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
31 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
25 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
24 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
26 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
35 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
33 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
34 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
27 4915 8 ST SW,-860.778 -4223.179|-860.750 -4261.719|-827.392 -4261.641|-827.413 -4223.112
302 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
301 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
202 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
201 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
102 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
101 807 48 AV SW,-734.887 -4218.876|-734.901 -4184.461|-757.655 -4184.494|-757.634 -4218.909
