ADDRESS,POINTS
1025 40 AV NW,-902.484 4517.065|-917.688 4517.054|-917.681 4483.284|-902.484 4483.295
1027 40 AV NW,-917.688 4517.054|-932.892 4517.043|-932.878 4483.284|-917.681 4483.284
1012 39 AV NW,-873.683 4440.251|-856.962 4440.274|-856.913 4474.177|-873.641 4474.166
656 NORTHMOUNT DR NW,-1259.781 4105.644|-1249.673 4118.998|-1270.260 4134.632|-1276.642 4133.754|-1283.996 4124.046
656 NORTHMOUNT DR NW,-1259.781 4105.644|-1283.996 4124.046|-1294.104 4110.703|-1269.889 4092.300
125 CUMBERLAND DR NW,-1228.310 4081.726|-1252.525 4100.117|-1262.633 4086.774|-1238.418 4068.371
59 CORNWALLIS DR NW,-1159.062 4029.086|-1151.715 4038.793|-1152.589 4045.198|-1173.169 4060.832|-1183.270 4047.489
67 CORNWALLIS DR NW,-1190.533 4053.015|-1180.432 4066.358|-1201.012 4082.004|-1207.401 4081.125|-1214.748 4071.418
75 CORNWALLIS DR NW,-1228.310 4081.726|-1220.956 4091.433|-1221.837 4097.827|-1242.410 4113.472|-1252.525 4100.117
1011 40 AV NW,-872.089 4483.306|-856.892 4483.306|-856.864 4517.087|-872.075 4517.076
1015 40 AV NW,-872.075 4517.076|-887.279 4517.065|-887.286 4483.295|-872.089 4483.306
219 CARDIFF DR NW,-1159.062 4029.086|-1183.270 4047.489|-1193.371 4034.145|-1169.170 4015.743
725 NORTHMOUNT DR NW,-1401.142 4009.649|-1402.016 4016.054|-1450.453 4052.871|-1456.849 4051.992|-1509.621 3982.239|-1610.318 3982.317|-1614.883 3977.747|-1614.932 3916.824|-1610.395 3912.242|-1474.934 3912.153
1019 40 AV NW,-887.279 4517.065|-902.484 4517.065|-902.484 4483.295|-887.286 4483.295
126 CUMBERLAND DR NW,-1190.533 4053.015|-1214.748 4071.418|-1224.849 4058.074|-1200.641 4039.661
1004 39 AV NW,-825.295 4474.177|-838.675 4474.177|-853.872 4474.177|-853.921 4440.274|-838.716 4440.296|-825.344 4440.307
1003 40 AV NW,-825.239 4517.098|-838.619 4517.087|-853.823 4517.087|-853.851 4483.306|-838.654 4483.306|-825.281 4483.317
1000 39 AV NW,-825.344 4440.307|-823.512 4440.307|-818.346 4440.318|-818.304 4474.188|-823.470 4474.177|-825.295 4474.177
1000 39 AV NW,-825.281 4483.317|-823.456 4483.317|-818.290 4483.317|-818.248 4517.098|-823.414 4517.098|-825.239 4517.098
