ADDRESS,POINTS
4708 STANLEY RD SW,277.635 -4097.328|241.221 -4086.698|236.139 -4104.245|272.560 -4114.864
4712 STANLEY RD SW,272.560 -4114.864|236.139 -4104.245|231.057 -4121.791|267.478 -4132.410
4716 STANLEY RD SW,267.478 -4132.410|231.057 -4121.791|225.982 -4139.338|262.403 -4149.957
5004 STANLEY RD SW,217.964 -4288.228|222.193 -4273.617|189.834 -4264.210|185.605 -4278.821
5008 STANLEY RD SW,217.964 -4288.228|185.605 -4278.821|181.369 -4293.432|213.735 -4302.839
5012 STANLEY RD SW,213.735 -4302.839|181.369 -4293.432|177.140 -4308.054|209.499 -4317.461
5016 STANLEY RD SW,209.499 -4317.461|177.140 -4308.054|171.352 -4328.058|203.389 -4328.091|207.269 -4325.167
4732 STANLEY RD SW,247.170 -4202.586|210.743 -4191.978|205.661 -4209.524|242.095 -4220.121
4736 STANLEY RD SW,242.095 -4220.121|205.661 -4209.524|200.579 -4227.071|237.020 -4237.668
4740 STANLEY RD SW,237.020 -4237.668|200.579 -4227.071|195.420 -4244.906|231.861 -4255.492
102 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
101 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
103 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
104 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
202 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
201 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
203 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
204 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
303 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
304 4718 STANLEY RD SW,262.403 -4149.957|225.982 -4139.338|220.900 -4156.884|257.327 -4167.492
102 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
101 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
103 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
104 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
202 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
201 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
203 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
204 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
302 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
303 4704 STANLEY RD SW,277.635 -4097.328|282.710 -4079.782|246.296 -4069.152|241.221 -4086.698
