ADDRESS,POINTS
159 GALBRAITH DR SW,-5384.414 -4295.645|-5400.192 -4295.600|-5400.143 -4326.056|-5384.365 -4326.101
47 GLAMIS DR SW,-6491.118 -3844.182|-6349.890 -3844.115|-6349.953 -3768.403|-6403.178 -3768.414|-6418.893 -3750.556|-6419.235 -3750.167|-6491.174 -3750.200
123 GALBRAITH DR SW,-5221.193 -4296.067|-5239.397 -4296.012|-5239.341 -4326.490|-5221.130 -4326.535
127 GALBRAITH DR SW,-5239.397 -4296.012|-5257.607 -4295.967|-5257.551 -4326.446|-5239.341 -4326.490
131 GALBRAITH DR SW,-5257.607 -4295.967|-5275.817 -4295.923|-5275.761 -4326.390|-5257.551 -4326.446
135 GALBRAITH DR SW,-5275.817 -4295.923|-5294.020 -4295.878|-5293.964 -4326.345|-5275.761 -4326.390
1 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
2 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
3 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
4 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
5 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
6 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
7 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
8 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
9 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
10 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
11 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
12 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
14 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
15 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
16 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
17 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
18 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
19 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
20 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
21 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
22 4915 45 ST SW,-5698.063 -4153.916|-5702.621 -4149.334|-5794.839 -4149.190|-5794.874 -4210.525|-5698.049 -4210.747
4211 RICHMOND RD SW,-5230.029 -3084.409|-5213.476 -3076.793|-5196.915 -3069.165|-5180.362 -3061.548|-5163.802 -3053.920|-5147.248 -3046.292|-5159.901 -3018.604|-5176.447 -3026.232|-5192.994 -3033.849|-5209.540 -3041.466|-5226.087 -3049.094|-5242.633 -3056.711
2 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
4 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
6 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
8 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
10 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
12 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
14 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
16 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
18 80 GALBRAITH DR SW,-5006.788 -4135.213|-5040.790 -4135.124|-5135.833 -4322.354|-5098.748 -4316.505|-5087.640 -4314.748|-5000.700 -4301.026|-4901.197 -4198.182|-4898.247 -4135.491|-4905.175 -4135.468|-4996.589 -4135.235
