ADDRESS,POINTS
115 HARVEST OAK CI NE,520.085 11693.663|519.337 11699.434|518.778 11705.216|518.701 11706.206|495.276 11704.260|495.353 11703.315|495.996 11696.621|496.877 11689.938
117 HARVEST OAK CI NE,522.378 11681.287|521.120 11687.459|520.085 11693.663|496.877 11689.938|498.072 11682.811|499.540 11675.728
121 HARVEST OAK CI NE,525.279 11670.090|523.735 11675.661|522.378 11681.287|499.540 11675.728|500.876 11670.090|502.337 11664.497
125 HARVEST OAK CI NE,529.271 11658.181|527.167 11664.097|525.279 11670.090|502.337 11664.497|504.427 11657.291|506.720 11650.164
129 HARVEST OAK CI NE,533.920 11647.039|531.501 11652.566|529.271 11658.181|506.720 11650.164|507.649 11647.451|509.872 11641.580|512.389 11635.831
133 HARVEST OAK CI NE,539.100 11636.687|536.422 11641.824|533.920 11647.039|512.389 11635.831|514.961 11630.649|517.765 11625.579
137 HARVEST OAK CI NE,546.020 11625.189|542.448 11630.871|539.100 11636.687|517.765 11625.579|521.169 11620.163|524.839 11614.915
3 HARVEST OAK CI NE,568.047 11592.809|562.091 11601.761|556.003 11610.612|554.674 11612.613|544.440 11606.931|557.862 11582.257|560.253 11583.569|566.460 11587.016
5 HARVEST OAK CI NE,557.862 11582.257|544.440 11606.931|536.849 11602.728|550.242 11578.087
7 HARVEST OAK CI NE,550.242 11578.087|536.849 11602.728|535.842 11602.161|533.745 11601.005|529.257 11598.514|542.630 11573.917
9 HARVEST OAK CI NE,542.630 11573.917|529.257 11598.514|520.078 11593.432|533.661 11569.003
11 HARVEST OAK CI NE,533.661 11569.003|520.078 11593.432|513.172 11589.596|527.048 11565.155|530.431 11567.235
15 HARVEST OAK CI NE,527.048 11565.155|513.172 11589.596|510.271 11587.995|512.571 11575.074|520.498 11561.108
17 HARVEST OAK CI NE,520.498 11561.108|512.571 11575.074|510.271 11587.995|506.859 11586.093|506.818 11586.071|506.475 11552.724|506.776 11552.635
19 HARVEST OAK CI NE,506.475 11552.724|506.818 11586.071|505.650 11585.515|504.427 11585.081|503.169 11584.781|501.882 11584.626|495.954 11555.659
21 HARVEST OAK CI NE,501.882 11584.626|500.561 11584.603|499.247 11584.726|497.961 11585.004|496.709 11585.404|485.566 11558.550|495.954 11555.659
23 HARVEST OAK CI NE,496.709 11585.404|495.738 11585.838|494.808 11586.349|493.920 11586.938|493.095 11587.606|487.852 11580.233|476.171 11571.349|476.703 11570.615|485.140 11558.673|485.566 11558.550
11 HARVEST GOLD PL NE,518.464 10486.487|494.088 10491.090|492.669 10483.540|498.576 10482.428|501.162 10480.582|516.793 10477.636
15 HARVEST GOLD MR NE,445.238 10613.227|413.418 10626.692|329.812 10662.063|287.407 10611.403|290.176 10609.346|293.161 10607.611|296.334 10606.232|299.641 10605.232|335.663 10596.570|338.186 10595.891|340.668 10595.091|343.115 10594.168|345.505 10593.134|347.847 10591.977|350.126 10590.710|352.342 10589.331|354.488 10587.841|356.557 10586.262|358.550 10584.572|360.451 10582.781|362.268 10580.913|363.988 10578.956|365.603 10576.910|367.127 10574.787|368.539 10572.596|369.839 10570.339|371.028 10568.026|372.104 10565.646|373.062 10563.222|373.901 10560.754|374.614 10558.252|375.201 10555.705|375.669 10553.148|376.005 10550.568|376.214 10547.966|376.298 10545.364|376.256 10542.762|376.082 10540.160|375.781 10537.570|375.355 10535.001|374.795 10532.455|374.418 10530.575|374.180 10528.663|374.096 10526.750|374.152 10524.827|374.355 10522.925|374.712 10521.035|375.208 10519.178|375.844 10517.377|376.620 10515.620|377.522 10513.918|378.556 10512.306|379.710 10510.772|380.982 10509.326|382.359 10507.992|383.834 10506.757|385.400 10505.646|403.254 10493.970|404.155 10495.204|405.176 10496.350|406.315 10497.373|407.553 10498.284|408.874 10499.063|410.265 10499.697|411.719 10500.186|413.215 10500.531|415.354 10500.753|417.500 10500.653|419.611 10500.264|421.646 10499.563|425.204 10516.721|427.762 10529.041|428.986 10534.945|432.872 10553.671|436.836 10572.763|440.737 10591.533|443.204 10603.419
15 HARVEST GOLD PL NE,519.876 10493.970|495.500 10498.574|494.088 10491.090|518.464 10486.487
19 HARVEST GOLD PL NE,521.281 10501.453|496.905 10506.057|495.968 10501.087|495.500 10498.574|519.876 10493.970
35 HARVEST OAK CI NE,474.892 11611.134|469.964 11617.339|452.509 11602.428|456.724 11596.957
23 HARVEST GOLD PL NE,522.952 10510.316|498.576 10514.908|496.905 10506.057|521.281 10501.453
37 HARVEST OAK CI NE,469.964 11617.339|466.734 11621.331|466.322 11621.831|448.776 11606.976|448.908 11606.820|452.509 11602.428
27 HARVEST GOLD PL NE,524.622 10519.167|500.240 10523.770|498.716 10515.664|498.576 10514.908|522.952 10510.316
39 HARVEST OAK CI NE,466.322 11621.831|462.673 11626.324|445.127 11611.468|448.776 11606.976
31 HARVEST GOLD PL NE,526.286 10528.029|501.910 10532.621|500.240 10523.770|524.622 10519.167
41 HARVEST OAK CI NE,462.673 11626.324|458.164 11631.872|440.289 11617.417|445.127 11611.468
35 HARVEST GOLD PL NE,527.957 10536.891|503.581 10541.484|501.910 10532.621|526.286 10528.029
43 HARVEST OAK CI NE,458.164 11631.872|453.585 11637.499|435.389 11623.444|440.289 11617.417
39 HARVEST GOLD PL NE,529.369 10544.375|504.986 10548.967|503.581 10541.484|527.957 10536.891
45 HARVEST OAK CI NE,453.585 11637.499|449.929 11641.991|431.740 11627.936|435.389 11623.444
43 HARVEST GOLD PL NE,530.774 10551.858|506.398 10556.451|504.986 10548.967|529.369 10544.375
47 HARVEST OAK CI NE,449.929 11641.991|446.280 11646.483|428.091 11632.428|431.740 11627.936
47 HARVEST GOLD PL NE,532.445 10560.709|509.278 10565.079|508.453 10563.345|507.740 10561.565|507.146 10559.742|506.664 10557.874|506.496 10556.962|506.398 10556.451|530.774 10551.858
49 HARVEST OAK CI NE,446.280 11646.483|441.471 11652.399|423.680 11637.843|428.091 11632.428
51 HARVEST GOLD PL NE,534.129 10569.672|514.158 10573.430|512.969 10571.039|511.529 10568.782|510.341 10566.970|509.278 10565.079|532.445 10560.709|533.172 10564.579
51 HARVEST OAK CI NE,441.471 11652.399|436.654 11658.314|419.234 11643.303|423.680 11637.843
55 HARVEST GOLD PL NE,535.541 10577.155|516.164 10580.802|515.779 10578.734|515.479 10577.377|515.115 10576.043|514.668 10574.720|514.158 10573.430|534.129 10569.672
53 HARVEST OAK CI NE,436.654 11658.314|433.005 11662.807|415.585 11647.795|419.234 11643.303
59 HARVEST GOLD PL NE,538.659 10593.723|519.226 10597.026|516.164 10580.802|535.541 10577.155
55 HARVEST OAK CI NE,433.005 11662.807|429.356 11667.299|411.936 11652.288|415.585 11647.795
202 HARVEST GOLD PL NE,511.837 10598.293|502.875 10599.828|498.121 10574.586|499.841 10574.264|501.274 10574.142|502.707 10574.297|504.084 10574.731|505.343 10575.420|506.447 10576.343|507.349 10577.466|508.013 10578.745|508.418 10580.124
57 HARVEST OAK CI NE,429.356 11667.299|424.847 11672.848|407.035 11658.326|411.936 11652.288
206 HARVEST GOLD PL NE,502.875 10599.828|495.367 10601.106|490.642 10575.999|498.121 10574.586
59 HARVEST OAK CI NE,424.847 11672.848|420.359 11678.363|402.191 11664.286|407.035 11658.326
210 HARVEST GOLD PL NE,495.367 10601.106|487.866 10602.385|483.162 10577.411|490.642 10575.999
61 HARVEST OAK CI NE,420.359 11678.363|416.710 11682.855|398.535 11668.767|402.191 11664.286
214 HARVEST GOLD PL NE,487.866 10602.385|478.884 10603.920|475.207 10584.394|477.912 10583.893|476.912 10578.589|483.162 10577.411
63 HARVEST OAK CI NE,416.710 11682.855|413.397 11686.925|412.949 11687.258|394.886 11673.259|398.535 11668.767
218 HARVEST GOLD PL NE,478.884 10603.920|469.908 10605.454|465.259 10580.780|471.509 10579.601|472.508 10584.905|475.207 10584.394
65 HARVEST OAK CI NE,412.949 11687.258|412.222 11687.926|411.579 11688.671|411.034 11689.493|410.594 11690.372|401.317 11687.648|387.560 11684.245|388.748 11680.809|394.886 11673.259
222 HARVEST GOLD PL NE,469.908 10605.454|462.400 10606.733|457.779 10582.192|465.259 10580.780
67 HARVEST OAK CI NE,409.971 11694.019|384.806 11697.110|384.037 11694.419|387.560 11684.245|401.317 11687.648|410.594 11690.372|410.279 11691.250|410.069 11692.162|409.964 11693.085
226 HARVEST GOLD PL NE,462.400 10606.733|459.345 10607.255|455.095 10609.057|450.300 10583.604|457.779 10582.192
69 HARVEST OAK CI NE,411.104 11697.633|389.294 11712.767|384.806 11697.110|409.971 11694.019|410.090 11694.964|410.321 11695.887|410.664 11696.788
230 HARVEST GOLD PL NE,455.095 10609.057|445.238 10613.227|443.204 10603.419|440.737 10591.533|445.245 10590.598|444.504 10587.029|444.497 10586.140|444.833 10585.317|445.462 10584.694|446.287 10584.360|450.300 10583.604
71 HARVEST OAK CI NE,413.257 11699.712|399.227 11724.008|391.034 11718.827|389.294 11712.767|411.104 11697.633|411.621 11698.389|412.222 11699.078
231 HARVEST GOLD PL NE,448.258 10576.366|444.693 10577.033|443.826 10577.022|443.029 10576.688|442.414 10576.076|442.079 10575.287|441.359 10571.818|436.836 10572.763|432.872 10553.671|443.603 10551.647
73 HARVEST OAK CI NE,418.465 11702.881|404.428 11727.144|399.227 11724.008|413.257 11699.712
207 HARVEST GOLD PL NE,490.711 10542.762|491.222 10545.464|496.521 10544.464|499.121 10558.285|499.240 10558.774|499.247 10559.275|499.212 10560.787|498.904 10562.266|498.331 10563.667|497.520 10564.935|496.493 10566.036|495.276 10566.947|493.920 10567.614|492.466 10568.026|489.181 10568.649|484.525 10543.930
75 HARVEST OAK CI NE,423.722 11705.961|409.685 11730.235|404.428 11727.144|418.465 11702.881
211 HARVEST GOLD PL NE,489.181 10568.649|481.701 10570.061|477.052 10545.342|484.525 10543.930
77 HARVEST OAK CI NE,430.195 11709.597|416.892 11734.283|409.685 11730.235|423.722 11705.961
215 HARVEST GOLD PL NE,481.701 10570.061|472.459 10571.795|467.804 10547.088|477.052 10545.342
79 HARVEST OAK CI NE,436.654 11713.078|424.372 11738.297|416.892 11734.283|430.195 11709.597
219 HARVEST GOLD PL NE,472.459 10571.795|463.211 10573.541|458.555 10548.834|467.804 10547.088
81 HARVEST OAK CI NE,442.065 11715.869|429.789 11741.088|424.372 11738.297|436.654 11713.078
