ADDRESS,POINTS
6715 HUNTERVIEW DR NW,-669.009 7062.328|-651.959 6957.682|-549.744 6958.216|-551.457 6959.751|-557.042 6965.088|-562.376 6970.692|-567.437 6976.541|-572.219 6982.623|-576.706 6988.917|-580.894 6995.411|-584.773 7002.105|-588.332 7008.965|-591.568 7015.982|-594.462 7023.154|-597.021 7030.448|-599.230 7037.854|-601.089 7045.359|-602.599 7052.932|-603.746 7060.582|-604.528 7068.266|-609.310 7072.091
101 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
102 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
201 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
202 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
301 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
302 427 HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
105 431C HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
104 431C HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
103 431B HUNTSVILLE CR NW,191.505 7326.605|191.400 7295.270|247.681 7295.103|252.252 7299.662|252.168 7302.787|251.959 7305.900|251.623 7309.014|251.155 7312.105|250.568 7315.174|249.848 7318.210|249.009 7321.223|248.044 7324.203|246.961 7327.127|245.758 7330.019|244.437 7332.843|242.997 7335.623|241.445 7338.336|239.788 7340.993|238.020 7343.573|236.153 7346.075|232.875 7350.278
