ADDRESS,POINTS
1 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
2 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
3 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
4 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
5 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
6 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
7 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
8 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
9 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
10 175 MANORA PL NE,8231.560 2049.783|8160.118 2054.153|8156.671 2054.297|8153.218 2054.308|8149.765 2054.197|8146.318 2053.942|8142.886 2053.563|8139.468 2053.063|8136.070 2052.418|8132.708 2051.651|8129.367 2050.761|8126.067 2049.738|8122.810 2048.593|8119.594 2047.337|8116.434 2045.947|8113.323 2044.434|8110.276 2042.811|8107.291 2041.076|8107.829 2039.153|8136.287 1935.853|8136.818 1933.918|8136.832 1915.493|8136.853 1888.228|8141.411 1883.669|8152.694 1883.669|8179.111 1890.785|8181.557 1891.230|8184.039 1891.274|8186.500 1890.908|8188.863 1890.151|8191.072 1889.017|8193.071 1887.538|8194.797 1885.748|8196.210 1883.702|8231.672 1883.724|8231.665 1902.005|8231.651 1919.062|8231.637 1937.331|8231.630 1954.389|8231.616 1972.669|8231.602 1989.726|8231.595 2006.784|8231.581 2025.064
