ADDRESS,POINTS
401 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
403 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
405 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
407 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
409 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
411 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
413 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
415 10 AV NE,1184.244 1472.136|1184.265 1490.395|1129.788 1490.839|1133.884 1472.559|1139.190 1472.526
1403 RUSSELL RD NE,2697.710 1634.303|2717.130 1643.365|2719.206 1644.577|2721.002 1646.168|2722.456 1648.080|2723.505 1650.237|2724.106 1652.561|2724.246 1654.952|2723.917 1657.331|2723.120 1659.600|2720.324 1665.716|2689.776 1651.427
963 15 AV NE,2281.168 1942.847|2281.050 1979.374|2265.740 1979.363|2265.943 1942.824
1407 RUSSELL RD NE,2689.776 1651.427|2720.324 1665.716|2710.412 1687.443|2682.562 1674.289|2681.073 1670.219
967 15 AV NE,2296.394 1942.858|2296.275 1979.385|2281.050 1979.374|2281.168 1942.847
1451 REMINGTON RD NE,2296.394 1942.858|2311.528 1942.869|2311.493 1979.396|2296.275 1979.385
1108 15 AV NE,2371.227 2023.596|2356.295 2026.521|2349.430 1990.672|2364.348 1987.747
1016 EDMONTON TR NE,1184.244 1472.136|1139.190 1472.526|1140.896 1464.909|1142.608 1457.292|1184.223 1456.892|1184.237 1464.508
1604 REMINGTON RD NE,2356.295 2026.521|2331.486 2031.358|2331.528 1994.163|2349.430 1990.672
1612 REMINGTON RD NE,2364.299 2068.352|2357.099 2069.765|2349.367 2071.266|2331.437 2074.768|2331.479 2037.574|2342.496 2035.416|2357.428 2032.503
1111 RENFREW DR NE,2379.245 2065.439|2364.299 2068.352|2357.428 2032.503|2372.359 2029.590
409 11 AV NE,1161.560 1556.444|1161.581 1589.981|1143.231 1590.136|1143.210 1556.589
1103 15 AV NE,2349.451 1970.201|2331.549 1973.692|2331.584 1940.456|2330.668 1936.642|2342.587 1934.307
1107 15 AV NE,2364.369 1967.276|2349.451 1970.201|2342.587 1934.307|2357.497 1931.394
414 13 AV NE,1129.893 1845.462|1122.294 1845.529|1116.066 1845.585|1116.052 1809.035|1122.280 1808.979|1129.879 1808.912
415 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
414 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
413 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
412 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
411 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
243 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
242 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
270 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
271 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
272 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
273 REGAL PA NE,2424.599 1458.626|2441.789 1466.621|2431.799 1488.171|2397.029 1471.992|2394.827 1466.009|2399.587 1454.990|2421.901 1465.387
